bin_center,market_rate_count,xgs_rate_count
-0.14186868686868687,1,0
-0.02560606060606062,1,2
0.09065656565656563,2,0
0.2069191919191919,4,0
0.3231818181818182,0,21
0.4394444444444444,12,187
0.5557070707070707,11,6
0.671969696969697,14,3
0.7882323232323233,27,2
0.9044949494949496,7,7
1.020757575757576,83,2
1.137020202020202,12,1
1.253282828282828,9,2
1.3695454545454546,7,2
1.4858080808080807,6,0
1.6020707070707072,3,0
1.7183333333333333,3,0
1.8345959595959598,3,2
1.9508585858585858,1,1
2.067121212121212,4,0
2.183383838383838,7,0
2.2996464646464645,2,0
2.415909090909091,4,1
2.5321717171717166,1,0
2.648434343434343,1,1
2.7646969696969697,2,0
2.8809595959595957,2,0
2.997222222222222,1,1
3.1134848484848483,1,0
3.229747474747475,0,2
3.346010101010101,1,0
3.462272727272727,1,0
3.5785353535353535,1,0
3.6947979797979795,1,0
3.8110606060606056,3,0
3.927323232323232,0,0
4.043585858585859,0,0
4.159848484848485,0,0
4.276111111111111,0,0
4.392373737373737,0,0
4.508636363636363,1,0
4.624898989898989,0,0
4.741161616161616,1,0
4.857424242424242,0,0
4.973686868686869,0,0
5.089949494949495,1,1
5.206212121212121,0,0
5.322474747474747,1,0
5.438737373737373,0,1
5.555,1,0
5.671262626262626,0,0
5.787525252525253,0,0
5.903787878787878,0,0
6.020050505050505,0,0
6.136313131313131,0,0
6.252575757575757,0,0
6.3688383838383835,0,0
6.48510101010101,0,0
6.6013636363636365,0,0
6.717626262626262,0,0
6.833888888888889,0,0
6.950151515151515,0,0
7.066414141414141,1,0
7.182676767676767,0,0
7.298939393939394,0,0
7.41520202020202,0,0
7.531464646464646,0,0
7.6477272727272725,0,0
7.763989898989898,0,0
7.880252525252525,0,0
7.996515151515151,0,1
8.11277777777778,0,0
8.229040404040404,0,0
8.345303030303032,0,0
8.461565656565657,0,0
8.577828282828282,1,0
8.69409090909091,0,0
8.810353535353535,0,0
8.926616161616163,0,0
9.042878787878788,0,0
9.159141414141416,0,0
9.275404040404041,0,0
9.391666666666666,0,0
9.507929292929294,1,1
9.624191919191919,0,0
9.740454545454547,0,0
9.856717171717172,0,0
9.9729797979798,0,0
10.089242424242425,0,0
10.20550505050505,0,0
10.321767676767678,0,0
10.438030303030303,0,0
10.55429292929293,0,0
10.670555555555556,0,0
10.786818181818184,0,0
10.903080808080809,0,0
11.019343434343433,0,0
11.135606060606062,0,0
11.251868686868686,1,0
