part_no,part_description,new_commodity_description
1000027261,"Cobalt Surfaces Katanga 20 mil Square Non-Beveled Glue Down Plank 3mm 7"" x 48"" - Mineral (K320)",LVT
1000027348,"Shaw Distinction Plus (2045V) 7""x48"" 7mm - Barrel Oak (07066)",LVT
1000027359,"Tarkett North Island Oak Plank (251334001) 7.2"" X 48"" 2.5mm - Napier (4671)",LVT
1000027432,Azrock VCT Vinyl Composite Core 12in x 12in - Military Tan (527),VCT
1000027444,Tarkett Event Heritage Plank 30 Mil Glue Down LVT 6in x 36in 3.05mm -Heartland (11207),LVT
1000027450,Interface Hearth 50cm x 1m 4.5 mm - Marble Dust,LVT
1000027470,Mohawk Reforestation LVT (C0188) 9.25 X 59 4.5MM - Turner,LVT
1000027520,Adleta Grandstand 18in x 36in 5.0MM - Ember (HALGS1861),LVP
1000027534,Patcraft Woodtone (I724V) 9in x 36in 5.0MM - Spruce (00115),LVP
1000027564,"To Market Urban 28 7""x48"" 2mm - La Costa (59)",LVT
1000027631,"Mannington Color Anchor 5'5"" x 6'6"" x 1/8"" - Custom Logo",LVT
1000027686,Shaw Patcraft Wood + Weald (I781V) 8in x 51in 2.5MM - Arbor-V2 (00710),LVP
1000027706,Tarkett Artful Oak 6x36 32mm - Countryside (4622),LVT
1000027751,Milliken Building Blocks Relic 9x40 22 mil 5.0mm - Heirloom (REL6),LVT
1000027828,Shaw Pivot (4499V) 8in x 51in Climate (00125),LVT
1000027839,"Shaw Basis (4339v) 12""X23"" - Actualize (39535)",LVT
1000027945,Karndean Opus 18in x 18in 2.5MM - Noalle,LVT
1000027950,Interface Shantung 4.5MM 25cm x 1m - Beechnut (A02701),LVP
1000028065,Shaw Function 2.5 (4386V) 18in x 18in 2.5MM - Composite (86506),LVT
1000028066,J&J Terrazzo 3mm (V5035) 18in x 36in 3MM - Pebble (1119),LVP
1000028266,PATCRAFT\Treeline 20MIL-I707V\Color Ginger-V2 00146\ 7in X 48in,LVT
1000028268,"Mohawk Grown Up (C0075) 9"" X 59.72"" - Hermes (758)",LVT
1000028339,Shaw Philadelphia Obelisk Glue Down (5680V) 12x24 20 mil - Grey Slate (05214),LVT
1000028372,"Patcraft Earthen (1677V) 12""x24"" 5mm - Latte-V2 (00710)",LVT
1000028373,"Mohawk Juniperus II (C2059) 6'6"" 2mm - Cypress (842)",LVT
1000028379,Shaw Stratum 700 (024UV) 7in x 48in 8MM - Hoosier Oak (00704),LVP
1000028424,"MILLIKEN LONGSTRAW HEATHER LGS131 QUIETLIFE FLEXFORM SOUND LVP 9.84"" X 59.06"" 22MIL 5.0MM",LVP
1000028434,"Mannington Paris Plank (RSP100) 7.1"" x 48"" 20 mil - Chiffon",LVT
1000028439,Van Gelder Natures View Style Rustique 40 mil 7x48 - Antique Brown (NVR9415),LVP
1000028457,GemCore Jasper 9in x 73in 5MM - Pimbee,LVP
1000028461,"Johnsonite VS-31 Vinyl Stringer 10""X50' - Pewter (38)",LVT
1000028468,Shaw Contract In Tandem (0896V) 10x59 2.5mm - Buff (96105),LVT
1000028553,Shaw Inlet II (4372V) 9in x 48in 5MM - Canyon (72114),LVP
1000028590,Shaw Philadelphia Indwell 12 (5661V) 7in x 48in 2MM - South Bay (02029),LVP
1000028737,Interface Northern Grain 3.0mm 25cm x 1m - Antique Wash (C01101),LVT
1000028743,"Cobalt Katanga (K##-826) 7""X48"" 3MM 20MIL - Arcadia (826)",LVT
1000028800,Paradigm Insignia 9in x 60in 8MM - Manoa (PI20029),LVP
1000028829,J&J Employbridge LVT 5mm (PEB03A) 9in x 48in - Weathered Gray,LVP
1000028851,Aspecta Contours Versaille 30.5cm x 140.78cm 8MM - Riviere (6816731X),LVP
1000028958,Tarkett iD Latitude Wood 18 x 18 20mil - Laurel Oak (3523),LVT
1000028965,"Armstrong Excelon SDT 12""x12"" 1/8"" - Coal (51959)",LVT
1000028972,Mohawk Pro Solutions III 7.25in x 48in 2.5MM - Grey Mist,LVP
1000029125,Shaw Terrain II 20 Mil (0454V) 6in x 48in 2.5MM - Prime (00240),LVP
1000029131,Armstrong Standard Excelon Imperial Texture (57517) 12in x 12in x 1/8in - Bodacious Blue (57517),LVT
1000029132,Dal Tile Pines Terrace 7.25 X 48 2MM - Wreath (PT69),LVT
1000029161,Teknoflor Woodland Path 6in x 36in 3MM - Abacoa (WP52210A),LVP
1000029162,Shaw Coded (4143V) 6in x 48in 5MM - Converse (43100),LVP
1000029214,Polychrome Â– Pewter  Project Number 501882C,LVT
1000029249,"Patcraft Earthen (1677V) 12 x 24"" 2.5mm - Ash (00550)",LVT
1000029250,Mannington Anchor Stride 12x24 2.5mm - Velvet,LVT
1000029291,Patcraft Click Refresh (1600V) 7 X 48 20 mil - Heron (00550),LVT
1000029337,Eastern Flooring Allegheny 7in x 48in 5mm - Jennings,LVT
1000029401,Mannington Spacia Wood 6in x 36in 2MM - Nordic Oak (SS5W2550),LVP
1000029490,Mannington Amtico Abstract Unbeveled 18in x 18in 2.5MM - Stucco Indigo (AROAUC91),LVT
1000029571,Flexco Natural Element 12x24 3mm - Capri (686),LVT
1000029590,"MANNINGTON\UPWARD 20\1190 NORTHERN SILKY OAK\6"" X 36""",lvt
1000029621,Milliken Fortified Foundations 5.0mm 9Â” x 60Â” - Antler (PIK124-208),LVT
1000029643,"Aspecta Contours Chambord 8.46"" x 42.32"" 8 MM - Ble (6616724X)",LVT
1000029664,Karndean Art Select /Oak Premier Vinyl Tile Plank 4.5in x 48in - Blended Oak (RL50),LVP
1000029832,"Tarkett Color Pop	PCOP 18inx18in 3mm - Mallard (C128)",LVT
1000029861,U-RF-1  TAS Flooring Catalyst 7in x 48in 4.5MM - Athena (RCRC0211),LVP
1000029863,U-RF-2   TAS Flooring Resonate 7in x 48in 5.0MM - Craft Oak (SCRC0202),LVP
1000029899,"Shaw Infinite SPC (3100V) 7"" x 48"" 4.4 MM - Grand Canyon (02027)",LVT
1000029905,"AquaArmor Waterproof Plank Waterproof SPC 7X48"" - White Wash (GMO101)",LVT
1000029925,Aspecta Chambord 8.46in x 42.33in - Chambord Riviere (6616731X),LVT
1000029942,"MANNINGTON\COLOR ANCHOR LVT\STRIDE\C167 TRUFFLE\6""X36""",LVT
1000029981,Interface Cliff 25cm x 1m 4.5MM - Alabaster (A02404),LVP
1000029995,Tarkett Castlerock Sandstone PSCN 12in x 24in - Surinse Sand (4654),LVP
1000030026,Hill Country Dry Back Vinyl 6in x 36in 2MM - Black Forest,LVP
1000030027,Shaw Philadelphia Indwell 12 (5661V) 7in x 48in 2MM - Blue Ridge (05100),LVP
1000030058,Karndean Opus 18in x 36in 2.5MM - Stratus (SP731),LVP
1000030140,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Desert Beige (51809),LVT
1000030161,Karndean Seneca Cherry (RL06) 48in x 7in,lvt
1000030185,Tarkett Contour Series Wood NuGrain (PCNU TK) 6in x 36in 3MM - Sterling (3712),LVP
1000030210,Interface Northern Grain (A026) 25cmx1m 4.5mm - Natural Satin (A02610),LVT
1000030237,Interface Textured Stones 3mm  50cm X 50cm Dark Concrete (C01301),lvt
1000030322,Shaw Industries Patcraft Inset (I577V) 18x36 - Dusk Bronze ('00560),LVT
1000030399,"TARKETT/LVT/EVENT + WOOD CRAFTED LVT PLANK/48"" X 6"" X 30mil/COLOR: SAVANNAH (#11212)/PLANK",lvt
1000030400,Mannington Entwined Lino 6' Wide - Oyster (ETW104),LVT
1000030440,Johnsonite iQ Granit (GRT-JT-XXX) 24in x 24in 2.0MM - Warm Light Grey (234),LVT
1000030463,Tarkett Crafted Plank 6x48 30 mil - Pacific (11218),LVT
1000030511,Mannington No Reservations Express 4mm 7.25in x 48in - Eternal (NR110),LVT
1000030517,Interface Northern Grain (A026xx) 22 mil LVT 25cm x 1m 4.5 mm - Dark Wash (A02607),LVT
1000030549,Emser EMcore 7 x 48 2mm - Viceroy Almanza,LVT
1000030579,Tarkett Event Wood 30mil Luxury Vinyl Plank Glue Down 6in x 48in 3mm Crafted - Chesapeake (11223),lvp
1000030679,"Tarkett ID Latitude (251177004) 3mm 6""X48"" 36sft - America Cherry (3305)",LVT
1000030703,"Spartan Surfaces Katanga 7"" X 48"" 20mil 5mm - Mineral",LVT
1000030736,"Milliken Pike Bark 6.2mm 7""X48"" - Bark",LVT
1000030760,Mannington Amtico Abstract 12in x 18in 2.5MM Unbeveled - Linear Metallic Steel (AR0ALA21),LVP
1000030796,Hero Flooring Sahara 9X63 20 mil - Warren,LVT
1000030874,Karndean Opus 18x36 - Umbra (SP732),LVT
1000030948,J&J Abridge 3mm (V5037) 18in x 36in 3MM - Textile (1111),LVP
1000030968,Armstrong Parallel USA 12 18in x 18in 2.5MM - Havana Biscuit Beige (J5161),LVT
1000030988,Mannington Realta SPC Luxury Vinyl Heritage Walnut 7.1in x 48in 5MM - Acorn (RSP107),LVP
1000030990,Mannington Realta SPC Luxury Vinyl Oasis 7.1in x 48in 5MM - Mist (RSP106),LVP
1000030992,Chesapeake Flooring Ameriscape 20 Pro 18in x 36in 3.2MM - Industry,LVP
1000031100,Tarkett VCT II Solids Phthalate-Free Vinyl 12in x 12in x 1/8in - True Beige (533),LVT
1000031108,Interiors NA Footage 3.20 7in x 48in 3MM - Dark Lava (CPR-9263),LVP
1000031281,Shaw Patcraft Homegrain 20 / I75V /Luxury Vinyl Plank/6in X 48in/Color Gallery-V2 00100,lvt
1000031304,"Mannington Divergent Style: Wade 6"" x 36"" color: Ironweed (13544)",LVT
1000031318,"Bentley Mills Ground Rules (BGRRUL648U) 6"" x 48"" 2.5mm - Coffee First (802012)",LVT
1000031374,"Shaw Branching Out 5.0 Mm (4480V) 6""X48"" - Ravine Oak (56730)",LVT
1000031378,"Aladdin Commercial Grass Valley 20 (AH016) 2.5mm 12"" x 24"" - Grey Matter (9112)",LVT
1000031398,Mannington Paradigm Streamline Heterogeneous 6' .080in - Origin (PD210),LVP
1000031405,Shaw Unite II Commingle (4350V) 9X48 5MM - Iron (50505),LVT
1000031444,"Mannington Proxy (PRX206) 7"" X 48"" 20 Mil - Pediment Oak",LVT
1000031467,Shaw Contract Coretec Pro Classics Plank 7.13in x 48.in   20mil Â– Spring Field Oak (VV017-01020),LVT
1000031530,Shaw Function 2.5 (4386V) 18in x 18in 2.5MM - Blend (86515),LVT
1000031541,Mannington Spacia Wood 6in x 36in 2MM - Heritage Cherry Merlot (SS5W12107),LVP
1000031591,Shaw Patcraft Timber Grove II 20 mil (I421V) 6in x 48in 2.5 MM - Juniper (00559),LVP
1000031696,Shaw  Compound + Cast Compound 2.5mm (4074V) 20 mil Squared Edge 24in x 24in Heavy Commercial Luxury Vinyl Tile - Onset  (77525),lvt
1000031795,Bruce Liberty Forge 6x36 20 Mil - Lincoln Cabin,LVT
1000031799,Next Floor - Coastal Resort 439 - 20 mil / UV-Cured Urethane - 7.25in x 48in Mineral White Maple (439 051),LVT
1000031870,Shaw Contract Branching Out 5.0mm (4480V)  5.mm squared edge 6in x 48in  - Plains Oak (56250),LVT
1000031878,Tarkett Contour Series Wildcraft Maple 0.81mm   6in x 36in Haven(4635),LVT
1000031889,"Patcraft Curved (1730V) 9"" x 36"" 5mm - Porcelain Spruce (00110)",LVT
1000031903,Patcraft Stratified + 6in x 24in 2.5MM - Frost (00500),LVP
1000031933,Shaw Uncommon Ground Luxury Vinyl Tile (0187V) 4 X 36 - Bamboo Natural (02701),LVT
1000031940,"Eastern Flooring Knockout Tile 12"" x 24"" - Fulton",LVT
1000031965,Karndean K-Trade 7in x 48in 2.5MM - Naples (PVP5123),LVP
1000031988,J&J Power Play (V5020) 9in x 48in 5.0MM - Influence (1086),LVP
1000031991,Shaw Terrain II 20 Mil (0454V) 6in x 48in 2.5MM - Graphite (00580),LVP
1000032036,Mannington Select Wood 3in x multiple lengths 2.5MM - Princeton Cherry Colonial (MSC152),LVT
1000032055,"Forbo Flotex Prairies Tile 9.84"" X 39.37"" - Cool 2 (075704)",LVP
1000032058,Tarkett Custom Contour (WKS-2024-TK) Square Edge - Tick Embossing 6in x 48in - Limed Oak (3309),LVP
1000032078,Six Degrees Baxter Peak 6in x 48in - Storm Grey (00602),LVP
1000032140,Interface Brushed lines 3.0 mm 25cm x 1m - Mousse (C00703),LVP
1000032141,Interface Native Fabric 3.0mm 50cm x 50cm - Sea Grass (CO1504044030),LVT
1000032144,Interface Native Fabric 3.0mm 50cm x 50cm - Linen (C01502),LVT
1000032160,Patcraft Sense LVT (I634V) 9x36 - Engage (00550),LVT
1000032167,Shaw Patcraft Treeline (I707V) 20mil 7in X 48in - Nickel (00574),LVT
1000032215,"Shaw LVT Unveil (0601v) 9"" X 36 - Char",LVT
1000032218,"LVT-1 Tarkett Aquarelle PCQ 18""x18"" 32 mil - Shibori (11398)",LVT
1000032239,"FORBO\MARMOLEUM MARBLED\T3146 SERENE GREY\10""X20""",LVT
1000032282,Mohawk Reforestation  C0188 9.25Â” x 59Â” 4.5mm  -Bridal Veil (220),LVT
1000032285,INTERFACE/NATURAL WOODGRAINS/WASHED WHEAT/25CM X 1M,lvt
1000032320,Shaw Patcraft Planar (I716V) 24in x 24in 2.5MM - Light Planar-V2 (00115),LVT
1000032324,Interface Northern Grain 25cm x 1m 4.5MM - Antique Wash (A02606),LVP
1000032358,Mannington Amtico Wood 3in x 36in 2.5MM Microbevel - Rotterdam Oak (AR0W8440),LVP
1000032386,Interface Brushed lines 3.0 mm 25cm x 1m - Graphite (C00702) = 9 CTNS,LVP
1000032469,Chesapeake Flooring-Pro Solutions 20 LVP    7in X 48in 3mm -Winwood (CHLPS9261),LVP
1000032519,Tarkett Aria 24in x 24in 2.0MM - Quartzite (0675),LVT
1000032533,Shaw Function 5.0 (4388V) 18in x 18in 5MM - Transition (86501),LVT
1000032560,Shaw Crossing Paths 5.0 (4392V) 18in x 18in 5.0MM - Thatch (91720),LVT
1000032620,MANNINGTON\AMTICO CHOICE LAYOUT\CHECKERBOARD UNBEVELED\A. STONE TEMPUS SMOOTH\B.WOOD TOLOUSE OAK\12X12,lvt
1000032657,Altro Quartz Tile 24in x 24in 2MM - Sand CD (9322),LVT
1000032802,Tarkett iQ Granit 24in x 24in 2.0MM - Grey (0161),LVT
1000032871,Mannington Spacia Wood 7.25in x 48in 2.5MM - Powdered Oak (SS5W3311),LVP
1000032890,Mannington The Drift Stone 12in x 24in 2.5MM - Motus Alloy (D203),LVT
1000032894,"Eastern Flooring Kessner Allegheny LVT (ALE40122) 7"" X 48""",LVT
1000032902,Karndean Korlok Select 9in x 56in 6.5MM - Baltic Limed Oak (RKP8111),LVT
1000033159,Staticworx GroundLock Extreme Interlocking-6mm ESD tiles-25in x 25in- Medium Gray,LVT
1000033196,"MOHAWK HOT & HEAVY - BOLDER C0010 - ONYX 999 - 5MM - 36"" X 36""",LVT
1000033203,"TARKETT/ARTFUL OAK/ARCHER 4627/6""X48""",lvt
1000033220,Mohawk Living Local C0159 Chromascope 12 x 24 Totally Teal 672,LVT
1000033244,Milliken Fortified Foundations 2.5MM 5in x 48in - Applewood (APP224),LVP
1000033268,AquaArmor Plank Direct Glue Down 7in x 48in 2.0MM - Chalk (GL20-3020-1),LVP
1000033293,Shaw Ohio Living LVP II (VY365) 6in x 48in 5.0MM - Liberty (00173),LVP
1000033313,Tarkett Adaptt Stonewalk 36in x 36in 4.5MM - Cement (2301),LVT
1000033482,Mohawk Living Local Terrazzo (C0180) 20 mil glue down LVT 12in x 24in 2.5 MM - Strabe (736),lvt
1000033551,C&C Wholesale Nature's Reflections 7in x 48in 2.0MM - Ozark Oak (NR1855),LVP
1000033575,Armstrong Excelon SDT 12in x 12in x 1/8in - Fossil Gray (51956),VCT
1000033606,Mohawk Bolder 5.0 (C2108) 18in x 36in 5.0MM - Lava (949),LVT
1000033675,Patcraft Set In Concrete Aggregate (I333V) 20mil Squared Edge Glue Down Heavy Commercial Luxury Vinyl Tile 23.63in x 23.63in 2.5mm - Pebble (00530),lvt
1000033713,Mannington Amtico Abstract 6in x 36in 2.5MM Unbeveled - Equator Tide (AR0AEQ40),LVP
1000033741,Mannington Spacia Wood 7.25in x 48in 2.5MM - Heritage Cherry Select (SS5W12103),LVP
1000033753,Boss Flooring Worth 4in x 36in 2.0MM - Aspenwood (WASPW4X20M),LVP
1000033799,Metroflor DÃ©jÃ  New San Marcos Oak (DN1445105)  20mil LVT Micro-Bevel Glue Down 9in x 60in - Pumice Washed,lvt
1000033885,LX Hausys Forest Fusion 7in x 48in 2.0MM - Enclave (DTW1443),LVP
1000033958,Daltile Adventuro 6in x 48in 4.5MM - Mariner (AD41),LVP
1000033972,Interface Textured Woodgrains 25cm x 1m 3.0MM - Antique Light Oak (C01402),LVP
1000033988,Gerflor Creation Grovepoint 7.1in x 47.25in 2.5MM - Declan (0106),LVT
1000034024,Next Floor Indestructible 7.25in x 48in 3.0MM - Silver Oak (415 038),LVP
1000034030,Daltile Halstatt 20mil 7.25in x 48in 4.7MM - Palisade (HT44),LVP
1000034085,Ecore Heritage Motivate 6.25in x 48in 7.0MM - Northwood (1005),LVP
1000034089,Shaw Patcraft Earthen 20mil (I676V) 12in x 24in 2.5MM - Midnight-V2 (00590),LVT
1000034151,Shaw Patcraft Polychrome (I746V) 9in x 48in 2.5MM - Radiance-V2 (00520),LVP
1000034163,Daltile Loften 24in x 24in 3.0MM 20mil - Coal Limestone (LF05),LVT
1000034191,Cobalt Surfaces Katanga 9in x 60in 20mil 5mm w/pad attached - Optima Custom Dark (EWC9571-CH01),LVP
1000034192,Cobalt Surfaces Katanga 9in x 60in 20mil 5mm w/pad attached - Optima Custom Light (EW2042-CH01),LVP
1000034339,Tarkett Contour Abstract CeraMix (PCCX) 6in X 36in - Palermo (10393),LVT
1000034344,J&J Segment (V5031) 18in x 36in 3.0MM - Fragments (1117),LVP
1000034355,AVA Ryme 9 X 48 AMP Polyurethane - Allegis (C1287L),LVT
1000034444,Daltile Halstatt 20mil 7.25in x 48in 4.7MM - Heritage (HT41),LVP
1000034466,Mannington Spacia Wood 7.25in x 48in 2.5mm - Lancaster Oak,LVT
1000034468,Armstrong Terra 20mil Solid Vinyl Tile 18in x 36in 2.5mm - Palazzo Grigio (ST556),LVT
1000034558,"BOLON\GRAPHIC TILE\BNTLGRA735\19.7"" X 19.7"" X 0.11""\735 TEXTURE GREY",LVT
1000034570,Interface Studio Set 3.0 mm 25cm x 1m - Titanium (C01205),LVP
1000034637,Tarkett Event+ Wood 6in x 48in 3.0MM - Walnut (11218),LVP
1000034643,Mannington Spacia Stone 20 mil Micro-Bevelled Edge LVT 18in x 18in 2.5 MM - Bottocino Grey (SS5S3598),LVP
1000034720,Bentley Memory (BMMRY) 20 mil 9in x 48in 2.5 MM - Prairie (801981),LVT
1000034732,Shaw Patcraft Earthen 20mil (I676V) 12in x 24in 2.5MM - Ash-V2 (00550),LVT
1000034812,Patcraft Woodtone (I724V) 9 X 36 -Spruce (00115),LVT
1000034829,Casabella Novocore Premium 7in x 49in x 1/4in - Belspring (CWMD40),LVP
1000034901,Altro Lavencia LVT 6in x 48in 3.0MM - Grasscloth Tweed (LAV33033),LVP
1000034956,AVA Mrge Vinyl Tile Beton 39.37 x 39.37 22mil - Benton Harbor (BN004),LVT
1000035051,Mohawk Bolder 5.0 (C2108) 18in x 36in 5.0MM - Shine (959),LVT
1000035151,Mats Inc Formative LVT (JFLVLXCRT) 18in x 36in 2.5MM - Lexington Concrete (Mavis Tire Exclusive),LVT
1000035158,Tarkett Create Expression (PCCP) 12in x 36in 3.0MM - Loyal (11523),LVP
1000035213,Mannington Onward 12 (ONW12) 6in x 36in - Natural Oak (3021),LVP
1000035215,Shaw Crossing Paths 2.5 (4431V) 18in x 18in 2.5MM - Thatch (91720),LVT
1000035233,COREtec Originals Premium 9in x 72in 12.0MM - Virtue Oak (VV457-02904),LVP
1000035239,"Adore Naturelle Plus Nat-652 3mm 23.6"" X 23.6"" Astound 22mil",LVT
1000035301,Armstrong Standard Excelon Crown Texture VCT 12 x 12 3.2 mm - Sterling (5C904),LVT
1000035303,Allied Tile Au Natural Collection 7.25in x 48in - Suffolk (AW52),LVP
1000035310,"Tarkett Custom LVT Logo - VCM 0231 SS SE, VCM 0233 SS SE, VCM 0223 SS SE, VCM 0102 SS SE - (1) 13'6"" diameter - custom logo",LVT
1000035375,Mannington Amtico Signature Wood Parquet Small (Custom) 3in x 9in - Brushed Oak (AROW7910),LVP
1000035381,Shaw Contract Square Edge Cove (0927V) Square Edge 9x48 - Plaster (27111),LVT
1000035403,"PATCRAFT\I421V TIMBER GROVE II\00559 JUNIPER\5.96""X48""X20 MIL",LVP
1000035431,Mohawk Driftwood Collection (33539) 7.48in x 47.25in 12.0MM -  Gulf Sand (05W),LVP
1000035551,Interface Natural Woodgrains 25cm x 1m 3.0MM - Washed Maple (C00905),LVP
1000035561,Interface Earthen Forms Collection On Grain 4.5mm 25cm x 1m White Oak Veneer (A03301),LVT
1000035650,Tarkett Color Beam 6in x 36in 3.0MM Square Edge - Flannel (C121),LVP
1000035676,Spartan Surfaces Quartz Mosaic 12in X 12in - Modest Cancrinite (8323),LVT
1000035690,Lions Floor District 7.25in x 4ft 2.0MM - Clayton (LI-DT08),LVP
1000035734,Evoke Syreeta 7in x 48in - Taupe White (45519),LVP
1000035822,Mannington Amtico Wood 3in x 36in 2.5MM Unbeveled - Brushed Oak (AROW7910),LVP
1000035847,Mannington Spacia First Wood 20 Luxury Vinyl Plank 20 Mil 7.25in x 48in 2.5 MM - Mulled Oak (SS5W3313),LVP
1000035878,EF Contract Plateau 2.5mm (EFCP2) 18in x 36in - Acier (001),LVP
1000035880,Mannington Proxy PVC Free 7 1/4in X 48in 2.5mm - Andara Oak (PRX204),LVT
1000035902,Shaw In Unison 2.5 (4430V) 9in x 36in 2.5MM - Thatch (91720),LVP
1000035955,Shaw In Unison 5.0 (4391V) 9in x 36in 5.0MM - Thatch (91720),LVP
1000035973,Eastern Flooring Allegheny 7in x 48in 5.0MM - Mozer (ALE40122),LVP
1000035986,Mannington Spacia Wood 20 mil Micro-bevel Quantum Guard Elite 7.25in x 48in 2.5 MM - Lancaster Oak (SS5W1100),LVP
1000036007,Parterre Chevron 4.25in x 17in 3.0MM - Morning Oak (PFS43752),LVP
1000036022,Shaw Patcraft Guide (I762V) 9in x 36in 2.5MM - Truffle-V1 (00535),LVP
1000036088,Chesapeake Flooring ProSolutions 20 20 mil Floor Score Certified 7in x 48in 3 MM - Firestorm,LVP
1000036148,Mohawk Alladin Grass Valley 8 X 48 - Good Grey (938),LVT
1000036165,Tarkett True to Form Melded Concrete 18 X 18 - PCMC Worn Terrain (4657),LVT
1000036170,Shaw Contract Pivot 8 X 51 - Process (00575),LVT
1000036231,Shaw Fresh Take (3415V) 9in x 59in 6.5MM - Butterfly White (01166),LVP
1000036367,Shaw Lennar Wood (VY403) 6in x 48in 5.0MM - Mink (48720),LVP
1000036381,Tarkett Contour Stone Metamorphic (PCMP) 9in x 36in 3.0MM - Dunes (11078),LVP
1000036471,Tarkett Contour Abstract Fiber Effect (PCFT) 18in x 18in 3.0MM - Luminate (10776),LVT
1000036482,Armstrong Terra (5T556) 18 X 36 - Grigo,LVT
1000036547,Interface Shantung 25cm x 1m 4.5MM - Thistle (A02705),LVP
1000036552,Shaw Contract Inlet Unite 9in X 48in 5mm - Thistle (26535),LVT
1000036562,Tarkett Event Abstract PETE Texterran+ 12in X 24in - Chino (11192),LVT
1000036574,Hero Flooring High Performance LVT 7in x 48in 2.5MM - Midnight,LVP
1000036588,Interface Viva Colores 50cm X 50cm - Verde Primavera (101126) GlasBac,LVT
1000036593,"Shaw Branching Out 5.0 Mm (4480V) 6""X48"" - Riverside Oak  (56140)",LVT
1000036611,Mannington Spacia Wood 7.25in x 48in - Dusty Walnut (SS5W2542),LVT
1000036625,Shaw Terrain II 12 Mil 2.0 (4604V) 6in x 48in 2.0MM - Timber (00572),LVP
1000036633,Next Floor Botanica 587 7.8in x 48in 6.5MM - Spring Oak (587 002),LVP
1000036638,Mannington Amtico Stone 12in x 12in 2.5MM Unbeveled -  Travertine Romano (AR0STV33),LVT
1000036656,Shaw Philadelphia Vecchio (5602V) Direct Glue LVT 24in x 24in 3/32in - Buono (00512),LVT
1000036724,Shaw Patcraft Homegrain 20 (I752V) 5.91in x 47.24in 2.5MM - Veranda-V2 (00110),LVP
1000036725,Altro Tegulis 3 x 12 Subway 4ft x 8ft 2in - Winter Weave,LVT
1000036726,Shaw Branching Out 5.0 MM (4480V) 6in x 48in - Pinecone Oak (56720),LVP
1000036735,Mannington Spacia Wood 7.25in x 48in 2.5MM Unbeveled - Dusky Walnut (SS5W2542),LVP
1000036745,Altro Tegulis 3 x 6 Subway 4ft x 8ft 2in - Standard White (41),LVT
1000036746,Shaw Patcraft Pursue (I633V) 7.09in x 47.24in 2.5MM - Natural-V2 (00130),LVP
1000036875,Karndean LooseLay Longboard Plank 10in x 59in 4.5MM - Nude Danish Oak (LLP358),LVP
1000036876,Mohawk Weave (CR709) 18in x 36in 3.0MM - Icansi (729),LVP
1000036940,BPI Urban Design 12 7in x 48in 2.0MM - Del Mar (HF1604-12),LVP
1000036988,LG Hausys Pike's Peak 20 mil glue down 12in x 24in 2.5 MM - ACRUX (DTT6373),LVT
1000037012,Shaw Patcraft-Timber Grove II (I559V)-20 mil Glue Down ExoGuard-6in x 48in-5.0mm-Shady Grove (05012),LVP
1000037072,Mannington Stride Color Anchor 6 X 36 - City Mouse (C165),LVT
1000037076,Interface Studio Set 4.5mm 25cm x 1m - Poppy (A00710),LVT
1000037082,Event+ Wood Heritage Plank 6X48 30mil - Heirloom (11220),LVT
1000037083,INTERFACE\TEXTURED WOODGRAINS\A00421 RUSTIC OAK\25CMX1M,LVT
1000037143,GemCore Meridian II 7in x 48in 2.0MM - Oak Kenton,LVP
1000037187,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Satinwood (00140),VCT
1000037204,Mannington Amtico Sigture Stone 40 mil LVT w/ micro-beveled edges 18in x 18in 2.5 MM - Stria Volcanic (AR0SMS42),LVT
1000037258,MSI Surfaces Glenridge 6in x 48in 2.0MM - Elmwood Ash,LVP
1000037333,Interface-Level Set Textured Woodgrains (A004)-Luxury Vinyl Plank-25cm x 1m-4.5 mm-Rustic Hickory (A00422),LVP
1000037345,AHF Contract Iliad 12in x 12in x 1/8in - Dominant Gray (CR009),VCT
1000037359,"SHAW\0453V TERRAIN II 12 MIL\05012 SUMMIT\6""X48""",LVT
1000037399,Shaw Polaris Plus (VE433) 7in x 48in 5.0MM - Marina (02014),LVP
1000037400,Shaw Polaris Plus (VE433) 7in x 48in 5.0MM - Wild Dunes (07089),LVP
1000037412,American Biltrite Estrie Mirra Wood 7.25 x 48 3MM - Dark Brown (MNB-003),LVT
1000037434,Mohawk Bolder 5.0 (C2108) 18in x 36in 5.0MM - Aura (859),LVT
1000037516,Mohawk Hot and Heavy Secoya 9 X 59 - Oakbark (833),LVT
1000037521,Shaw Patcraft Pursue 7.09in x 47.24in - Mellow (00780),LVT
1000037606,Cobalt Surfaces Katanga 5mm 20mil LL w/pad 7in x 48in planks - Barnwood (KP5-825),LVP
1000037613,Shaw Resilient Tile & Plank Inlet II (4372V) 20 mil squared edge 9in x 48in 5.0mm - Valley (72103),LVT
1000037643,Shaw World's Fair Plank (0318V) 6in x 48in 2.0MM - Dublin (763),LVP
1000037650,Shaw Builder Resolute (VE278) 48 in x 7 in x 5.5 mm- Fresh Pine (05052),LVT
1000037664,Durato Azul Tortuga 7in X 48in 5.0MM - Loredo (AT-22),LVP
1000037686,Mohawk Secoya 5.0 (C2104) 9.84in x 59.60in 5.0MM - Rustic Oak (939),LVP
