part_no,part_description,new_commodity_description
6677,"TARKETT\EVENT HERITAGE PLANK EHP\GW29 ANTIQUE CIMARRON\6""36""",LVT
6678,"TARKETT\EVENT HERITAGE PLANK EHP\GW38 ANTIQUE WALNUT\6""X36""",LVT
6852,"SHAW\0187V UNCOMMON GROUND\02540 TELLURIDE\4""X36""",LVT
6884,"SHAW\0188V UNCOMMON GROUND\02573 CHOCOLATE CHERRY\6""X36""",LVT
9257,INTERFACE\STUDIO SET\A00726 PEBBLE\25CMX1M,LVT
9259,INTERFACE\TEXTURED WOOD GRAINS\A00406 ANTIQUE LIGHT OAK\25CMX1M,LVT
9265,"ARMSTRONG\DUO\ST932 SPRETTO ENGLISH GREY\6""X36""",LVT
9288,"INTERFACE\STUDIO SET\A00705 TITANIUM\9.845""X39.38""",LVT
9296,"INTERFACE\STIDIO SET\A00709 OCEAN\9.845""X39.38""",LVT
9297,"INTERFACE\STUDIO SET\A00711 MANDARIN\9.845""X39.38""",LVT
9299,"INTERFACE\STUDIO SET\A00713 SLATE\9.845""X39.38""",LVT
9303,"INTERFACE\STUDIO SET\A00718 DEEP FUSHIA\9.845""X39.38""",LVT
9306,"INTERFACE\STUDIO SET\A00721 ELECTRIC BLUE\9.845""X39.38""",LVT
9311,"INTERFACE\STUDI SET\A00727 SAND\9.845""X39.38""",LVT
9314,"INTERFACE\NATURAL WOODGRAINS\A00203 CHESTNUT\9.845""X39.38""",LVT
9315,"INTERFACE\NATURAL WOODGRAINS\A00205 STORM\9.845""X39.38""",LVT
9316,"INTERFACE\NATURAL WOODGRAINS\A00207 WASHED WHEAT\9.845""X39.38""",LVT
9317,"INTERFACE\NATURAL WOODGRAINS\A00208 SAND DUNE\9.845""X39.38""",LVT
9341,INTERFACE\TEXTURED WOODGRAINS\A00423 RUSTIC ASH\25CMX1M,LVT
9358,"TARKETT\ID LATITUDE WOOD\3530 VINTAGE OAK\6""X48""",LVT
9395,INTERFACE\BRUSHED LINES\A01608 SANDALWOOD\25CMX1M,LVT
9397,INTERFACE\BRUSHED LINES\A01611 MOUSSE\25CMX1M,LVT
9545,"TARKETT\ID LATITUDE\3305 AMERICAN CHERRY\6""X48""",LVT
9562,"TARKETT\ID LATITUDE WOOD\3523 LAURAEL OAK\6""X48""",LVT
9563,"TARKETT\ID LATITUDE WOOD\3603 URBAN OAK\6""X48""",LVT
9568,"TARKETT\ID LATITUDE WOOD\7526 PEARL MAPLE\6""X48""",LVT
9582,"ARMSTRONG\PARALLEL USA 20\J5255 BRUSHED ESSENCE ENCHATED\6""X48""",LVT
9585,"ARMSTRONG\PARALLEL USA 20\J5235 FLINT RIDGE STORM SKY\6""X48""",LVT
9586,"ARMSTRONG\PARALLEL USA 20\J5203 GLEN BROOK OAK DRIFT SAND\6""X48""",LVT
10154,"MANNINGTON\SPACIA WOOD\SS5W2542 DUSKY WALNUT\7.25""X48""",LVT
10158,"MANNINGTON\SPACIA WOOD\SS5W2541 EXOTIC WALNUT\7.25""X48""",LVT
10187,"SHAW\0648V SOLITUDE\48599 FRENCH GREY\6""X48""",LVT
10241,"MANNINGTON\SPACIA WOOD\SS5W2654 WHITE MAPLE\7.25""X48""",LVT
