site_description,site,unit,unitclass,commodity_group,commodity_description,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M
Flooring Solutions N Charleston,FSC,SQYD,Area,1CPT,Carpet Tile,1.3543,1.3321,1.3098,1.2876,1.2322,1.2322,1.2322,1.2322,1.2322,1.2322
Wright Commercial Floors,DPW,CWT,Weight,1VNL,LVT,24.26,22.12,17.14,13.79,13.79,10.89,9.01,9.01,9.01,9.01
Wright Commercial Floors,DPW,CWT,Weight,1VNL,LVP,24.26,22.12,17.14,13.79,13.79,10.89,9.01,9.01,9.01,9.01
Wright Commercial Floors,DPW,CWT,Weight,1VNL,VCT,24.26,22.12,17.14,13.79,13.79,10.89,9.01,9.01,9.01,9.01
Wright Commercial Floors,DPW,SQYD,Area,1CBL,Carpet Roll,0.4629,0.4552,0.4477,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Wright Commercial Floors,DPW,SQYD,Area,1CPT,Carpet Tile,0.7869,0.7739,0.7611,0.7481,0.7481,0.7481,0.7481,0.7481,0.7481,0.7481
Contract Carpet Solutions,CCS,CWT,Weight,1VNL,LVT,21.11,19.25,14.92,10.4,10.4,7.84,7.84,7.84,7.84,7.84
Contract Carpet Solutions,CCS,CWT,Weight,1VNL,VCT,21.11,19.25,14.92,10.4,10.4,7.84,7.84,7.84,7.84,7.84
Contract Carpet Solutions,CCS,CWT,Weight,1VNL,LVP,21.11,19.25,14.92,10.4,10.4,7.84,7.84,7.84,7.84,7.84
Contract Carpet Solutions,CCS,SQYD,Area,1CBL,Carpet Roll,0.496,0.4795,0.4671,0.4599,0.4506,0.4506,0.4506,0.4506,0.4506,0.4506
Contract Carpet Solutions,CCS,SQYD,Area,1CPT,Carpet Tile,0.8432,0.8151,0.7941,0.7801,0.766,0.766,0.766,0.766,0.766,0.766
Contract Carpet Solutions (Gov),CCSG,CWT,Weight,1VNL,LVT,21.11,19.25,14.92,12,12,9.4,7.84,7.84,7.84,7.84
Contract Carpet Solutions (Gov),CCSG,CWT,Weight,1VNL,VCT,21.11,19.25,14.92,12,12,9.4,7.84,7.84,7.84,7.84
Contract Carpet Solutions (Gov),CCSG,CWT,Weight,1VNL,LVP,21.11,19.25,14.92,12,12,9.4,7.84,7.84,7.84,7.84
Contract Carpet Solutions (Gov),CCSG,SQYD,Area,1CBL,Carpet Roll,0.496,0.4795,0.4671,0.4589,0.4506,0.4506,0.4506,0.4506,0.4506,0.4506
Contract Carpet Solutions (Gov),CCSG,SQYD,Area,1CPT,Carpet Tile,0.8432,0.8151,0.7941,0.7801,0.766,0.766,0.766,0.766,0.766,0.766
Flooring Solutions - New Hanover,FSNC,CWT,Weight,1VNL,LVT,20.65,18.82,14.59,11.93,11.93,9.76,7.67,7.67,7.67,7.67
Flooring Solutions - New Hanover,FSNC,CWT,Weight,1VNL,VCT,20.65,18.82,14.59,11.93,11.93,9.76,7.67,7.67,7.67,7.67
Flooring Solutions - New Hanover,FSNC,CWT,Weight,1VNL,LVP,20.65,18.82,14.59,11.93,11.93,9.76,7.67,7.67,7.67,7.67
Flooring Solutions - New Hanover,FSNC,SQYD,Area,1CBL,Carpet Roll,0.7388,0.7266,0.7145,0.7024,0.6722,0.6722,0.6722,0.6722,0.6722,0.6722
Flooring Solutions - New Hanover,FSNC,SQYD,Area,1CPT,Carpet Tile,1.2559,1.2353,1.2147,1.1941,1.1427,1.1427,1.1427,1.1427,1.1427,1.1427
Spectra Lockland,SPL,CWT,Weight,1VNL,LVT,22.13,17.22,12.82,9.43,9.43,6.61,5.11,5.11,5.11,5.11
Spectra Lockland,SPL,CWT,Weight,1VNL,VCT,22.13,17.22,12.82,9.43,9.43,6.61,5.11,5.11,5.11,5.11
Spectra Lockland,SPL,CWT,Weight,1VNL,LVP,22.13,17.22,12.82,9.43,9.43,6.61,5.11,5.11,5.11,5.11
Spectra Lockland,SPL,SQYD,Area,1CBL,Carpet Roll,0.4367,0.4231,0.414,0.4049,0.3958,0.3958,0.3958,0.3958,0.3958,0.3958
Spectra Lockland,SPL,SQYD,Area,1CPT,Carpet Tile,0.7424,0.7193,0.7038,0.6884,0.6729,0.6729,0.6729,0.6729,0.6729,0.6729
Continental Floors,SPCB,CWT,Weight,1VNL,LVT,22.82,18.77,14.11,11.21,11.21,7.95,5.78,5.78,5.78,5.78
Continental Floors,SPCB,CWT,Weight,1VNL,VCT,22.82,18.77,14.11,11.21,11.21,7.95,5.78,5.78,5.78,5.78
Continental Floors,SPCB,CWT,Weight,1VNL,LVP,22.82,18.77,14.11,11.21,11.21,7.95,5.78,5.78,5.78,5.78
Continental Floors,SPCB,SQYD,Area,1CBL,Carpet Roll,0.4305,0.4225,0.4104,0.4024,0.3934,0.3934,0.3934,0.3934,0.3934,0.3934
Continental Floors,SPCB,SQYD,Area,1CPT,Carpet Tile,0.7319,0.7182,0.6977,0.684,0.6703,0.6703,0.6703,0.6703,0.6703,0.6703
