site_description,site,unit,unitclass,commodity_group,commodity_description,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M
Spectra Denver,SPD,CWT,Weight,1VNL,VCT,31.43,28.66,22.83,19.08,19.08,14.91,12.53,12.53,12.53,12.53
Spectra Denver,SPD,SQYD,Area,1CBL,Carpet Roll,0.671,0.6551,0.6472,0.6273,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075
Spectra Denver,SPD,SQYD,Area,1CPT,Carpet Tile,1.1407,1.1137,1.1002,1.0665,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327
Floor Sol Union,FSU,CWT,Weight,1VNL,LVT,18.69,17.03,13.21,10.62,10.62,8.32,6.94,6.94,6.94,6.94
Floor Sol Union,FSU,CWT,Weight,1VNL,LVP,18.69,17.03,13.21,10.62,10.62,8.32,6.94,6.94,6.94,6.94
Floor Sol Union,FSU,CWT,Weight,1VNL,VCT,18.69,17.03,13.21,10.62,10.62,8.32,6.94,6.94,6.94,6.94
Floor Sol Union,FSU,SQYD,Area,1CBL,Carpet Roll,1.2701,1.2492,1.2283,1.2076,1.1556,1.1556,1.1556,1.1556,1.1556,1.1556
Floor Sol Union,FSU,SQYD,Area,1CPT,Carpet Tile,2.1592,2.1237,2.0882,2.0528,1.9645,1.9645,1.9645,1.9645,1.9645,1.9645
Kenny Floor Covering,KFC,CWT,Weight,1VNL,LVT,20.07,18.3,13.6,10.25,8.16,8.16,6.91,6.91,6.91,6.91
Kenny Floor Covering,KFC,CWT,Weight,1VNL,LVP,20.07,18.3,13.6,10.25,8.16,8.16,6.91,6.91,6.91,6.91
Kenny Floor Covering,KFC,CWT,Weight,1VNL,VCT,20.07,18.3,13.6,10.25,8.16,8.16,6.91,6.91,6.91,6.91
Kenny Floor Covering,KFC,SQYD,Area,1CBL,Carpet Roll,0.5953,0.5856,0.5758,0.566,0.5417,0.5953,0.5856,0.5758,0.566,0.5417
Kenny Floor Covering,KFC,SQYD,Area,1CPT,Carpet Tile,1.0121,0.9954,0.9788,0.9622,0.9208,1.0121,0.9954,0.9788,0.9622,0.9208
Spectra Pelham,SPP,CWT,Weight,1VNL,LVT,16.4,14.95,11.11,8.37,6.67,6.67,5.64,5.64,5.64,5.64
Spectra Pelham,SPP,CWT,Weight,1VNL,LVP,16.4,14.95,11.11,8.37,6.67,6.67,5.64,5.64,5.64,5.64
Spectra Pelham,SPP,CWT,Weight,1VNL,VCT,16.4,14.95,11.11,8.37,6.67,6.67,5.64,5.64,5.64,5.64
Spectra Pelham,SPP,SQYD,Area,1CBL,Carpet Roll,0.6614,0.6491,0.6306,0.6182,0.6058,0.6614,0.6491,0.6306,0.6182,0.6058
Spectra Pelham,SPP,SQYD,Area,1CPT,Carpet Tile,1.1245,1.1034,1.072,1.0509,1.0298,1.1245,1.1034,1.072,1.0509,1.0298
RD Weis Hawthorn,RDW,CWT,Weight,1VNL,LVT,32.69,30.36,25.52,19.5,15.43,15.43,13.63,13.63,13.63,13.63
