site,invoice_commodity_group,GA_weighted_avg,GA_median,GA_75th,xgs_weighted_avg,xgs_median,xgs_75th,hist_weighted_avg_all,hist_median_all,hist_75th_all,Recommended_weighted_avg,Recommended_median,Recommended_75th
SPTG,1VNL,0.252871448,0.242072929,0.377383774,0.301074792,0.371009979,0.658539574,0.217207251,0.242072929,0.399034039,0.268043735,0.256597305,0.422976081
SPTM,1CBL,1.071377676,1.029666667,1.141050533,0.904289338,0.820611069,1.084705556,1.175709297,1.114637613,1.390675676,1.246251855,1.181515869,1.474116216
SPTM,1CPT,1.563426647,1.576978272,2.271980172,1.375006047,1.394895833,1.76826539,1.63132089,1.583928571,2.567924115,1.729200144,1.678964286,2.721999562
SPTM,1VNL,0.207189842,0.226107,0.329526825,0.222029624,0.300136609,0.557058605,0.140076578,0.21609466,0.328122418,0.219621232,0.23967342,0.349298434
SPW,1CBL,0.580462508,1.053050314,1.387875,0.381095399,0.527304348,1.2128,0.635218891,1.056582863,1.636837604,0.673332025,1.119977834,1.73504786
SPW,1CPT,1.042770932,1.376287275,2.3625,0.737822096,0.85369863,1.516,1.059464423,1.380963434,2.663413397,1.123032288,1.46382124,2.823218201
SPW,1VNL,0.177738481,0.183484518,0.495092975,0.133960555,0.231244999,0.524364742,0.134507994,0.153701021,0.377527565,0.18840279,0.194493589,0.524798554
SPWV,1CBL,1.294787804,1.268905631,1.801576087,0.76169656,0.894148598,1.871586957,1.296731568,1.268535714,1.828687198,1.374535462,1.345039969,1.93840843
SPWV,1CPT,1.639423629,1.73734375,1.912011059,1.549538828,1.520102405,2.51,1.52848715,1.737345788,1.925332636,1.737789047,1.841586535,2.040852595
SPWV,1VNL,0.225751006,0.286809324,0.511800924,0.255423499,0.414065554,0.813236826,0.161110902,0.219862351,0.363485136,0.239296066,0.304017883,0.542508979
