site,invoice_commodity_group,GA_weighted_avg,GA_median,GA_75th,xgs_weighted_avg,xgs_median,xgs_75th,hist_weighted_avg_all,hist_median_all,hist_75th_all,Recommended_weighted_avg,Recommended_median,Recommended_75th
SPLV,1CBL,1.357613818,2.024963994,4.383708467,2.617967721,4.370875725,7.309866024,1.218949207,1.583121303,4.383440514,1.439070647,2.146461834,4.646730975
SPLV,1CPT,1.313908332,1.438814889,1.558422746,0.817758429,0.749296875,1.631674836,1.045616172,1.438719163,1.538884119,1.392742832,1.525143782,1.651928111
SPLV,1VNL,0.078388712,0.135251315,0.217358247,0.085157941,0.137870211,0.25988264,0.07985078,0.135247064,0.224219485,0.084641827,0.143366394,0.237672654
SPN,1CBL,0.157368971,0.77,0.878352941,0.295446348,0.361406845,1.096554755,0.799595546,0.854847959,1.886768723,0.847571279,0.906138837,1.999974847
SPN,1CPT,0.232414309,0.780019168,1.779641513,0.494303473,0.604760968,1.5371875,0.611733834,0.78955102,2.213419732,0.648437864,0.836924082,2.346224916
SPN,1VNL,0.016970235,0.149805296,0.314604606,0.056958333,0.119891618,0.461720982,0.07538257,0.163261053,0.354538924,0.079905524,0.173056716,0.37581126
SPT,1CBL,0.956190679,1.007741667,1.118136905,0.704361416,0.808533333,1.555105508,1.213527712,1.017567568,1.345125,1.286339375,1.078621622,1.4258325
SPT,1CPT,1.270712254,1.383988294,1.823827024,0.907170381,0.870254055,2.028093645,1.317384906,1.390615045,2.176483982,1.396428,1.474051948,2.307073021
SPT,1VNL,0.086700828,0.153236741,0.227035014,0.116380845,0.179360899,0.253646258,0.13457424,0.160061178,0.427918475,0.142648695,0.169664849,0.453593584
SPTG,1CBL,0.359107461,1.890408163,2.465890671,1.493398683,1.176041178,2.5245,1.701896557,1.920210723,2.563273507,1.80401035,2.035423366,2.717069917
SPTG,1CPT,1.122779694,1.970028986,2.834896811,2.008795181,1.999310611,2.976587262,2.000179299,1.970104016,2.878530352,2.120190057,2.088310257,3.051242173
SPTG,1VNL,0.246520796,0.247213228,0.397373032,0.318643906,0.371014149,0.97971991,0.217207251,0.242072929,0.399034039,0.261312044,0.262046022,0.422976081
SPTM,1CBL,0.678694792,1.029666667,1.157541096,1.013197203,0.943222222,2.3725545,1.175709297,1.114637613,1.390675676,1.246251855,1.181515869,1.474116216
SPTM,1CPT,1.128767676,1.574873177,2.252806463,1.429352745,1.394895833,2.12225,1.63132089,1.583928571,2.567924115,1.729200144,1.678964286,2.721999562
SPTM,1VNL,0.157592744,0.220161379,0.328639844,0.233735198,0.300135254,0.654060336,0.140076578,0.21609466,0.328122418,0.167048308,0.233371062,0.348358235
SPW,1CBL,0.580462508,1.053050314,1.387875,0.381095399,0.527304348,1.2128,0.635218891,1.056582863,1.636837604,0.673332025,1.119977834,1.73504786
SPW,1CPT,1.030827941,1.380639773,2.393639076,0.813895682,0.853703147,1.729133787,1.059464423,1.380963434,2.663413397,1.123032288,1.46382124,2.823218201
SPW,1VNL,0.147242895,0.172133264,0.424160163,0.147062573,0.231246032,0.615637913,0.134507994,0.153701021,0.377527565,0.156077468,0.18246126,0.449609773
SPWV,1CBL,1.283391247,1.268535714,1.801576087,0.775946852,0.963844706,2.440277778,1.296731568,1.268535714,1.828687198,1.374535462,1.344647857,1.93840843
SPWV,1CPT,1.398069297,1.737285481,1.885782376,1.625045035,1.520109395,2.7453125,1.52848715,1.737345788,1.925332636,1.620196379,1.841586535,2.040852595
SPWV,1VNL,0.155310539,0.279529483,0.4809001,0.240776336,0.468919944,0.955297907,0.161110902,0.219862351,0.363485136,0.170777556,0.296301251,0.509754106
