po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,commodity_group,commoditydescription,quantity,uom,po_freight_cost,conversion_code
27477,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",196889-001,Shaw Patcraft Rebalance (I0500) Multi Level Pattern Loop 24in x 24in - Mountain Shadow (00450),1CPT,Carpet Tile,24,SQYD,470.87,Carpet_Tile_1CPT_SQYD
27572,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",175049-006,Shaw Tile Entree Tile (5T033) Needlebond 24in x 24in - Charcoal (31549),1CPT,Carpet Tile,15.99,SQYD,24.68,Carpet_Tile_1CPT_SQYD
27574,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",185342-009,Shaw Patcraft Orbital (I0379) Multi Level Pattern Loop 24in x 24in - Flying Saucer (00570),1CPT,Carpet Tile,330.46,SQYD,509.97,Carpet_Tile_1CPT_SQYD
27725,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,209336-007,Milliken Centro Singular Tufted Textured Loop Pile 1m x 1m - 107 (107),1CPT,Carpet Tile,175.81,SQYD,195.66,Carpet_Tile_1CPT_SQYD
28261,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",201318-006,Shaw Contract Exchange (5T304) Multi-Level Pattern Dyed Loop 18in x 36in - Riad (01518),1CPT,Carpet Tile,315,SQYD,467.69,Carpet_Tile_1CPT_SQYD
28405,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",191440-002,Shaw Contract Intent Tile (5T208) Multi Level Pattern Loop 24in x 24in - Skylight (08530),1CPT,Carpet Tile,1022.35,SQYD,1275.69,Carpet_Tile_1CPT_SQYD
28515,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",200669-014,Shaw Contract Arrange Tile (5T294) Multi Level Pattern Loop 24in x 24in - Shiny Pebble (94761),1CPT,Carpet Tile,124.46,SQYD,151.16,Carpet_Tile_1CPT_SQYD
28518,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191920-006,Shaw Patcraft Reason (I0459) Multi Level Pattern Loop 24in x 24in - Intent (00750),1CPT,Carpet Tile,34,SQYD,368.8,Carpet_Tile_1CPT_SQYD
28526,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000007701,Milliken Jourl Freehand Tufted Texture Loop 50cm x 50 cm (Custom IC4-B),1CPT,Carpet Tile,185.08,SQYD,321.64,Carpet_Tile_1CPT_SQYD
28526,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000007704,Milliken Jourl Freehand Tufted Texture Loop 50cm x 50 cm (Custom II 1-B),1CPT,Carpet Tile,185.08,SQYD,321.64,Carpet_Tile_1CPT_SQYD
28610,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",156103-001,Shaw Patcraft Big Splash! Modular (I0166) Graphic Loop 24in x 24in - Spiral (00102),1CPT,Carpet Tile,9,SQYD,71.54,Carpet_Tile_1CPT_SQYD
28905,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",202840-007,Shaw Contract Commons Tile (5T323) Multi Level Pattern Loop 24in x 24in - Plaster (23530),1CPT,Carpet Tile,5,SQYD,39.74,Carpet_Tile_1CPT_SQYD
28953,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",151322-005,Shaw Patcraft Socrates II Tile (I0126) Textured Loop 24in x 24in - Augustine (00401),1CPT,Carpet Tile,137,SQYD,1088.97,Carpet_Tile_1CPT_SQYD
29196,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,121550,Mohawk Industries,172606-010,Lees Brain Power Modular EcoFlex ICT (GT136) Textured Patterned Loop 24in x 24in - Technique (936),1CPT,Carpet Tile,96,SQYD,157.12,Carpet_Tile_1CPT_SQYD
29279,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",179112-026,Shaw Contract Reverse Tile - Ecoworx (5T069) Multi Level Pattern Loop 24in x 24in - Horizon (69496),1CPT,Carpet Tile,8,SQYD,79.48,Carpet_Tile_1CPT_SQYD
29279,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",179112-026,Shaw Contract Reverse Tile - Ecoworx (5T069) Multi Level Pattern Loop 24in x 24in - Horizon (69496),1CPT,Carpet Tile,2,SQYD,79.48,Carpet_Tile_1CPT_SQYD
31157,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",173762-008,Shaw Tile Absorbed (5T003) Undefined 24in x 24in - Frequency (01585),1CPT,Carpet Tile,239.97,SQYD,331.85,Carpet_Tile_1CPT_SQYD
31349,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175050-006,Shaw Tile Welcome II Tile (5T031) Needlebond 24in x 24in - Charcoal (31549),1CPT,Carpet Tile,10.66,SQYD,17.08,Carpet_Tile_1CPT_SQYD
32243,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",208658-003,Shaw Contract Diffuse (5T419) Multi Level Pattern Loop 24in x 24in - Passport (75597),1CPT,Carpet Tile,177.77,SQYD,295.22,Carpet_Tile_1CPT_SQYD
32243,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",208658-003,Shaw Contract Diffuse (5T419) Multi Level Pattern Loop 24in x 24in - Passport (75597),1CPT,Carpet Tile,88.88,SQYD,295.22,Carpet_Tile_1CPT_SQYD
32683,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",208648-006,Shaw Contract Elevate Tile (5T388) Multi Level Pattern Loop 24in x 24in - Path (88555),1CPT,Carpet Tile,234.64,SQYD,352.71,Carpet_Tile_1CPT_SQYD
