po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,commodity_group,commoditydescription,quantity,uom,po_freight_cost,conversion_code
53994,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",189588-007,Shaw Tile Resurface Tile (5T168) Multi Level Pattern Loop 12in x 48in - Cinder (68515),1CPT,Carpet Tile,79.95,SQYD,114.38,Carpet_Tile_1CPT_SQYD
54283,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004940,Milliken Centro Singular 1m x 1m Traction Back - 107,1CPT,Carpet Tile,45.45,SQYD,98.62,Carpet_Tile_1CPT_SQYD
54284,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004940,Milliken Centro Singular 1m x 1m Traction Back - 107,1CPT,Carpet Tile,40.66,SQYD,98.62,Carpet_Tile_1CPT_SQYD
54541,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",200940-007,Shaw Contract Structure Tile (5T297) Multi Level Pattern Loop 24in x 24in - Mirror Grey (94535),1CPT,Carpet Tile,364.42,SQYD,386.16,Carpet_Tile_1CPT_SQYD
54761,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",162681-002,Shaw Patcraft Easy On The Eyes (I0227) Double Scroll 24in x 24in - Abracadabra (00110),1CPT,Carpet Tile,106.6,SQYD,141.83,Carpet_Tile_1CPT_SQYD
55229,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,107768,Milliken & Company,185255-009,Milliken turally Drawn-Hand Sketched Transition Tufted Texture Loop 50cm x 50cm - BLUE D/HARBOR GR (HST73-154-106),1CPT,Carpet Tile,220.06,SQYD,240.63,Carpet_Tile_1CPT_SQYD
55284,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,107768,Milliken & Company,194703-015,Milliken Moraine Explorer Tufted Texture Loop 50cm x 50cm - Border (EXR180-119),1CPT,Carpet Tile,69.97,SQYD,1023.76,Carpet_Tile_1CPT_SQYD
55284,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,107768,Milliken & Company,194703-011,Milliken Moraine Explorer Tufted Texture Loop 50cm x 50cm - Stratum (EXR123-19),1CPT,Carpet Tile,50.23,SQYD,1023.76,Carpet_Tile_1CPT_SQYD
55284,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,107768,Milliken & Company,194703-001,Milliken Moraine Explorer Tufted Texture Loop 50cm x 50cm - Border w/ Navy (EXR19-180 (EXR19-180-119),1CPT,Carpet Tile,1456.43,SQYD,1023.76,Carpet_Tile_1CPT_SQYD
55507,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",196374-001,Interface French Seams (25550AK00) Tufted Cut & Loop 25cm x 1m - Chantilly (105604),1CPT,Carpet Tile,17.94,SQYD,60.62,Carpet_Tile_1CPT_SQYD
55788,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",1000010448,Interface AE311 Aerial (138830AK00) 25cm x 1m Glasbac - Greige (104672),1CPT,Carpet Tile,227.24,SQYD,391.52,Carpet_Tile_1CPT_SQYD
55788,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",1000010455,Interface AE315 Aerial (163230AK00) 25cm x 1m Glasbac - Greige/Persimmon (105811),1CPT,Carpet Tile,239.2,SQYD,391.52,Carpet_Tile_1CPT_SQYD
56052,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",206457-035,Shaw Patcraft Color Choice (GY204) Undefined 24in x 24in - Suede (00740),1CPT,Carpet Tile,10.66,SQYD,27.33,Carpet_Tile_1CPT_SQYD
56081,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,131.56,SQYD,179.34,Carpet_Tile_1CPT_SQYD
56094,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",1000010430, Shaw Philadelphia Multiplicity Tile (54815) Level Loop 18in x 36in - Oodles (00700),1CPT,Carpet Tile,20,SQYD,51.24,Carpet_Tile_1CPT_SQYD
56223,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175397-006,Shaw Tile Embark Tile (5T040) Full Repeat 24in x 24in - Myth (37505),1CPT,Carpet Tile,666.62,SQYD,1044.37,Carpet_Tile_1CPT_SQYD
56223,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",155631-018,Shaw Contract Gradient (59534) Pattern Loop 24in x 24in - Total Eclipse (34505),1CPT,Carpet Tile,4,SQYD,1044.37,Carpet_Tile_1CPT_SQYD
56223,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175048-005,Shaw Tile Bon Jour II (5T032) Needlebond 24in x 24in - Ebony (31500),1CPT,Carpet Tile,15.99,SQYD,1044.37,Carpet_Tile_1CPT_SQYD
56225,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",209184-004,Interface Open Air 417 (1475102500) Tufted Texture Loop 50cm x 50cm - Charcoal (107033),1CPT,Carpet Tile,41.86,SQYD,132.21,Carpet_Tile_1CPT_SQYD
56272,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191438-005,Shaw Contract Situation Tile (5T210) Multi Level Pattern Loop 24in x 24in - Woodsmoke (08760),1CPT,Carpet Tile,17,SQYD,167.49,Carpet_Tile_1CPT_SQYD
56279,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175499-002,Shaw Tile Wander Tile (5T039) Full Repeat 24in x 24in - Lustrous (37170),1CPT,Carpet Tile,31.99,SQYD,44.11,Carpet_Tile_1CPT_SQYD
56335,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",163592-006,Shaw Tile Diffuse (59575) Multi-Level Pattern Dyed Loop 24in x 24in - Routes (75500),1CPT,Carpet Tile,8,SQYD,82.94,Carpet_Tile_1CPT_SQYD
56377,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",179549-001,Interface Harmonize (138720AK00) Tufted Texture Loop 25cm x 1m - Cobalt (104039),1CPT,Carpet Tile,197.34,SQYD,207.12,Carpet_Tile_1CPT_SQYD
56609,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",171482-004,Shaw Patcraft Experience (I0291) Multi Level Pattern Loop 24in x 24in - Solution (00425),1CPT,Carpet Tile,146,SQYD,1109.39,Carpet_Tile_1CPT_SQYD
56609,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",171482-004,Shaw Patcraft Experience (I0291) Multi Level Pattern Loop 24in x 24in - Solution (00425),1CPT,Carpet Tile,-146,SQYD,1109.39,Carpet_Tile_1CPT_SQYD
56613,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",161445-003,Shaw Tile Transparent Tile (59563) Undefined 24in x 24in - Moonstone (62500),1CPT,Carpet Tile,6,SQYD,60.78,Carpet_Tile_1CPT_SQYD
56613,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175050-009,Shaw Tile Welcome II Tile (5T031) Needlebond 24in x 24in - Black Chocolate (31751),1CPT,Carpet Tile,10.66,SQYD,60.78,Carpet_Tile_1CPT_SQYD
56618,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,126695,Tarkett USA Inc,205467-001,Tarkett Substance (11449) Undefined 18in x 36in - BLOCK OUT (76204),1CPT,Carpet Tile,30,SQYD,130.5,Carpet_Tile_1CPT_SQYD
56725,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",191440-002,Shaw Contract Intent Tile (5T208) Multi Level Pattern Loop 24in x 24in - Skylight (08530),1CPT,Carpet Tile,310.8,SQYD,322.09,Carpet_Tile_1CPT_SQYD
57154,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",1000010430, Shaw Philadelphia Multiplicity Tile (54815) Level Loop 18in x 36in - Oodles (00700),1CPT,Carpet Tile,20,SQYD,26.21,Carpet_Tile_1CPT_SQYD
57835,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004940,Milliken Centro Singular 1m x 1m Traction Back - 107,1CPT,Carpet Tile,35.88,SQYD,98.62,Carpet_Tile_1CPT_SQYD
57838,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",171215-005,Interface Sew Straight (1462002500) Tufted Texture Loop 19.69in x 19.69in - Satin (102403),1CPT,Carpet Tile,801.32,SQYD,567.74,Carpet_Tile_1CPT_SQYD
58033,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",183682-007,Shaw Contract Basic Tile (5T121) Multi Level Pattern Loop 24in x 24in - Storm Cloud (17597),1CPT,Carpet Tile,2,SQYD,83.22,Carpet_Tile_1CPT_SQYD
58186,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,122034,Engineered Floors LLC,1000009160,Uplink Pentz Textured Loop Nexus Modular 24in x 24in - Royal (316),1CPT,Carpet Tile,24,SQYD,66.83,Carpet_Tile_1CPT_SQYD
58203,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,122034,Engineered Floors LLC,199735-007,J&J Intrinsic Modular (7096) Patterned Loop 24in x 24in - INHERENT (2726),1CPT,Carpet Tile,56,SQYD,73.39,Carpet_Tile_1CPT_SQYD
58209,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",182402-002,Shaw Contract Achromatic (5T107) Undefined 18in x 36in - Black (07505),1CPT,Carpet Tile,4,SQYD,78.84,Carpet_Tile_1CPT_SQYD
58234,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",212279-007,Shaw Contract Energize (5T458) Multi Level Pattern Loop 24in x 24in - Team (57760),1CPT,Carpet Tile,10.66,SQYD,78.84,Carpet_Tile_1CPT_SQYD
58304,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",1000011218," Shaw Contract Artisan Tile Ecoworx® Tile 24"" x 24"" Naga (96504)",1CPT,Carpet Tile,133.33,SQYD,194.53,Carpet_Tile_1CPT_SQYD
58319,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",206080-004,Shaw Contract Plains Tile (5T374) Multi Level Pattern Loop 18in x 36in - Meadow (71375),1CPT,Carpet Tile,55,SQYD,1122.27,Carpet_Tile_1CPT_SQYD
58319,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",206078-012,Shaw Contract Landing Edge Tile (5T375) Multi Level Pattern Loop 18in x 36in - Remote Resevoir (71485),1CPT,Carpet Tile,65,SQYD,1122.27,Carpet_Tile_1CPT_SQYD
58319,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",207856-005,Shaw Contract Landing Tile (5T373) Multi Level Pattern Loop 18in x 36in - Remote (71580),1CPT,Carpet Tile,405,SQYD,1122.27,Carpet_Tile_1CPT_SQYD
58319,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",206080-012,Shaw Contract Plains Tile (5T374) Multi Level Pattern Loop 18in x 36in - Resevoir (71485),1CPT,Carpet Tile,260,SQYD,1122.27,Carpet_Tile_1CPT_SQYD
58330,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",1000011159,Interface Panola Mountain Glasbac 50cm x 50cm - Meadow Lichen (107303),1CPT,Carpet Tile,35.88,SQYD,132.21,Carpet_Tile_1CPT_SQYD
58529,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",175996-005,Shaw Tile Path Tile (5T034) Multituft 24in x 24in - Sterling (34557),1CPT,Carpet Tile,10.66,SQYD,16.82,Carpet_Tile_1CPT_SQYD
58565,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",215040-002,Shaw Contract Diffuse Color (5T478) Multi Level Pattern Loop 24in x 24in - Cool Red (78527),1CPT,Carpet Tile,1546.56,SQYD,2271.73,Carpet_Tile_1CPT_SQYD
58639,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",173617-009,Interface Straight Edge (1462302500) Tufted Texture Loop 19.69in x 19.69in - custom (183746),1CPT,Carpet Tile,603.98,SQYD,509.24,Carpet_Tile_1CPT_SQYD
58701,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",205932-002,Shaw Contract Habitat (5T390) Undefined 36.00in x 9.00in - Still (88481),1CPT,Carpet Tile,40,SQYD,57.38,Carpet_Tile_1CPT_SQYD
59528,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",163592-022,Shaw Tile Diffuse (59575) Multi-Level Pattern Dyed Loop 24in x 24in - River Front (75535),1CPT,Carpet Tile,22,SQYD,168.31,Carpet_Tile_1CPT_SQYD
59531,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",162681-010,Shaw Patcraft Easy On The Eyes (I0227) Double Scroll 24in x 24in - Starring (00530),1CPT,Carpet Tile,36,SQYD,282.01,Carpet_Tile_1CPT_SQYD
59535,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",162681-010,Shaw Patcraft Easy On The Eyes (I0227) Double Scroll 24in x 24in - Starring (00530),1CPT,Carpet Tile,6,SQYD,282.01,Carpet_Tile_1CPT_SQYD
59535,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",162681-010,Shaw Patcraft Easy On The Eyes (I0227) Double Scroll 24in x 24in - Starring (00530),1CPT,Carpet Tile,30,SQYD,282.01,Carpet_Tile_1CPT_SQYD
59564,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,5226.52,SQYD,3233,Carpet_Tile_1CPT_SQYD
59566,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,53.82,SQYD,30.34,Carpet_Tile_1CPT_SQYD
59568,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,1752.14,SQYD,987.97,Carpet_Tile_1CPT_SQYD
59569,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,4772.04,SQYD,2806,Carpet_Tile_1CPT_SQYD
59570,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,3283.02,SQYD,3457.64,Carpet_Tile_1CPT_SQYD
59570,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,867.1,SQYD,3457.64,Carpet_Tile_1CPT_SQYD
59984,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",195293-006,Interface Ice Breaker (473002500) Tufted Texture Loop 50cm x 50cm - Agate (105776),1CPT,Carpet Tile,77.74,SQYD,179.79,Carpet_Tile_1CPT_SQYD
59984,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",1000011800,Interface Desert Veins 50cmx1m Ironwood (108144),1CPT,Carpet Tile,59.8,SQYD,179.79,Carpet_Tile_1CPT_SQYD
60164,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",1000010430, Shaw Philadelphia Multiplicity Tile (54815) Level Loop 18in x 36in - Oodles (00700),1CPT,Carpet Tile,25,SQYD,79.11,Carpet_Tile_1CPT_SQYD
60176,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",179112-025,Shaw Contract Reverse Tile - Ecoworx (5T069) Multi Level Pattern Loop 24in x 24in - Vista (69481),1CPT,Carpet Tile,149.32,SQYD,214.23,Carpet_Tile_1CPT_SQYD
60379,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,126695,Tarkett USA Inc,1000016279,TARKETT\04837 ASSERTIVE ACTION\26217 Fusion\ETHOS Backing\24x24,1CPT,Carpet Tile,40.02,SQYD,691.65,Carpet_Tile_1CPT_SQYD
60425,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",163672-022,Shaw Tile Disperse Tile (59576) Full Repeat 24in x 24in - Train Station (75557),1CPT,Carpet Tile,5.33,SQYD,7.81,Carpet_Tile_1CPT_SQYD
60434,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,108164,"Mannington Mills, Inc.",1000011504,"MANNINGTON\ADAPT\STREAM\35607 Waterfall\ 12"" x 36""",1CPT,Carpet Tile,40,SQYD,118.5,Carpet_Tile_1CPT_SQYD
60443,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",208648-006,Shaw Contract Elevate Tile (5T388) Multi Level Pattern Loop 24in x 24in - Path (88555),1CPT,Carpet Tile,154.65,SQYD,254.26,Carpet_Tile_1CPT_SQYD
60460,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175050-006,Shaw Tile Welcome II Tile (5T031) Needlebond 24in x 24in - Charcoal (31549),1CPT,Carpet Tile,10.67,SQYD,15.3,Carpet_Tile_1CPT_SQYD
60874,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,102775,"Interface Americas, Inc.",184731-005,Interface CT112 (123770AK00) Tufted Cut & Loop 25cm x 1m - Steel (104352),1CPT,Carpet Tile,227.24,SQYD,205.14,Carpet_Tile_1CPT_SQYD
61149,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,108164,"Mannington Mills, Inc.",195640-001,Mannington Blueprint Outline Textured Patterned Loop 24in x 24in - Borough (15217),1CPT,Carpet Tile,128,SQYD,137.52,Carpet_Tile_1CPT_SQYD
61283,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,122034,Engineered Floors LLC,194726-004,J&J Oxford Modular (7063) Patterned Loop 24in x 24in - Duck (2398),1CPT,Carpet Tile,5,SQYD,105.22,Carpet_Tile_1CPT_SQYD
61442,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",200940-010,Shaw Contract Structure Tile (5T297) Multi Level Pattern Loop 24in x 24in - Shiny Pebble (94761),1CPT,Carpet Tile,151.1,SQYD,160.73,Carpet_Tile_1CPT_SQYD
61460,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",175905-006,Shaw Patcraft Walk Right In II (I0304) Needlebond 24in x 24in - Charcoal (00590),1CPT,Carpet Tile,58.63,SQYD,86.17,Carpet_Tile_1CPT_SQYD
61615,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",162681-010,Shaw Patcraft Easy On The Eyes (I0227) Double Scroll 24in x 24in - Starring (00530),1CPT,Carpet Tile,34,SQYD,257.69,Carpet_Tile_1CPT_SQYD
61761,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",212796-005,Flor Industrious (21-1552) Needlepunch 50cm x 50cm - Black (Black),1CPT,Carpet Tile,21.56,SQYD,463.25,Carpet_Tile_1CPT_SQYD
61761,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",198004-004,Interface turally Weathered (39400AK00) Tufted Patterned Loop 25cm x 1m - Burnt Ember (106022),1CPT,Carpet Tile,352.82,SQYD,463.25,Carpet_Tile_1CPT_SQYD
61761,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",198004-004,Interface turally Weathered (39400AK00) Tufted Patterned Loop 25cm x 1m - Burnt Ember (106022),1CPT,Carpet Tile,-215,SQYD,463.25,Carpet_Tile_1CPT_SQYD
61764,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,121550,Mohawk Industries,204727-006,Mohawk MellowD (12BY36-GT426) Tufted 12in x 36in - Blue Bliss (965),1CPT,Carpet Tile,270.64,SQYD,371.4,Carpet_Tile_1CPT_SQYD
61794,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",182402-004,Shaw Contract Achromatic (5T107) Undefined 18in x 36in - Charcoal (07555),1CPT,Carpet Tile,4,SQYD,92.24,Carpet_Tile_1CPT_SQYD
61796,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",207715-009,Interface AE315 (163230AK01) Tufted Texture Loop 25cm x 1m - Granite/Azure (105816),1CPT,Carpet Tile,41.86,SQYD,132.21,Carpet_Tile_1CPT_SQYD
62362,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",162681-010,Shaw Patcraft Easy On The Eyes (I0227) Double Scroll 24in x 24in - Starring (00530),1CPT,Carpet Tile,126,SQYD,987.04,Carpet_Tile_1CPT_SQYD
62742,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,121550,Mohawk Industries,196312-006,Mohawk Framed Structure Tile (BT436) Tufted Textured Patterned Loop 24in x 24in - Charcoal (989),1CPT,Carpet Tile,21.33,SQYD,20.05,Carpet_Tile_1CPT_SQYD
62763,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175397-006,Shaw Tile Embark Tile (5T040) Full Repeat 24in x 24in - Myth (37505),1CPT,Carpet Tile,202.64,SQYD,283.69,Carpet_Tile_1CPT_SQYD
62771,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",163592-004,Shaw Tile Diffuse (59575) Multi-Level Pattern Dyed Loop 24in x 24in - Movement (75481),1CPT,Carpet Tile,35,SQYD,274.17,Carpet_Tile_1CPT_SQYD
62992,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",1000012625,Shaw Side by Side Ecoworx 18in x 36in Link (50375),1CPT,Carpet Tile,55,SQYD,135.63,Carpet_Tile_1CPT_SQYD
62992,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",182817-005,Shaw Contract CHOK EW24 (5T100) Undefined 24in x 24in - Angkor (99500),1CPT,Carpet Tile,37.31,SQYD,135.63,Carpet_Tile_1CPT_SQYD
63131,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",189684-008,Shaw Contract Sea (5T172) Multi Level Pattern Loop 24in x 24in - Island (72595),1CPT,Carpet Tile,63.96,SQYD,308.2,Carpet_Tile_1CPT_SQYD
63277,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",200941-002,Shaw Contract Array Tile (5T295) Multi Level Pattern Loop 24in x 24in - Shimmery Blue (94485),1CPT,Carpet Tile,71.11,SQYD,82.75,Carpet_Tile_1CPT_SQYD
63311,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,118209,"Flor, Inc.",214016-002,Flor Hard Lines (21-1526) high low Pile random Pattern 19.69in x 19.69in - Beige (B),1CPT,Carpet Tile,40.07,SQYD,150,Carpet_Tile_1CPT_SQYD
63346,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175996-006,Shaw Tile Path Tile (5T034) Multituft 24in x 24in - Suede (34740),1CPT,Carpet Tile,38,SQYD,290.57,Carpet_Tile_1CPT_SQYD
63743,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",196889-002,Shaw Patcraft Rebalance (I0500) Multi Level Pattern Loop 24in x 24in - Stone Hearth (00550),1CPT,Carpet Tile,34,SQYD,345.15,Carpet_Tile_1CPT_SQYD
63743,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175905-006,Shaw Patcraft Walk Right In II (I0304) Needlebond 24in x 24in - Charcoal (00590),1CPT,Carpet Tile,3,SQYD,345.15,Carpet_Tile_1CPT_SQYD
63757,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",196889-002,Shaw Patcraft Rebalance (I0500) Multi Level Pattern Loop 24in x 24in - Stone Hearth (00550),1CPT,Carpet Tile,18,SQYD,185.67,Carpet_Tile_1CPT_SQYD
63757,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175905-006,Shaw Patcraft Walk Right In II (I0304) Needlebond 24in x 24in - Charcoal (00590),1CPT,Carpet Tile,2,SQYD,185.67,Carpet_Tile_1CPT_SQYD
63804,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,121019,"Bentley Mills, Inc.",1000004213,Bentley-Windfall (6WFT2)-Affixx Hardback-24in x 24in- Aced It (400848),1CPT,Carpet Tile,200,SQYD,508.18,Carpet_Tile_1CPT_SQYD
64007,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",204294-008,Shaw Patcraft Inclusion (I0555) Multi Level Pattern Loop 24in x 24in - Malachite (00575),1CPT,Carpet Tile,355.56,SQYD,578.32,Carpet_Tile_1CPT_SQYD
64055,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",202340-004,Shaw Patcraft Access (I0533) Multi Level Pattern Loop 24in x 24in - Trek (00590),1CPT,Carpet Tile,10.66,SQYD,81,Carpet_Tile_1CPT_SQYD
64428,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",185717-001,Shaw Contract MHS tile (800C3) Multi Level Pattern Loop 24in x 24in - Black Tea (500),1CPT,Carpet Tile,437.3,SQYD,615.86,Carpet_Tile_1CPT_SQYD
64765,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191920-001,Shaw Patcraft Reason (I0459) Multi Level Pattern Loop 24in x 24in - Technique (00400),1CPT,Carpet Tile,417.76,SQYD,504.13,Carpet_Tile_1CPT_SQYD
64768,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191649-005,Shaw Patcraft Logic (I0460) Undefined 24in x 24in - Philosphy (00700),1CPT,Carpet Tile,71.11,SQYD,277.32,Carpet_Tile_1CPT_SQYD
64806,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,121550,Mohawk Industries,195615-005,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Slate (959),1CPT,Carpet Tile,8,SQYD,7.52,Carpet_Tile_1CPT_SQYD
