site,new_commodity_group,min of xgs_rate,mean of xgs_rate,median of xgs_rate,<lambda_0> of xgs_rate,max of xgs_rate,min of historical_rate,mean of historical_rate,median of historical_rate,<lambda_0> of historical_rate,max of historical_rate
SPN,1VNL, 0.0143 , 0.5123 , 0.1751 , 0.5708 , 19.2238 , 0.0001 , 0.3372 , 0.1539 , 0.3545 , 6.8518 
SPP,1CBL, 0.7005 , 2.5652 , 1.1417 , 0.7005 , 7.3044 , 0.5978 , 1.8871 , 1.0591 , 0.5978 , 4.7925 
SPP,1CPT, 1.1674 , 4.2393 , 1.6435 , 1.2492 , 23.3740 , 0.3689 , 2.4005 , 1.3727 , 2.1910 , 15.8220 
SPP,1VNL, 0.0564 , 0.5046 , 0.1805 , 0.6732 , 4.6490 , 0.0053 , 0.3556 , 0.1854 , 1.3577 , 2.6887 
SPS,1CBL, 0.5432 , 1.1789 , 0.6637 , 0.5432 , 2.6900 , 0.7400 , 1.8794 , 1.1079 , 0.7400 , 3.3696 
SPS,1CPT, 0.9234 , 2.7731 , 0.9783 , 0.9782 , 14.9777 , 0.6282 , 3.1669 , 1.4783 , 0.6282 , 15.0000 
SPS,1VNL, 0.1408 , 0.5811 , 0.2602 , 0.4683 , 2.1814 , 0.0230 , 0.6160 , 0.4404 , 0.0230 , 2.3437 
SPSA,1CBL, 0.6677 , 1.3780 , 0.6860 , 0.6677 , 6.5734 , 0.6800 , 1.6398 , 1.1446 , 0.6800 , 7.6148 
SPSA,1CPT, 1.1198 , 4.9764 , 1.1661 , 1.1660 , 73.0300 , 0.7891 , 7.1140 , 1.9920 , 0.7891 , 98.2600 
SPSA,1VNL, 0.1116 , 3.4624 , 0.2799 , 0.7313 , 87.5726 , 0.0069 , 1.9927 , 0.2768 , 0.0069 , 47.7016 
SPT,1CBL, 0.4995 , 2.6283 , 0.7644 , 0.5119 , 60.6400 , 0.6049 , 3.3388 , 1.0142 , 0.7800 , 117.0000 
SPT,1CPT, 0.3532 , 1.9188 , 0.8703 , 0.8703 , 30.3200 , 0.0300 , 2.4742 , 1.3897 , 0.9400 , 104.8645 
SPT,1VNL, 0.0425 , 2.1821 , 0.2312 , 0.8562 , 76.8952 , 0.0012 , 2.0842 , 0.1598 , 0.9134 , 89.6210 
