supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
"Mannington Mills, Inc.",1000025562,"Mannington Biospec MD 6'6"" 0.08 15433 Twilight SHEET VINYL",ROLL,1VNL
"Shaw Industries, Inc.",1000022957,Shaw Commercial Resilient Reside 12 Mil (4094V) Resilient LVT/Plank 5.9in x 47.2in 5/64in - 94155 Inhabit 6 in x 47 in,Vinyl Tile,1VNL
J.J. Haines & Company,1000025300,"Armstrong Standard Excelon Imperial Texture Vinyl Composition 12""X12"" - Marachino (51880)",Vinyl Tile,1VNL
J.J. Haines & Company,126732-054,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Little Green Apple (51866),VCT,1VNL
Tarkett USA Inc,1000026383,"Tarkett Adaptt LVT 7.2"" x 48"" 0.5mm - Whitewashed (2318)",LVT,1VNL
"Shaw Industries, Inc.",1000026479,Shaw Patcraft Inset (I577V) 20 mil glue down 18in x 36in 5.0mm - Ice Gold (00525),LVT,1VNL
"Interface Americas, Inc.",192103-012,Interface Level Set tural Woodgrains (A002) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Cedar (A00212),LVP,1VNL
"Shaw Industries, Inc.",1000026695,Shaw Patcraft Letterpress (I311V) Vinyl Tile Plank 23 5/8in x 23 5/8in 2.5 MM - Exclamation (00400),LVP,1VNL
"Shaw Industries, Inc.",215419-004,Shaw Resilient Tile & Plank Inlet II (4372V) 20 mil squared edge 9in x 48in 5.0mm - Spindle (72140),VCT,1VNL
"Shaw Industries, Inc.",1000026932,Shaw Image Studios Urban Light (VY302) 6in x 48in 20mil - IS155,LVP,1VNL
J.J. Haines & Company,126731-006,Armstrong Excelon Stonetex Premium VCT 12in x 12in 1/8 - Granite Gray (52125),VCT,1VNL
J.J. Haines & Company,1000026687,Armstrong Parallel USA 20 6x48 20 Mil - Brushed Essence Enchanted (J5255),LVT,1VNL
William M. Bird,213064-012,AHF Contract Mixed and Variegated Homogeneous Sheet 78.74in 2.0 MM - CITY DWELLER (1HG2M012),ROLL,1VNL
"Shaw Industries, Inc.",215051-003,Shaw Contract Reside (4381V) 20 mil squared edge 6in x 47in 2.5 MM - Dwelling (94250),VCT,1VNL
"Shaw Industries, Inc.",1000021653,"Shaw Contract Reside 12 Mil 6"" x 47"" 12 Mil 94155 Inhabit LVT",LVT,1VNL
"Interface Americas, Inc.",1000021523,Interface Northern Grain A026 25 cm x 1 m 4.5 mm A02612 Dark Satin LVT,LVT,1VNL
