supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
"Bentley Mills, Inc.",1000007053,Bentley Memory (BMMRY00948U) 20mil Direct Glue Luxury Vinyl Tile 9in x 48in 2.5mm - Prairie (801981),LVT,1VNL
"Shaw Industries, Inc.",1000020377,Shaw In Unison 2.5 (4430V) 9in x 36in 2.5MM - Join (91895),Vinyl Tile,1VNL
"Shaw Industries, Inc.",1000020373,"Shaw Cultura Crossing Paths (4431V) 18"" x 18"" 2.5mm - Spindle (91140)",LVT,1VNL
"Shaw Industries, Inc.",1000021533,"Shaw Cultura Crossing Paths (4431V) 18"" x 18"" 2.5mm - Smokey Oak (91516)",LVT,1VNL
"Shaw Industries, Inc.",1000021534,Shaw In Unison 2.5 (4430V) 9in x 36in 2.5MM - Unify (91450),Vinyl Tile,1VNL
"Shaw Industries, Inc.",1000020374,"Shaw Cultura Crossing Paths (4431V) 18"" x 18"" 2.5mm - Caster (91518)",LVT,1VNL
"Forbo Industries, Inc",1000025872,Forbo Flotex Wood 9.48in x 39.37in - Antique Wood (151006),Vinyl Tile,1VNL
Engineered Floors LLC,1000026474,"J+J Flooring Classics II (V5023) 9"" x 48"" 20mil - Notable (1000)",LVT,1VNL
Engineered Floors LLC,1000026613,"J&J Flooring Classics II (V5023) 9""x48"" 3mm - Paradigm (1008)",LVT,1VNL
"Mannington Mills, Inc.",1000023224,Mannington Amtico Wood 3in x 36in Unbeveled Edges - Classic Oak (AROW7430),Vinyl Tile,1VNL
Mohawk Industries,1000005109,Mohawk Molveno Stones (C0109) 11.75in x 35.75in 6MM - Grey Matters (979),LVT,1VNL
Tarkett USA Inc,216247-008,Tarkett Event+ Stone 30 Mil Techtonic Square Edge 12in x 24in 3 MM - Slate Summit (PESL 11196 RK),VCT,1VNL
"Shaw Industries, Inc.",1000027182,"Shaw Abide (4107V) 7"" x 47"" 2.5mm - Tahani Oak (07240)",LVT,1VNL
"Shaw Industries, Inc.",1000017565,Shaw Flow 2.5 (4385V) 18in x 18in 2.5MM - Dense (85504),LVT,1VNL
Spartan Surfaces,1000027166,Cobalt Surfaces Katanga Glue Down LVT 7in x 48in 3.0MM - Macadamia (K320-803),LVP,1VNL
"Mannington Mills, Inc.",1000025719,Mannington Amtico Abstract Micro-beveled Edges 12in x 12in 2.5MM - Glint Void (AR0AGG22),Vinyl Tile,1VNL
"Interface Americas, Inc.",1000027950,Interface Shantung 4.5MM 25cm x 1m - Beechnut (A02701),LVP,1VNL
Milliken & Company,1000027385,"Milliken Wood (2710025091) 9""x48"" 2.5mm - Fissure Oak (FIS56-20)",LVT,1VNL
Dal Tile Corporation,1000020852,Daltile Pines Terrace 7.25in x 48in 3.0MM - Ginger (PT78),Vinyl Tile,1VNL
"Shaw Industries, Inc.",1000028372,"Patcraft Earthen (1677V) 12""x24"" 5mm - Latte-V2 (00710)",LVT,1VNL
"Florstar Sales, Inc",1000012349,"Tarkett ID Latitude Stone 18"" x 18"" 3 mm Lunar Rock 7544",LVT,1VNL
"Shaw Industries, Inc.",1000028379,Shaw Stratum 700 (024UV) 7in x 48in 8MM - Hoosier Oak (00704),LVP,1VNL
"Siena, LLC",1000025645,Siena USA Canyon Tile (76T) Vinyl Compound - Yosemite (76T59),Vinyl Tile,1VNL
Engineered Floors LLC,1000029396,Engineered Floors New Standard Plus (R014) 7in x 48in 5MM - Kyoto (4032),LVP,1VNL
Spartan Surfaces,1000028851,Aspecta Contours Versaille 30.5cm x 140.78cm 8MM - Riviere (6816731X),LVP,1VNL
"Shaw Industries, Inc.",1000029162,Shaw Coded (4143V) 6in x 48in 5MM - Converse (43100),LVP,1VNL
All Surfaces,1000029439,"Interiors North America Footage Footage 3.20 7""x48"" - Ash Gray (CPR-9261)",LVT,1VNL
Mohawk Industries,1000029823,Mohawk Molveno Stones (CO109) 11.75in x 35.75in 6MM - Night Owl (997),LVP,1VNL
"Bentley Mills, Inc.",1000029360,Bentley Memory (BMMRY) 9in x 48in 2.5MM - Mission (801982),LVP,1VNL
Mats Inc DBA Matter Surfaces,1000029553,Matter Surfaces Formative Clic 7in x 48in 6.5MM - Chalk Oak,LVP,1VNL
"Shaw Industries, Inc.",1000030027,Shaw Philadelphia Indwell 12 (5661V) 7in x 48in 2MM - Blue Ridge (05100),LVP,1VNL
All Surfaces,1000031108,Interiors NA Footage 3.20 7in x 48in 3MM - Dark Lava (CPR-9263),LVP,1VNL
Spartan Surfaces,1000029821,Ecore Strait Rx 6ft - Burnished Nickel (6623),ROLL,1VNL
Spartan Surfaces,1000015536,Ecore Forest Rx 6ft x 7MM - American Oak (3380),ROLL,1VNL
"Altro USA, Inc.",1000032657,Altro Quartz Tile 24in x 24in 2MM - Sand CD (9322),LVT,1VNL
"Mannington Mills, Inc.",1000032890,Mannington The Drift Stone 12in x 24in 2.5MM - Motus Alloy (D203),LVT,1VNL
"Mannington Mills, Inc.",1000032865,Mannington Groove Beveled Edges 12in x 24in 2.5MM - Kettle Steam (C144),LVT,1VNL
Allied Business Solutions LLC,1000028439,Van Gelder Natures View Style Rustique 40 mil 7x48 - Antique Brown (NVR9415),LVP,1VNL
Chilewich Sultan LLC,1000028873,Chilewich Boucle 12ft - Salt,ROLL,1VNL
"Shaw Industries, Inc.",1000028028,Shaw Philadelphia Obelisk 12X24 2.5mm - Gray Slate (5214),LVT,1VNL
"Shaw Industries, Inc.",1000027978,Shaw Temporal (705CT) 9in x 72in 10MM - Vintage Taupe A (03021),LVP,1VNL
"Shaw Industries, Inc.",1000032560,Shaw Crossing Paths 5.0 (4392V) 18in x 18in 5.0MM - Thatch (91720),LVT,1VNL
"Mannington Mills, Inc.",201428-005,Mannington Paradigm II Flow Heterogeneous .020in wear layer 9' .080in - FOUNDATION (PD311),ROLL,1VNL
"Mannington Mills, Inc.",1000029168,Mannington Paradigm II Flow 9ft - Precedent (PD317),ROLL,1VNL
"Mannington Mills, Inc.",1000020592,Mannington Paradigm II Intersect 9ft x 0.080in - Precedent (PD117),ROLL,1VNL
"Moose Sports Surfaces, LTD",1000029161,Teknoflor Woodland Path 6in x 36in 3MM - Abacoa (WP52210A),LVP,1VNL
"Moose Sports Surfaces, LTD",1000029166,Teknoflor Forestscapes HPD 6ft 2.3MM - Abacoa (52210),ROLL,1VNL
"Moose Sports Surfaces, LTD",171011-011,Teknoflor Forestscapes Legacy HPD (Legacy Collection) 20 Mil Vinyl 6' 2.3 MM - Brazilian Teak (31111),ROLL,1VNL
"Bentley Mills, Inc.",1000031318,"Bentley Mills Ground Rules (BGRRUL648U) 6"" x 48"" 2.5mm - Coffee First (802012)",LVT,1VNL
"Shaw Industries, Inc.",1000035233,COREtec Originals Premium 9in x 72in 12.0MM - Virtue Oak (VV457-02904),LVP,1VNL
"Mannington Mills, Inc.",1000029181,Mannington Paradigm II Intersect 9ft x 0.080in - Foundation (PD111),ROLL,1VNL
Mohawk Industries,1000033620,Second Home Studio (C2071) 7.46in x 47.80in 5.0MM - Fawn (848),LVP,1VNL
Mohawk Industries,197602-002,Aladdin Grass Valley 20 (AH016) 20 mil glue down plank 8in x 48in 2.5 MM - Toasted Oak (872),LVP,1VNL
"Altro USA, Inc",12094,ALTRO\STRONGHOLD 30\K30500 TUNDRA\6'7,ROLL,1VNL
Spartan Surfaces,1000008690,AVA Fave 22 mil Click 5.2mm x 5.75Â” x 47.75Â” - Baltic Oak Taupe (BO002S),LVP,1VNL
"Bentley Mills, Inc.",209316-003,Bentley Mood (BMOOD) 20 mil Free Lay 9in x 48in 5.0mm - OPEN (801992),LVP,1VNL
Chilewich Sultan LLC,1000036570,Chilewich Earth Felt Vinyl 6ft 2.5MM - Blue Speckle,ROLL,1VNL
"Shaw Industries, Inc.",1000029249,"Patcraft Earthen (1677V) 12 x 24"" 2.5mm - Ash (00550)",LVT,1VNL
Engineered Floors LLC,1000036129,J&J Parquet (V5039) 18in x36in x 3mm - Structural (1113),LVT,1VNL
Karndean Design Flooring,140588-045,Karndean Van Gogh 20 mil glue down 7in x 48in 3 MM - Classic Oak (VGW86T),VCT,1VNL
All Surfaces,1000034829,Casabella Novocore Premium 7in x 49in x 1/4in - Belspring (CWMD40),LVP,1VNL
"Shaw Industries, Inc.",1000036170,Shaw Contract Pivot 8 X 51 - Process (00575),LVT,1VNL
