supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
"Shaw Industries, Inc.",201229-003,Shaw Patcraft Molten (I478V) 20 mil glue down 23.6in x 23.6in 5.0mm - Quartz (00520),VCT,1VNL
"Shaw Industries, Inc.",215919-001,Shaw Patcraft Heartwood (I482V) 12 Mil ExoGuard Direct Glue 6in x 48in 2.5 MM - Froe (00775),VCT,1VNL
"Shaw Industries, Inc.",1000020710,"SHAW CONTRACT\COLLECTION-TAILORED (#4111V)\LVT\EXOGUARD FINISH\9""X36""\3MM (0.118"")\COLORINTERLACE (#11202)",Vinyl Tile,1VNL
Dal Tile Corporation,214792-009,Dal Tile ProSeries Harpers Place 12 Mil Gluedown Plank 7.5in x 48in 3 MM - CRAFTSMAN (HP38),VCT,1VNL
"Mannington Mills, Inc.",176705-028,Amtico Spacia Stone Vinyl 18in x 18in 2.5 MM - Ceramic Ecru (SS5S3592),VCT,1VNL
"Mannington Mills, Inc.",212409-023,Mannington Bend (Amtico Active Lines LVT) 40 Mil Micro-Beveled LVT 18in x 18in 2.5 MM - ZOOM BLUE (ALB303),LVT,1VNL
"Mannington Mills, Inc.",212834-023,Mannington Crisscross (Amtico Active Lines LVT) 40 Mil Micro-Beveled LVT 18in x 18in 2.5 MM - ZOOM BLUE (ALC303),LVT,1VNL
"Mannington Mills, Inc.",212834-022,Mannington Crisscross (Amtico Active Lines LVT) 40 Mil Micro-Beveled LVT 18in x 18in 2.5 MM - ZOOM (ALC301),LVT,1VNL
"Mannington Mills, Inc.",212835-023,Mannington Grid (Amtico Active Lines LVT) 40 Mil Micro-Beveled LVT 18in x 18in 2.5 MM - ZOOM BLUE (ALG303),LVT,1VNL
"Shaw Industries, Inc.",1000019168,"SHAW\AFC LVT\STYLE-4001V\6"" X 48""\COLOR-NATURAL 00775",LVT,1VNL
J.J. Haines & Company,210449-003,Armstrong Biome Montane 0.020in Wear Layer Diamond 10 LVT 6in x 48in 2.5 MM - MONT BLANC (ST250),LVT,1VNL
Engineered Floors LLC,1000015508,J&J\COLLECTION-1840 AGAINST THE GRAIN DEMI-PLANK\12in x 48in\COLOR- 2825 MILLET,Vinyl Tile,1VNL
