supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
"Cain & Bultman, Inc.",1000023811,Tarkett\iQ Granit SD-Granit GREY 0948-24x24,Vinyl Tile,1VNL
"Cain & Bultman, Inc.",203069-005,Tarkett iD Latitude Stone & Concrete 20 Mil Techtonic LVT 18in x 18in 3 MM - Cristallo (7235),LVT,1VNL
"Mannington Mills, Inc.",194461-031,Mannington Color Anchor Stride 20 mil Micro-Bevel Glue Down Plank 12in x 24in 2.5 MM - TRUFFLE (C167),LVP,1VNL
"J.J. Haines & Company, LLC dba UCX Flooring",190556-086,Armstrong tural Creations ArborArt Diamond 10 Solid/Luxury Vinyl 6in x 36in .125 - Avila Oak Vienna Smoke (NA193),LVT,1VNL
"Shaw Industries, Inc.",1000033497,Shaw Patcraft Graph (I713V) 24in x 24in 2.5MM - Alpaca-V2 (00160),LVT,1VNL
"Shaw Industries, Inc.",196277-001,Shaw Commercial Resilient CUT (0922V) Luxury Resilient Planks 18in x 18in 3/16in - Ecru (22103),LVP,1VNL
"Shaw Industries, Inc.",1000032597,Shaw Union (4349V) 9in x 48in 5MM - Concrete Path (49121),LVP,1VNL
"Shaw Industries, Inc.",206622-002,Shaw Philadelphia Purview 2.5 (5036V) High Performance LVT 6in x 48in 20 mil - Antler (105),LVT,1VNL
Diamond Surfaces and Supply,1000006816,"Aquashield+ SPC 20mil 9"" x 60"" Ceramic Bead Grey Skies Oak (DS-201)",LVP,1VNL
"Shaw Industries, Inc.",1000032319,Shaw Patcraft Graph (I713V) 24in x 24in 2.5MM - Stone-V2 (00500),LVT,1VNL
Spartan Surfaces,194613-019,Cobalt Surfaces Tangent 20 mil glue down 7in x 48in 2.5 MM - SILVER ORE (T20-617),VCT,1VNL
Milliken & Company,1000022159,Milliken The Magic Hour - Horizon 25cm x 1.5m 5 mm HZN121-204	Light LVT,Vinyl Tile,1VNL
Spartan Surfaces,210649-005,Novalis Innovative Flooring AVA 2DSGN 22 mil Straight Edge 6in x 48in 2.5 MM - Oak Timber-Peninsula (PO2D005),LVT,1VNL
Next Floor USA,1000031799,Next Floor - Coastal Resort 439 - 20 mil / UV-Cured Urethane - 7.25in x 48in Mineral White Maple (439 051),LVT,1VNL
"Mohawk Commercial, Inc",1000035596,"MOHAWK\C0192 RENDERED FLAX\95 BOREAL\6""X48""",LVT,1VNL
"Shaw Industries, Inc.",1000035152,Shaw Patcraft Holistic Shades (I690V) Resilient 78.74in 2.0 MM - Bubbly (00485),ROLL,1VNL
"Shaw Industries, Inc.",192174-003,Shaw Philadelphia In The Grain II (5525V) Luxury Vinyl Tile 20 mil 6in x 48in 2.5 MM - Frosted Oats (00559),LVT,1VNL
"Shaw Industries, Inc.",173811-006,Shaw Patcraft Brookwood Vinyl 6' Undefined - Amber (45303),ROLL,1VNL
THE R C Musson Rubber Co,1000015328,"R.C. Musson Rubber Co\19-11/16"" x 19-11/16""\LT GRAY MARB TILE",Vinyl Tile,1VNL
"Shaw Industries, Inc.",1000014339,Shaw Contract Reside (4381V) 20 mil squared edge 6in x 47in 2.5 MM - To Adobe (94506),LVT,1VNL
Karndean Design Flooring,1000036875,Karndean LooseLay Longboard Plank 10in x 59in 4.5MM - Nude Danish Oak (LLP358),LVP,1VNL
"Mannington Mills, Inc.",1000036040,Mannington Natural Optimist 7.25in x 48in 4.0MM - Springhouse Teak (NAT108),LVP,1VNL
"Interface Americas, Inc.",191116-007,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - White Wash (A00407),LVP,1VNL
