supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
C&C Wholesale Distributors,127012-168,Tarkett Expressions Vinyl Composition 12in x 12in 1/8in - Pewter (509),VCT,1VNL
"Shaw Industries, Inc.",179371-008,Shaw Commercial Hard Surfaces Connection 6 (5424V) Luxury Vinyl Plank 20 Mil 6in x 36in 3 MM - Kinship (02573),LVP,1VNL
"Logistics Solutions, LLC",195196-004,Mannington Color Anchor Stride 20 mil Micro-Bevel Glue Down Plank 18in x 18in 2.5 MM - COTTONTAIL (C138),LVP,1VNL
Tarkett USA Inc,1000015943,TARKETT CONTOUR WOOD 6in x 48in 3.0 MM MODERN WOOD OAKHURT (3824) LVT,LVT,1VNL
"Shaw Industries, Inc.",195315-007,Shaw Commercial Resilient Inspire (0884V) 20 mil glue down 12in x 24in 2.5 MM - Encourage (84535),VCT,1VNL
Karndean International LLC,196237-009,Karndean K-Trade 12 Mil Glue Down 7in x 48in 2.0 MM - SICILIA (PVP142),VCT,1VNL
Readers Wholesale,211021-015,Tarkett VCT II Flecks Phthalate-Free Vinyl 12in x 12in .125 - Mushroom CB (593),VCT,1VNL
Readers Wholesale,147921-001,Armstrong Standard Excelon Rave Vinyl Composition 12in x 12in 1/8in - White Out (57518),VCT,1VNL
"Shaw Industries, Inc.",191889-003,Shaw Patcraft Timber Grove II (I767V) 12 Mil Glue Down 6in x 48in 2.5 MM - Moorland (00568),VCT,1VNL
C&C Wholesale Distributors,1000010145,Tarkett iQ Optima 12in x 24in - Beluga (0886),VCT,1VNL
C&C Wholesale Distributors,1000010146,Tarkett iQ Optima 12in x 24in - Sabled Street (0243),VCT,1VNL
Readers Wholesale,126732-042,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Lemon Yellow (51812),VCT,1VNL
"Forbo Industries, Inc",187036-008,Forbo Eterl Step Vinyl 6' 7in 2.0 MM - elephant (171952),ROLL,1VNL
Readers Wholesale,190628-015,Armstrong tural Creations ArborArt Diamond 10 Solid/Luxury Vinyl 9in x 48in .125 - Galena Oak Rye (NA180),LVT,1VNL
Mohawk Industries,200718-001,Mohawk Vivid Step Wood (CR705) 12 Mil Bevelled Edge 6in x 48in 2.0 MM - SHIMMERING SAND (W128),LVT,1VNL
Readers Wholesale,203069-002,Tarkett iD Latitude Stone & Concrete 20 Mil Techtonic LVT 18in x 18in 3 MM - Alumin (3515),LVT,1VNL
Karndean International LLC,127927-025,Karndean Knight Tile Woodplank Homogeneous Vinyl 4in x 36in 2.0 MM - Native Koa (KP93),LVP,1VNL
Karndean International LLC,196238-007,Karndean K-Trade 20 mil LooseLay 41.3in x 9.85in 4.5 mm - CLEMSON (LLP128),VCT,1VNL
"Altro USA, Inc.",1000010788,"Altro Walkway 2mm 20 6'7"" VMI2005P Streetlight Sheet Vinyl",ROLL,1VNL
Engineered Floors LLC,1000008764,EF Contract Woodlands 7 x 48 20 mil LVT Acacia,LVT,1VNL
Readers Wholesale,1000021313,Artistek-American Plank Plus-6in x 36in- Medium Walnut (73315CBK),Vinyl Tile,1VNL
"Shaw Industries, Inc.",202842-014,Shaw Patcraft Mark Making (I509V) 20 Mil Luxury Vinyl Plank 5.96in x 48in 5.0mm - Loam (00700),LVP,1VNL
"Shaw Industries, Inc.",1000019853,Shaw Patcraft Acacia 6 X 48 00774 Frontier LVT,LVT,1VNL
Mohawk Industries,206344-015,Mohawk Second Home Wood (C0141) 20 mil Floating Click 7.56in x 47.8in 6 mm - Meeting Place Greige (948),VCT,1VNL
Mohawk Industries,191562-002,Mohawk Hot & Heavy Grown Up (C0075) Loose Lay 9in x 59in 5.0mm - Kingley (138),LVT,1VNL
"Shaw Industries, Inc.",202842-011,Shaw Patcraft Mark Making (I509V) 20 Mil Luxury Vinyl Plank 5.96in x 48in 5.0mm - Palette (00520),LVP,1VNL
"Shaw Industries, Inc.",1000018951,"Shaw - Union / Unite II - 4349V - 9in""x 48in"" - 2.5 mm / 20 mil - LVT - Concrete Horizon (49515)",LVT,1VNL
"Shaw Industries, Inc.",205264-003,Shaw Patcraft Homegrain 12 (I490V) Luxury Vinyl Plank 6in x 48in 12 MM - Nook (00150),LVP,1VNL
"Shaw Industries, Inc.",192326-007,Shaw Patcraft Timber Grove II (I421V) 20 mil glue down 6in x 48in 2.5 MM - Laurel (00684),VCT,1VNL
"Shaw Industries, Inc.",1000019856,Shaw Industries Endura Plus 0763V 7x48 4.8 mm	 02013 White Sand LVT,LVT,1VNL
Dal Tile Corporation,1000014043,Marazzi	Artezen 1.5x1.5 hex Ceramic AT22 Ideal Gray,Vinyl Tile,1VNL
"Interface Americas, Inc.",1000015033,"Interface Studio Set 9""x39"" 22 mm A00704 Espresso LVT",LVT,1VNL
"BPI-Building Plastics, Inc",1000019893,AHF Contract Nod to Nature 1LV09206 9*60 2.5 Effortless Grey 20 Mil,Vinyl Tile,1VNL
Spartan Surfaces,189937-006,Parterre Vinyl Floor System Ingrained 6in Vinyl Tile Plank 6in x 36in 3 MM - Antique Chestnut (11421),LVP,1VNL
"Shaw Industries, Inc.",194173-010,Shaw Patcraft Adesa (I424V) 20 Mil Mini-Micro-Beveled 7.2in x 48.03in 5.5 MM - Treeline (00715),VCT,1VNL
Karndean International LLC,187605-002,Karndean Knight Tile Woodplank Homogeneous Vinyl 6in x 36in 2.0 MM - Pale Limed Oak (KP94),LVP,1VNL
Mohawk Industries,206344-007,Mohawk Second Home Wood (C0141) 20 mil Floating Click 7.56in x 47.8in 6 mm - Cafe Taupe (859),VCT,1VNL
Mohawk Industries,214270-017,Mohawk Medella Hues (C2062) Healthy Environments Resilient 6' 7in 2.0 MM - Gray Light (H5301),ROLL,1VNL
