supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
"Forbo Industries, Inc",39065,FORBO\MARMOLEUM SPLASH\3430 SALSA VERDE\6.58',ROLL,1VNL
"Mannington Mills, Inc.",196593-014,"LVT1:Mannington Abstract SS5A6120 LVT
Mirus Feather 7.25""x48""x2.5mm
43.5sf/ctn Dye Lot #1962154
50ctn/pallet
10.5 pallets
23,098.5SF = 531ctns",LVT,1VNL
Mohawk Industries,193919-004,"Mohawk Hit The Mark (C0095) 30 Mil Glue Down LVT 7.25in x 48in 3 MM - Target (852)
38.67SF/CTN
78,036sf = 2,018 cartons",LVT,1VNL
"Forbo Industries, Inc",176095-014,"RT-11: Forbo Flotex Metro Undefined 50cm x 50cm 5.3 MM - Carbon (546024)
32.28sf/ctn
419.64sf = 13 ctns",VCT,1VNL
"Forbo Industries, Inc",154055-047,"MCT 3136  13in x 13in 
Concrete 
53.82SF/ctn
3605.94SF=67ctn",VCT,1VNL
THE BELKNAP WHITE GROUP,1000000504,"LVT01: Arm Biome Montane-6in x 48in x 2.5mm-Uluru (ST253)
6'x48"" 36sf/ctn
3,024sf = 84 ctns",Vinyl Tile,1VNL
"Interface Americas, Inc.",215204-009,Interface Northern Grain (A026xx) 22 mil LVT 25cm x 1m 4.5 mm - Grey Wash (08),LVT,1VNL
"Interface Americas, Inc.",204899-003,Interface Brushed Lines (A016) 22 mil Luxury Vinyl Plank 25cm x 1m 4.5 mm - Graphite (05),LVP,1VNL
"Forbo Industries, Inc",154055-063,"LIN1c: MCT 3238 13in x 13in 2.0 MM 
Laguna 
53.82SF/ctn
430.56SF=8ctn",VCT,1VNL
"Forbo Industries, Inc",154055-065,"LIN1b:MCT 3888 13in x 13in 2.0 MM 
Stone (MCT-3888)
645.84SF=12ctn",VCT,1VNL
"Forbo Industries, Inc",177611-014,"RCT9: Forbo Flotex Calgary Tile T590004
Menthol 20in x 20in 5.3 MM - 32.2sf/ctn
1,030.4sf = 32 ctns
B/O into Dallas, TX on 5/29/24
here by 06/5/24",VCT,1VNL
"Forbo Industries, Inc",1000016518,"RCT12: Forbo Flotex Metro Tile T546035
Pink  20in x 20in (5.0mm)
418.6sf = 13 ctns
B/O in Dallas, TX on 05/28/24
to PFI 06/05/24
Fedex Tracking # 9126867411",VCT,1VNL
Mohawk Industries,181535-001,"VT2: Hot and Heavy 123 9x59
Benmore Secoya C0009
20Mil/5.0mm
22.84SF/ctn
1644.48SF=72ctn
Fire dept,Day Rm",LVT,1VNL
"Shaw Industries, Inc.",182756-012,Shaw Commercial Hard Surfaces Grain (0502V) Direct Glue 7.2in x 48in 2.5 MM - Weathered (64518),LVT,1VNL
Mats Inc dba Matter Surfaces Inc,1000025865,Matter Surfaces - Purline Elements Planks - Heterogeneous Resilient - 10in x 59in - 2.5 MM - Fashion Oak Grey,Vinyl Tile,1VNL
THE BELKNAP WHITE GROUP,1000026296,Armstrong - Medintone (H2003) Â– 6.5Â’W - Homogeneous Sheet - Sea Salt (H2003),LVT,1VNL
"Interface Americas, Inc.",192103-010,Interface Level Set tural Woodgrains (A002) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Teak (A00210),LVP,1VNL
"Interface Americas, Inc.",192103-008,Interface Level Set tural Woodgrains (A002) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Sand Dune (A00208),LVP,1VNL
"Mannington Mills, Inc.",1000024024,Mannington - Spacia Wood (SS5W12119) - 6in x 36in - Northern Maple Natural,Vinyl Tile,1VNL
THE BELKNAP WHITE GROUP,1000023901,"RF2: Armstrong Natralis 6ft 2MM - 
White Rim (70001)
35.02SY/roll",ROLL,1VNL
"Shaw Industries, Inc.",178771-017,Shaw Commercial Hard Surfaces Chordinates: BassTones (0301V) Heterogeneous 6' .086in - Amplitude (00350),ROLL,1VNL
"Shaw Industries, Inc.",178771-014,Shaw Commercial Hard Surfaces Chordinates: BassTones (0301V) Heterogeneous 6' .086in - Underscore (00310),ROLL,1VNL
"Shaw Industries, Inc.",193627-001,Shaw Contract Tatami Sheet (0796V) 20 mil glue down 6' 6in 2.2 MM - Pebble (96114),ROLL,1VNL
"Shaw Industries, Inc.",178771-033,Shaw Commercial Hard Surfaces Chordinates: BassTones (0301V) Heterogeneous 6' .086in - Emphasize (00900),ROLL,1VNL
"Shaw Industries, Inc.",205917-020,Shaw Commercial Resilient Inhabit Sheet (4106V) Commercial Heterogeneous 6.5' 2.2 MM - Barley Oak (06220),ROLL,1VNL
"Shaw Industries, Inc.",24808,SHAW\0301V BASSTONES\00600 BOOST\6',ROLL,1VNL
"Shaw Industries, Inc.",193627-011,Shaw Contract Tatami Sheet (0796V) 20 mil glue down 6' 6in 2.2 MM - Moss (96330),ROLL,1VNL
"Shaw Industries, Inc.",178771-022,Shaw Commercial Hard Surfaces Chordites: BassTones (0301V) Heterogeneous 6' .086in - High Fidelity (00420),ROLL,1VNL
"Shaw Industries, Inc.",193627-008,Shaw Contract Tatami Sheet (0796V) 20 mil glue down 6' 6in 2.2 MM - Evening Glow (96130),ROLL,1VNL
"Shaw Industries, Inc.",205917-029,Shaw Commercial Resilient Inhabit Sheet (4106V) Commercial Heterogeneous 6.5' 2.2 MM - Cumin Oak (06720),ROLL,1VNL
"Shaw Industries, Inc.",193627-007,Shaw Contract Tatami Sheet (0796V) 20 mil glue down 6' 6in 2.2 MM - Cascade (96416),ROLL,1VNL
"Shaw Industries, Inc.",193626-002,Shaw Contract Reed Sheet (0797V) 20 mil glue down 6' 6in 2.2 MM - Tea Garden (96216),ROLL,1VNL
"Shaw Industries, Inc.",193627-002,Shaw Contract Tatami Sheet (0796V) 20 mil glue down 6' 6in 2.2 MM - Tea Garden (96216),ROLL,1VNL
