supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
Milliken & Company,187385-002,Milliken Wood Rosewood Micro Beveled plank 7in x 48in 2.5 MM - RSW210 (RSW210),LVP,1VNL
Adleta Corporation,208359-002,Armstrong Exchange 0.020in Wear Layer LVT w/ Diamond 10 6in x 36in 2.5 MM - Static Broadcast Blue (ST965),LVT,1VNL
Adleta Corporation,208359-003,Armstrong Exchange 0.020in Wear Layer LVT w/ Diamond 10 6in x 36in 2.5 MM - Static Capacitor Orange (ST902),LVT,1VNL
Adleta Corporation,208359-026,Armstrong Exchange 0.020in Wear Layer LVT w/ Diamond 10 6in x 36in 2.5 MM - Static Amped Yellow (ST901),LVT,1VNL
"Shaw Industries, Inc.",189827-006,Shaw Commercial Hard Surfaces Rethink (0733V) LVT Plank 9in x 36in - Carbon (33505),LVT,1VNL
"Forbo Industries, Inc",211981-011,Forbo Flotex Frameweave Plank Design 39.37in x 9.48in 5.0mm - Pave (142001),LVP,1VNL
Mohawk Industries,193657-010,LVT3b -Mohawk Hot & Heavy Lineate (C0089) 20 mil LooseLay 9in x 59in 5.0mm - Figured (948) 61 ctns,VCT,1VNL
Karndean International LLC,140588-026,Karndean Van Gogh 20 mil glue down 7in x 48in 3 MM - Smoked Oak (VGW70T),VCT,1VNL
"Interface Americas, Inc.",197292-010,Interface Drawn Lines (A009xx) 22 mil Commercial Ceramor 25cm x 1m 4.5 mm - Opal (10),VCT,1VNL
"Interface Americas, Inc.",1000021269,"Interface Northern Grain 9.845"" x 39.38"" 4.5MM A02611 Oak Satin LVT",Vinyl Tile,1VNL
Adleta Corporation,210449-001,Armstrong Biome Montane 0.020in Wear Layer Diamond 10 LVT 6in x 48in 2.5 MM - KILIMANJARO (ST252),LVT,1VNL
"Forbo Industries, Inc",176095-023,Forbo Flotex Metro Undefined 50cm x 50cm 5.3 MM - 946006 Metro grey,VCT,1VNL
Karndean International LLC,169636-009,Karndean Opus Stone Luxury Vinyl Tile 20 mil 18in x 24in 2.5 MM - Texo (SP718),LVT,1VNL
"Shaw Industries, Inc.",1000022839,"Shaw Contract Terrain II Rigid Core 4125V 7in"" x 48in"" 20 Mil 00740 Lodge LVP 1 minute ago",Vinyl Tile,1VNL
Adleta Corporation,213064-010,AHF Contract Mixed and Variegated Homogeneous Sheet 78.74in 2.0 MM - DUSK (1HG2M010),ROLL,1VNL
"Interface Americas, Inc.",195433-003,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Pepper (03),LVP,1VNL
"Altro USA, Inc.",174753-005,Altro Floors Aquarius Safety Flooring 6' 7in 2.0 MM - Tern (AQI2008),ROLL,1VNL
"Shaw Industries, Inc.",204888-002,Shaw Commercial Resilient Terrace 5.0 MM (4216V) Heavy Commercial 12in x 24in 20 mil - Path (08120),VCT,1VNL
"Shaw Industries, Inc.",204888-009,Shaw Commercial Resilient Terrace 5.0 MM (4216V) Heavy Commercial 12in x 24in 20 mil - Brushwood (08765),LVT,1VNL
Mohawk Industries,184959-007,Mohawk Hot and Heavy Bolder (C0010) Loose Lay 36in x 36in 5.0mm - Schist (888),LVT,1VNL
"Forbo Industries, Inc",154055-031,Forbo Marmoleum Composition Tile (MCT) 13in x 13in 2.0 MM - Black (MCT-2939),VCT,1VNL
"Shaw Industries, Inc.",1000025649,"Shaw Tailored Woven LVT (4111V) 9"" x 36"" 3mm - Notch (11505)",Vinyl Tile,1VNL
"Interface Americas, Inc.",195433-007,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Lime (07),LVP,1VNL
"Interface Americas, Inc.",195433-001,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Silverlight (01),LVP,1VNL
"Interface Americas, Inc.",195433-012,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Marigold (12),LVP,1VNL
"Interface Americas, Inc.",195433-009,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Ocean (09),LVP,1VNL
"Interface Americas, Inc.",195433-008,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Iris (08),LVP,1VNL
"Interface Americas, Inc.",195433-013,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Slate (13),LVP,1VNL
Adleta Corporation,126732-164,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Ruby Red (57534),VCT,1VNL
Adleta Corporation,126732-171,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Blue Moon (57535),VCT,1VNL
"Logistics Solutions, LLC",210833-002,Mannington BioSpec Armor Homogeneous Sheet 6' 6in .100in - BLUE SATURN (OR121),ROLL,1VNL
"Shaw Industries, Inc.",1000018048,Shaw Resilient Tile & Plank Kind (4123V) 20 mil ExoGuard Square Edge 24in x 24in 5.0mm - Crisp (23518),Vinyl Tile,1VNL
Adleta Corporation,126732-156,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Eucalyptus (57547),VCT,1VNL
Adleta Corporation,205750-007,Armstrong Parallel USA 20 20 MIl Urethane Plus/No polish-No Buff 6in x 48in 2.5 MM - Cottonwood Springs Sunset (J5225),VCT,1VNL
Adleta Corporation,126732-126,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Jubilee White (52514),VCT,1VNL
"Interface Americas, Inc.",195433-017,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Red (17),LVP,1VNL
"Shaw Industries, Inc.",196277-004,Shaw Commercial Resilient CUT (0922V) Luxury Resilient Planks 18in x 18in 3/16in - Honey (22280),LVP,1VNL
"Shaw Industries, Inc.",193627-009,Shaw Contract Tatami Sheet (0796V) 20 mil glue down 6' 6in 2.2 MM - Tidal Basin (96440),ROLL,1VNL
"Shaw Industries, Inc.",205662-005,LVT-1 Shaw Resilient Tile & Plank Kind (4123V) 20 mil ExoGuard Square Edge 24in x 24in 5.0mm - Slate (23520),LVP,1VNL
Mohawk Industries,193657-011,Mohawk Hot & Heavy Lineate (C0089) 20 mil LooseLay 9in x 59in 5.0mm - Cord (957),VCT,1VNL
"Interface Americas, Inc.",204899-004,Interface Brushed Lines (A016) 22 mil Luxury Vinyl Plank 25cm x 1m 4.5 mm - Kohl (06),LVP,1VNL
Tarkett USA Inc,1000026720,Tarkett Even Plane 50cm x 50cm 4.5MM - Walnut Claro (PNP 8711),LVT,1VNL
Adleta Corporation,1000027520,Adleta Grandstand 18in x 36in 5.0MM - Ember (HALGS1861),LVP,1VNL
Adleta Corporation,197653-012,Armstrong Standard Excelon Imperial Texture w/ Diamond Ten Coating 12in x 12in 1/8in - Teal (Z1906),VCT,1VNL
"Shaw Industries, Inc.",207209-003,Spectra Contract Flooring Roam (4126V) Resilient LVT/Plank 6in x 48in 3/32in - Shade (00564),LVT,1VNL
"Shaw Industries, Inc.",201387-002,Shaw Commercial Hard Surfaces In Tandem (0896V) Straight Edge LVP 9in x 59in 2.5 MM - Pane (96130),LVP,1VNL
"Altro USA, Inc.",188389-029,Altro Floors Altro Quartz Tile (AQT) Vinyl Composition 24in x 24in 2.0 MM - Shale CD (9324),VCT,1VNL
"Mannington Mills, Inc.",1000026921,Mannington Realities III Maple Grove 9' 2.0mm - Pine (5627R),ROLL,1VNL
VAN GELDER INC,1000009900,"PORTICO NATURES VIEW LUXURY VINYL PLANK Style Rustique, Color (COASTAL BARNWOOD #VPNVR3029) 7"" X 48"", 30 mil",LVP,1VNL
Swiff Train,1000015770,"EARTHWERKS CHASSIS PRO CHS 5488 7""X48"" 5.0 MM 5488 BACKBONE CLICK PLANKS",Vinyl Tile,1VNL
Mohawk Industries,210184-005,Mohawk Sakiori Linked (CR708) Glue Down M-Force LVT 9.84in x 39.37in 3 MM - Vestige (935),LVT,1VNL
"Shaw Industries, Inc.",215419-007,Shaw Resilient Tile & Plank Inlet II (4372V) 20 mil squared edge 9in x 48in 5.0mm - Horizon (72515),VCT,1VNL
"Mannington Mills, Inc.",1000030760,Mannington Amtico Abstract 12in x 18in 2.5MM Unbeveled - Linear Metallic Steel (AR0ALA21),LVP,1VNL
Tarkett USA Inc,1000030199,Tarkett Needle & Thread (PCNT) 18in x 18in 3MM - Black Tea (11387),LVT,1VNL
"Forbo Industries, Inc",177611-010,Forbo Flotex/Calgary Vinyl 20in x 20in 5.3 MM - Azure (590015),VCT,1VNL
Adleta Corporation,208359-001,Armstrong Exchange 0.020in Wear Layer LVT w/ Diamond 10 6in x 36in 2.5 MM - Static Blue Screen (ST904),LVT,1VNL
"Shaw Industries, Inc.",188060-001,Shaw Contract Solitude (0648V) Luxury Resilient Planks 6in x 48in 13/64 - Cocoa (48103),LVP,1VNL
"Mannington Mills, Inc.",208531-047,Mannington Spacia Wood 20 Mil Microbeveled 7 1/4in x 48in 2.5 MM - White Maple (SS5W2654),VCT,1VNL
"Mannington Mills, Inc.",212056-002,Mannington Color Anchor Prism Quantum Guard Elite Homogeneous Sheet 6&apos; 6in 2.03 MM - Buzzy Bee (15432),ROLL,1VNL
"Mannington Mills, Inc.",212056-001,Mannington Color Anchor Prism Quantum Guard Elite Homogeneous Sheet 6&apos; 6in 2.03 MM - Poppy Flower (15428),ROLL,1VNL
Hero Flooring,1000030796,Hero Flooring Sahara 9X63 20 mil - Warren,LVT,1VNL
Adleta Corporation,126725-007,Armstrong Standard Excelon Multicolor Vinyl Composition 12in x 12in 1/8 - Carnival White (52500),VCT,1VNL
Adleta Corporation,205037-019,Tarkett IQ Optima Homogeneous 6' 6in .080in - Raw Ivory (0862),ROLL,1VNL
Adleta Corporation,209606-003,Armstrong Biome Altitude 20 mil Diamond 10 9in x 48in 2.5 MM - MOORLAND (ST152),LVT,1VNL
Adleta Corporation,126731-001,Armstrong Excelon Stonetex Premium VCT 12in x 12in 1/8 - Chalk White (52140),VCT,1VNL
C&C Wholesale Distributors,211021-039,Tarkett VCT II Flecks Phthalate-Free Vinyl 12in x 12in .125 - Matador (565),VCT,1VNL
C&C Wholesale Distributors,211021-011,Tarkett VCT II Flecks Phthalate-Free Vinyl 12in x 12in .125 - Shooting Star CG (557),VCT,1VNL
C&C Wholesale Distributors,211021-001,Tarkett VCT II Flecks Phthalate-Free Vinyl 12in x 12in .125 - Sandstone W (556),VCT,1VNL
C&C Wholesale Distributors,211021-012,Tarkett VCT II Flecks Phthalate-Free Vinyl 12in x 12in .125 - Steel Works W (522),VCT,1VNL
"Logistics Solutions, LLC",1000029017,Mannington Groove 18X18 2.5 MM - City Mouse (C145),LVT,1VNL
"Logistics Solutions, LLC",195194-009,Mannington Color Anchor Groove 20 mil Micro-Bevel Glue Down Plank 18in x 18in 2.5 MM - LONDON FOG (C119),LVP,1VNL
"Shaw Industries, Inc.",1000004487,Shaw Function 5.0 (4388V) 18 in x 18 in Transition (86501),LVT,1VNL
"Shaw Industries, Inc.",1000035056,Shaw Contract Union (4349V) Heavy Commercial 9in x 48in 20 mil - Iron Thatch (49720),VCT,1VNL
"Mannington Mills, Inc.",208531-010,Mannington Spacia Wood 20 Mil Microbeveled 7 1/4in x 48in 2.5 MM - Bleached Elm (SS5W2516),VCT,1VNL
Mohawk Industries,214722-003,Mohawk Medella Fleck (C2061) Healthy Environments Resilient 6' 7in 2.0 MM - Shell (84760),ROLL,1VNL
"Logistics Solutions, LLC",1000029016, Mannington Suber Heterogeneous 6' 2.0mm - Bergamont (ETW454),ROLL,1VNL
"Logistics Solutions, LLC",1000029015,Mannington Suber Heterogeneous 6' 2.0mm - Kamala (ETW455),ROLL,1VNL
"Logistics Solutions, LLC",205687-008,Mannington Wellspring (Bloom Collection) 0.020in Heterogeneous Sheet 6' 2.03 MM - Walkabout (B307),ROLL,1VNL
"Interface Americas, Inc.",201796-007,Interface Steady Stride Woodgrains (B001xx) 20 Mil Luxury Vinyl Plank 12.5 cm x 1 m 3 MM - Barley (B00107),LVP,1VNL
"Shaw Industries, Inc.",183678-008,Shaw Commercial Hard Surfaces Surface (0515V) Luxury Resilient Planks 18in x 36in 2.5 MM - Gravel (15530),LVP,1VNL
Adleta Corporation,126732-102,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Earth Green (51877),VCT,1VNL
"Lititz Flooring, Co",1000008912,Novalis Innovative Flooring-AVA RSRV (Kyoto RKYxxxx-605)-9.25in x 71.45in x 6mm Loft,LVT,1VNL
"Mannington Mills, Inc.",1000036637,Mannington Amtico Stone 18in x 18in 2.5MM Unbeveled - Exposed Concrete (AR0SEC30),LVT,1VNL
"Shaw Industries, Inc.",198730-011,Shaw Commercial Hard Surfaces Cove (0927V) 20 mil LooseLay 9in x 48in 5.0mm - Cornerstone (27585),VCT,1VNL
Adleta Corporation,213438-006,Tarkett Melodia 3.0 Homogenous Sheet 6' 6in 2.0 MM - Dove Grey (0701),ROLL,1VNL
"Shaw Industries, Inc.",190084-011,Shaw Commercial Hard Surfaces Unveil (0601V) 30 mil Luxury Vinyl Tile 9in x 36in 3 MM - Char (01555),LVT,1VNL
Tarkett USA Inc,1000018899,Tarkett Event+ Wood Heritage Plank EHP 6 x 36 3.0 mm Smoked Oak,Vinyl Tile,1VNL
