supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
William M. Bird,198962-003,Metroflor Deja New San Marcus Oak 20 mil Micro-Bevel Glue Down Plank 9in x 60in 2.5 MM - PUMICE (DN1445105),LVP,1VNL
J.J. Haines & Company,126732-137,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Tracery (59237),VCT,1VNL
Mohawk Industries,200718-002,Mohawk Vivid Step Wood (CR705) 12 Mil Bevelled Edge 6in x 48in 2.0 MM - GROUNDED HATCH (W132),LVT,1VNL
MANNINGTON COMMERCIAL,12342,MANNINGTON\REALITIES II WILD CHERRY\5465R SHAKER\12',ROLL,1VNL
MANNINGTON COMMERCIAL,1000007307,"Mannington-Color Anchor Stride 6"" x 36"" 2.5mm - KETTLE STEAM (C164)",LVT,1VNL
"Shaw Industries, Inc.",13092,SHAW\0873V VITALITY\73415 BENEFIT\6.58',ROLL,1VNL
"Logistics Solutions, LLC",1000011064,"MANNINGTON BIOSPEC MD\15514 SNOWY OWL\6'6""",ROLL,1VNL
PF America,1000017582,POLYFLOR\EXPONA DESIGN\6179 NATURAL BRUSHED OAK,Vinyl Tile,1VNL
"Mannington Mills, Inc.",1000022089,MANNINGTON\SELECT\MSC154 PRINCETON NATURAL CHERRY\3Â” x MULTIPLE LENGTHS,Vinyl Tile,1VNL
"Mannington Mills, Inc.",1000022091,"MANNINGTON\SELECT\MSC152 PRINCETON CHERRY COLONIAL\3""X MULTIPLE LENGTHS",Vinyl Tile,1VNL
"Mannington Mills, Inc.",1000022092,"MANNINGTON\SELECT\MSC156 PRINCETON CHERRY SPICY CIDER\3"" X MULTIPLE LENGTHS",Vinyl Tile,1VNL
"Logistics Solutions, LLC",9654,MANNINGTON\BIOSPEC MD\15202 BISQUE\6'6,ROLL,1VNL
"Mannington Mills, Inc.",1000016920,MANNINGTON\UPWARD 20\SMOKED GREY OAK\6X36,LVT,1VNL
"Mannington Mills, Inc.",1000016927,MANNINGTON\ONWARD 12\SMOKED GREY OAK\6x36,LVT,1VNL
"Logistics Solutions, LLC",1000021031,"MANNINGTON\AMTICO WOOD\ARROW7430 CLASSIC OAK\7.25""X48""",LVT,1VNL
"Logistics Solutions, LLC",9663,MANNINGTON\BIOSPEC MD\15240 COLL BEIGE\6'6,ROLL,1VNL
"Shaw Industries, Inc.",12628,SHAW\0796V TATAMI\96114 PEBBLE\6.56',ROLL,1VNL
"Mannington Mills, Inc.",1000031657,Mannington Paradigm ll Intersect 6ft 2.03MM - Model (PD114),ROLL,1VNL
Engineered Floors LLC,215504-005,J&J Classics II (V5023) 20 mil Bevelled Edge LVT 9in x 48in 3 MM - Ideal (1087),LVT,1VNL
"Shaw Industries, Inc.",1000031854,  Shaw Contract Crossing Paths 5.0  (4392V) 18in x 18in 5 MM Â– Summit (91760,LVT,1VNL
"Shaw Industries, Inc.",1000031859,"Shaw In Unison 5.0 (4391V) 9"" x 36"" 5mm - Summit (91760)",LVT,1VNL
"Mannington Mills, Inc.",1000036974,MANNINGTON\UPWARD 20\MANOR OAK\6X36,LVT,1VNL
Tarkett USA Inc,1000034637,Tarkett Event+ Wood 6in x 48in 3.0MM - Walnut (11218),LVP,1VNL
"Mannington Mills, Inc.",1000023780,"Mannington London Fog C119 Square Edge 2.5MM 18in"" x 18in"" LVT",LVT,1VNL
Karndean Design Flooring,1000032743,Karndean Art Select Wood 9in x 56in - Weathered Hickory (EW11),LVP,1VNL
All Surfaces,1000008205,"FirmFit Casebella Stateside CWH-5773 6mm x 9.1"" x 60.3"" 22 mil Parkview LVT",LVT,1VNL
"Mannington Mills, Inc.",36805,MANNINGTON\PARADIGM II FLOW\PD318 ARCHETYPE\12',ROLL,1VNL
"Mannington Mills, Inc.",10005,"MANNINGTON\BIOSPEC MD\15421 SALT\6'6""",ROLL,1VNL
"Mannington Mills, Inc.",1000006036,Mannington Amtico Stone 18in x 18in 2.5MM - Stria Sediment (AROSMS14),LVT,1VNL
All Surfaces,1000008746,Congoleum Triversa Prime 9in x 60in 6MM - Fawn (TX181),LVP,1VNL
Spartan Surfaces,1000006517,ECOsuraces Strait RX 6ft x 7MM - Ash Cloud (6622),ROLL,1VNL
"Altro USA, Inc",21908,ALTRO\STRONGHOLD 30\K3010 DOLPHIN\6'7,ROLL,1VNL
"Shaw Industries, Inc.",1000009308,"Shaw Unite 0927V 9"" x 48"" 27585 Cornerstone",LVP,1VNL
Mohawk Industries,37005,"MOHAWK\C2062 MEDELLA HUES\H5311 NATURAL WHITE\6'7""",ROLL,1VNL
Mohawk Industries,38372,"MOHAWK\C2062 MEDELLA HUES\H5334 SCARLET\6'7""",ROLL,1VNL
Mohawk Industries,38370,"MOHAWK\C2062 MEDELLA HUES\H5319 SAND LIGHT\6'7""",ROLL,1VNL
"Altro USA, Inc.",9291,"ALTRO\RELIANCE 25\D2503 POOL\6'7""",ROLL,1VNL
"Gerflor USA, Inc.",38530,"GERFLOR\MIPOLAM SYMBIOZ 2MM\6050 HURRICANE\6'6""",ROLL,1VNL
"Mannington Mills, Inc.",1000011803,Mannington Amtico Spacia 7.25x48 20 mil Powerdered Oak Glue Down,VCT,1VNL
"Mannington Mills, Inc.",9972,"MANNINGTON\BIOSPEC MD\15364 NEW GLACIER\6'6""",ROLL,1VNL
Mohawk Industries,38371,"MOHAWK\C2062 MEDELLA HUES\H5320 SAND MID\6'7""",ROLL,1VNL
"Shaw Industries, Inc.",1000012638,Shaw Industries Reside (20 mil) (4381V) Resilient 6in x 47in Pause (94580),LVT,1VNL
"Bentley Mills, Inc.",1000005008,Bentley Moment (BMMNT) 20 mil glue down plank 9in x 48in 2.5 MM - ORGANIC (801985),LVP,1VNL
PF America,1000012350,"Polyflor Stone fx PUR 6'7"" x 65.71' roll 2 mm Grey Flourite 4042",ROLL,1VNL
Spartan Surfaces,208270-006,Cobalt Surfaces-Petrous (P20-xxx)-20 Mil Rigid Core IXPE-7in x 48in-5.0mm-FAWN (401),VCT,1VNL
Spartan Surfaces,1000016938,Cobalt Surfaces Katanga Glue Down LVT 7in x 48in 2MM - Oxford (K12-813),LVT,1VNL
"Gerflor USA, Inc.",37410,"GERFLOR\MIPOLAM ACCORD\0319 TOBA\6'6""",ROLL,1VNL
"Interface Americas, Inc.",1000008572,Interface Northern Grain (A026) 25cm x 1m 4.5MM - Natural Satin (A02610),Vinyl Tile,1VNL
Spartan Surfaces,51109,TEKNOFLOR\MOONSCAPES\8639 BALTIC BROWN\6',ROLL,1VNL
"Mannington Mills, Inc.",10075,"MANNINGTON\BIOSPEC ARMOR\OR118 LUNAR ROCK\6'6""",ROLL,1VNL
"Mannington Mills, Inc.",10068,"MANNINGTON\BIOSPEC ARMOR\OR116 FROSTWORK\6'6""",ROLL,1VNL
"Florstar Sales, Inc",1000014253,"Armstrong Duo Vinyl Tile 18""x36"" - Nile Night (ST933)",VCT,1VNL
Spartan Surfaces,1000010035,Cobalt Surfaces Petrous 7in x 48in 5.0MM - Willow (P20-416),Vinyl Tile,1VNL
"Gerflor USA, Inc.",30853,"GERFLOR\MIPOLAM SYMBIOZ\6030 STONEHENGE\6'6""",ROLL,1VNL
Mohawk Industries,1000014162,Mohawk Second Home Studio (C2071) 7.46in x 47.8in 5MM - Bone (817),LVT,1VNL
DALTILE,1000011569,"Daltile - Pro Series - Cyrose 2mm 12 mil - 6"" x 48"" - Vinyl Plank - White Ash (CY30)",LVP,1VNL
"TAJ FLOORING, INC.",1000012811,TAJ FLOORING Color Infused Collection 6545X -7.36x48.46 5MM Board Lodge,Vinyl Tile,1VNL
"Gerflor USA, Inc.",470,GERFLOR\MIPOLAM SYMBIOZ\6031 BREEZE\6'6 LF,ROLL,1VNL
Engineered Floors LLC,1000019844,J&J Classics II (V5023) 9in x 48in 3MM - Ideal (1087),Vinyl Tile,1VNL
"Mannington Mills, Inc.",4470,MANNINGTON\BIOSPEC MD\15203 SANDRIFT\6'6,ROLL,1VNL
"Shaw Industries, Inc.",16661,PATCRAFT\I319V BROOKWOOD\05306 CINNAMON\6',ROLL,1VNL
"Shaw Industries, Inc.",13034,SHAW\4106V INHABIT\06515 PALLADIUM OAK\6.56',LVT,1VNL
"DNU (103423) Shaw Industries, Inc.",16673,PATCRAFT\I319V BROOKWOOD\05303 AMBER\6',ROLL,1VNL
"Shaw Industries, Inc.",16662,PATCRAFT\I319V BROOKWOOD\05301 SPICEWOOD\6',ROLL,1VNL
"Forbo Industries, Inc",1000015374,Forbo Flotex Metro 6ft 6in 4.3MM - Citrus (S246019),VCT,1VNL
"Interface Americas, Inc.",1000017263,Interface Criterion Classic Stones (3mm) 50cm x 50cm Light Concrete (C00203),Vinyl Tile,1VNL
Engineered Floors LLC,1000014393,J&J Power Play 3MM (V5019) 9in x 48in - Situation (1082),LVP,1VNL
Spartan Surfaces,1000020455,"Spartan Surfaces Elemental by Aspecta 8.66"" x 59.45"" Plank 8mm 22mil - Flamed Oak Pitch (812214X)",Vinyl Tile,1VNL
Spartan Surfaces,1000020897,Parterre Vertu Crosswalk 18in x 18in 3.0MM - Asphalt (81845),Vinyl Tile,1VNL
Floorfolio Industries,1000004485,Floorfolio Verona 18in x 36in 3MM 1836-222,Vinyl Tile,1VNL
Spartan Surfaces,1000020092,Cobalt Surfaces - Katanga K12 - 2mm 12 mil	7x48 2mm 801 Myrtle LVT,LVT,1VNL
PANIAGUA GROUP INC,38344,"MOHAWK\C2062 MEDELLA HUES\H5351 INDIGO\6'7""",ROLL,1VNL
PANIAGUA GROUP INC,38354,"MOHAWK\C2062 MEDELLA HUES\H5436 MAIZE\6'7""",ROLL,1VNL
"Shaw Industries, Inc.",1000020240,Shaw Branching Out 5.0 MM (4480V) 6in x 48in 5MM - Plains Oak (56250),Vinyl Tile,1VNL
"Altro USA, Inc.",1000018665,Altro Floors-Lavencia 6X48 3mm - Black Persimmon (LAV55055),Vinyl Tile,1VNL
"Shaw Industries, Inc.",1000020371,"Shaw Cultura Crossing Paths (4431V) 18"" x 18"" 2.5mm - Gesso (91520)",LVT,1VNL
"Shaw Industries, Inc.",1000020358,"Shaw Cultura Crossing Paths (4431V) 18"" x 18"" 2.5mm - Eggshell (91111)",LVT,1VNL
Spartan Surfaces,1000013726,Ecore Strait RX Vinyl Sheet 6' 7mm - Ash Cloud (6622),ROLL,1VNL
"Altro USA, Inc.",4440,ALTRO\WALKWAY 20\VM20910 TUNDRA\6'7,ROLL,1VNL
"Mannington Mills, Inc.",1000020396,Mannington Select Wood 5in x 36in 2.5MM - Chandler Oak Drayton (MSC110),Vinyl Tile,1VNL
Mohawk Industries,1000019664,Mohawk Molveno Stones (C0109) 11.75in x 35.75in x 20mil -  Perfect Greige (879),LVT,1VNL
"Gerflor USA, Inc.",38512,"GERFLOR\MIPOLAM SYMBIOZ 2MM\6001 COTTON\6'6""",ROLL,1VNL
"Bentley Mills, Inc.",1000015197,Bentley Memory (BMMRY0) 9in x 48in 2.5mm - Bungalow (801983),LVT,1VNL
"Interface Americas, Inc.",1000021726,Interface Ridge 50cm x 50cm 22mil - Shade (A02302),VCT,1VNL
"Interface Americas, Inc.",1000011649,Interface Northern Grain (A026) 25cm x 1m 4.5 mm 22 mil Dark Satin (A02612),VCT,1VNL
"Altro USA, Inc.",41407,ALTRO\SYMPHONIA\SY20023 PRIMULA\6.58',ROLL,1VNL
