supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
J.J. Haines & Company,1000021996, Earthwerks Wood Classic Wood Classic Sq. Edge 7.24in x 37.4in 20 mil GWC 9812 - Senora VINYL TILE,Vinyl Tile,1VNL
J.J. Haines & Company,126732-025,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Classic Black (51910),VCT,1VNL
Spartan Surfaces,1000020247,Vinyl Sheet Goods EcoSurfaces Forest RX 7mmx72'x305MM 9822 Toasted Oak,Vinyl Tile,1VNL
"Interface Americas, Inc.",1000022128, Interface Brushed Lines 25CM x 1M 4.5 mm LVT - Shadow (A01612),Vinyl Tile,1VNL
J.J. Haines & Company,1000017408,Armstrong Terra (ST385) Astana Luxury Vinyl Tile Diamond 10 Technology 18in x 18in 2.5mm Low Gloss - Ebony,LVT,1VNL
J.J. Haines & Company,126732-027,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Antique White (51811),VCT,1VNL
Spartan Surfaces,1000023012,Cobalt Surfaces Katanga (KP5-XXX) 20mil Loose Lay 7in x 48in 5mm - Tundra (805),Vinyl Tile,1VNL
Milliken & Company,1000018620,MILLIKEN LIGHT WASH LUMENOLOGY 25CM X 1M 22 MIL LIGHT (LLW265-126),Vinyl Tile,1VNL
Milliken & Company,1000018621,MILLIKEN LIGHT SWITCH LUMENOLOGY 25CM X 1M 22 MIL LAMBA (LLS199),Vinyl Tile,1VNL
Milliken & Company,1000018619,MILLIKEN THE MAGIC HOUR PERSPECTIVE 25CM X 1M 22 MIL HALO (PER131),Vinyl Tile,1VNL
J.J. Haines & Company,1000023524,Armstrong Excelon SDT Static Control Flooring Vinyl Composition Tile 12in x 12in 3.2mm - Pearl White (51953),Vinyl Tile,1VNL
Milliken & Company,1000020758,Milliken Lumenology Light Stitch High Performance Luxury Vinyl Tile 22mil Square Edge 25cm x 100cm 5mm - Dim (LLS13),LVT,1VNL
"Interface Americas, Inc.",191116-006,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Antique Light Oak (A00406),LVP,1VNL
"Mannington Mills, Inc.",1000020589,Mannington	REALITIES II-MAPLE GROVE III 9' 0.08 5625R CHERRY Sheet Vinyl,ROLL,1VNL
J.J. Haines & Company,1000018245,Armstrong ColorArt Medintone Diamond 10 Homogeneous 6' 7in 2.0 MM - Comforting Brown (H-2016),ROLL,1VNL
"Lititz Flooring, Co",1000023079,Trinity Tile Fave Baltic Oak 6in x 48in 22 Mill LVT - Toupe,Vinyl Tile,1VNL
Fishman Flooring Solutions,205037-039,Tarkett IQ Optima Homogeneous 6' 6in .080in - Blue Satin (0849),ROLL,1VNL
Fishman Flooring Solutions,1000019833,"Tarkett IQ Optima Homogeneous 6'6"" 0.080"" - Thunderhead (0853)",ROLL,1VNL
Mohawk Industries,211212-011,Mohawk Living Local Premium Wood (C0194) Luxury Vinyl Plank 7.72in x 51.97in 2.4 MM - Sandy (829),LVP,1VNL
Mohawk Industries,192778-010,Mohawk Living Local 20 mil glue down 6in x 48in 2.5 MM - Sandy (829),VCT,1VNL
Mohawk Industries,184959-005,Mohawk Hot and Heavy Bolder (C0010) Loose Lay 36in x 36in 5.0mm - Pebble (925),LVT,1VNL
Mohawk Industries,1000021924,Mohawk Living Local Terrazzo (C0180) 20 mil glue down LVT 12in x 24in 2.5 MM - Lahar (986),LVT,1VNL
J.J. Haines & Company,126732-040,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Dutch Delft (51916),VCT,1VNL
J.J. Haines & Company,126732-112,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Nougat (57501),VCT,1VNL
Mohawk Industries,1000015468,Mohawk Matuto Plus Resilient 12in x 24in 20 mil - Frostbite Stone (915),Vinyl Tile,1VNL
