supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
"Shaw Industries, Inc.",184784-006,Shaw Commercial Hard Surfaces Strand (0516V) Luxury Vinyl Plank 18in x 36in 20 mil - Clay (16761),LVP,1VNL
"Shaw Industries, Inc.",195315-008,Shaw Commercial Resilient Inspire (0884V) 20 mil glue down 12in x 24in 2.5 MM - Transform (84585),VCT,1VNL
Adleta Corporation,126730-014,VCT-5 Armstrong Safety Zone Slip Retardent 12in x 12in 1/8 - Vanilla Bean (57016),VCT,1VNL
Adleta Corporation,126732-117,VCT-2 Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Colorado Stone (57506),VCT,1VNL
"Shaw Industries, Inc.",188060-009,Shaw Contract Solitude (0648V) Luxury Resilient Planks 6in x 48in 13/64 - French Grey (48599),LVP,1VNL
"Shaw Industries, Inc.",183678-006,Shaw Commercial Hard Surfaces Surface (0515V) Luxury Resilient Planks 18in x 36in 2.5 MM - Quartz (15515),LVP,1VNL
Adleta Corporation,211021-035,Tarkett VCT II Flecks Phthalate-Free Vinyl 12in x 12in .125 - Daylight SR (873),VCT,1VNL
Tarkett USA Inc,1000032218,"LVT-1 Tarkett Aquarelle PCQ 18""x18"" 32 mil - Shibori (11398)",LVT,1VNL
Metropolitan Hardwood Floors Inc,1000041949,Evoke Surge 7in x 48in 12.0MM - Murray (47026),LVP,1VNL
Karndean International LLC,140588-035,Karndean Van Gogh 20 mil glue down 7in x 48in 3 MM - Honey Oak (VGW94T),VCT,1VNL
"E.J. Welch Co., Inc.",191603-013,Raskin Industries Formations Prodigy (Prodigy FPP) 20 Mil Bevel Dry Back 7.25in x 48in 3 MM - Rockford (5206KR),LVP,1VNL
"Shaw Industries, Inc.",205662-006,Shaw Resilient Tile & Plank Kind (4123V) 20 mil ExoGuard Square Edge 24in x 24in 5.0mm - Charcoal (23585),LVP,1VNL
Readers Wholesale,199620-018,Tarkett Performa (21300xxxx) 25 mil glue-down 6' .080in - Seasoned (55003) (2003),ROLL,1VNL
Dal Tile Corporation,216177-004,Dal Tile Luxury Vinyl Pines Terrace 20 mil Flexible Glue Down 7.25in x 48in 3 MM - CINNAMON(PT79),VCT,1VNL
"Shaw Industries, Inc.",210597-010,Shaw Commercial Resilient Branching Out (4256V) 20 mil squared edge 6in x 48in 5.0mm - Forest Walnut (56703),VCT,1VNL
"Shaw Industries, Inc.",177670-005,Shaw Patcraft North Ridge 6 PC (I207V) Vinyl Tile Plank 6in x 36in - Cabin Timber (02540),LVP,1VNL
"VMI's Premier Group, LLC",215269-002,SAR Floors Grande 8 Mil Resilient LVT/Plank 7in x 48in 2.0 MM - Everest (100),LVT,1VNL
Zoche,166787-018,Tarkett OmniSports 6.5 PVC 6' 6in 6.2 MM - Classic Oak (Classic Oak),ROLL,1VNL
Zoche,166787-025,Tarkett OmniSports 6.5 PVC 6' 6in 6.5 MM - Grey (Grey),ROLL,1VNL
Zoche,166787-016,Tarkett OmniSports 6.5 PVC 6' 6in 6.5 MM - Golden Maple (Golden Maple),ROLL,1VNL
Karndean International LLC,199319-002,Karndean Opus Wood Plank 20 Mil Microbeveled 9in x 48in 2.5 MM - LINEA (WP416),VCT,1VNL
"Shaw Industries, Inc.",198246-001,Shaw Contract Inlet (0926V) 20 mil commercial LVT w/ fiberglass 9in x 48in 5.0mm - Nestle (26120),LVT,1VNL
Karndean International LLC,212975-001,Karndean Knight-Tile Stone 12 mil GLUE DOWN 12in x 18in 4.5 mm - HONED OYSTER SLATE (ST17),VCT,1VNL
"Shaw Industries, Inc.",213850-002,Shaw Contract Inlet II Luxury Plank 9in x 48in 5.0mm - Valley (72103),LVP,1VNL
Mohawk Industries,202611-003,Mohawk Vivid Step Stone (CR706) 12 Mil Bevelled Edge 12in x 24in 2.0 MM - CHARCOAL GREY (S928),LVT,1VNL
Mohawk Industries,214722-001,Mohawk Medella Fleck (C2061) Healthy Environments Resilient 6' 7in 2.0 MM - Pearl (84850),ROLL,1VNL
Readers Wholesale,126730-002,Armstrong Safety Zone Slip Retardent 12in x 12in 1/8 - Shale Gray (57001),VCT,1VNL
"Shaw Industries, Inc.",1000005182,Shaw Patcraft-Acacia Plank (I456V)-Luxury Resilient Planks-6in x 48in-3/32in Yarrow (05013),LVP,1VNL
"Shaw Industries, Inc.",201229-002,Shaw Patcraft Molten (I478V) 20 mil glue down 23.6in x 23.6in 5.0mm - Calcite (00500),VCT,1VNL
"Shaw Industries, Inc.",206146-001,Shaw Commercial Resilient Eon LL (4112V) Luxury Vinyl Tile 20in x 20in 3/16in - Rift (12114),LVT,1VNL
Chilewich Sultan LLC,1000002941,Chilewich-Ikat Biofelt-LVP-6in x 36in-Sea,LVP,1VNL
Karndean International LLC,199017-019,Karndean Opus Wood Plank 20 Mil Microbeveled 6in x 36in 2.5 MM - Weathered Elm (WP511),VCT,1VNL
"Interface Americas, Inc.",201796-010,Interface Steady Stride Woodgrains (B001xx) 20 Mil Luxury Vinyl Plank 12.5 cm x 1 m 3 MM - Mocha (B00110),LVP,1VNL
Mohawk Industries,200718-009,Mohawk Vivid Step Wood (CR705) 12 Mil Bevelled Edge 6in x 48in 2.0 MM - JAVA HUT (W898),LVT,1VNL
"Shaw Industries, Inc.",190557-009,Shaw Commercial Hard Surfaces Intricate (0692V) Luxury Vinyl Tile 12in x 24in 2.5 MM - Antique Bronze (92760),LVT,1VNL
Karndean International LLC,196237-006,Karndean K-Trade 12 Mil Glue Down 7in x 48in 2.0 MM - LINOSA (PVP148),VCT,1VNL
"Mannington Mills, Inc.",194460-004,Mannington Luxury Vinyl Color Anchor Groove 20 mil Micro-Bevel Glue Down Plank 6in x 36in 2.5 MM - COTTONTAIL(C118),LVP,1VNL
Chilewich Sultan LLC,1000006788,Chilewich Fresco (400233-001) 18x18 Concrete,Vinyl Tile,1VNL
"Interface Americas, Inc.",191116-019,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Sugarpine (A00426),LVP,1VNL
"Building Plastics, Inc (BPI)",1000007224,BPI Urban Design 7 x 48 - Tokyo (Tokyo),Vinyl Tile,1VNL
"Interface Americas, Inc.",191116-026,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Charcoal Dune (A00418),LVP,1VNL
Tarkett USA Inc,1000012353,Tarkett Event Abstract 18x18 3.0mm Melange EME Onyx 11189,Vinyl Tile,1VNL
C&C Wholesale Distributors,1000009709,Tarkett VCT 11 533 True Beige,VCT,1VNL
"Shaw Industries, Inc.",213416-013,Shaw Patcraft Mark Making 2.5 (I692V) 20 mil ExoGuard Glue Down 5.96in x 48in 2.5 MM - Silhouette (00580),VCT,1VNL
"Shaw Industries, Inc.",213416-002,Shaw Patcraft Mark Making 2.5 (I692V) 20 mil ExoGuard Glue Down 5.96in x 48in 2.5 MM - Daylily (00200),VCT,1VNL
"Shaw Industries, Inc.",213416-012,Shaw Patcraft Mark Making 2.5 (I692V) 20 mil ExoGuard Glue Down 5.96in x 48in 2.5 MM - Quill (00560),VCT,1VNL
"Shaw Industries, Inc.",213416-009,Shaw Patcraft Mark Making 2.5 (I692V) 20 mil ExoGuard Glue Down 5.96in x 48in 2.5 MM - Pure (00500),VCT,1VNL
"Forbo Industries, Inc",184608-012,Forbo Marmoleum Striato Stripes 10in x 40in - Wiltered Prarie (t5217),VCT,1VNL
"Shaw Industries, Inc.",205264-001,Shaw Patcraft Homegrain 12 (I490V) Luxury Vinyl Plank 6in x 48in 12 MM - Gallery (00100),LVP,1VNL
J.J. Haines & Company,126732-068,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Basil Green (51947),VCT,1VNL
Tarkett USA Inc,1000009309,Tarkett Factor PCFC 11495-QU 18x18 Custom,Vinyl Tile,1VNL
Tarkett USA Inc,1000009314,Factor 18x18 PCFC (10735) Skyline,Vinyl Tile,1VNL
Readers Wholesale,1000010049,Armstrong Parallel 12 6x48 3.0 mm J5116 Glendale Oak Silver Fox,VCT,1VNL
Readers Wholesale,214879-002,Armstrong Unify 0.5mm Wear Layer Solid Vinyl Plank 6in x 48in 2.5 MM - ODENSE (J7212),LVP,1VNL
C&C Wholesale Distributors,211021-009,Tarkett VCT II Flecks Phthalate-Free Vinyl 12in x 12in .125 - Pewter WG (509),VCT,1VNL
C&C Wholesale Distributors,211021-010,Tarkett VCT II Flecks Phthalate-Free Vinyl 12in x 12in .125 - Pure White W (480),VCT,1VNL
Readers Wholesale,206555-013,Armstrong Parallel USA 20 20 MIl Urethane Plus/No polish-No Buff 18in x 18in 2.5 MM - Havana Biscuit Beige (J5261),VCT,1VNL
Readers Wholesale,214880-001,Armstrong-Unify-0.5mm Wear Layer Solid Vinyl Plank-6in x 36in-2.5 MM-HALDEN (J7206),LVP,1VNL
Readers Wholesale,211021-003,Tarkett VCT II Flecks Phthalate-Free Vinyl 12in x 12in .125 - Winter Storm WG (530),VCT,1VNL
