supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
Mats Inc DBA Matter Surfaces,167043-016,Bolon BKB Woven Vinyl 6' 7in 2.8 MM - Trend Metallic Alpha (102 757),ROLL,1VNL
Commercial Flooring Distributors,1000008320,"EVO AVT WOOD 7"" X 48"" 5mm - Honey (W112)",Vinyl Tile,1VNL
"Shaw Industries, Inc.",1000006369,Shaw Patcraft Earthen (I6776V) 20Mil 12x24 Harbor V1 (00510),LVT,1VNL
"Shaw Industries, Inc.",192392-020,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Thicket (07008),VCT,1VNL
Mohawk Industries,192778-013,Mohawk Living Local 20 mil glue down 6in x 48in 2.5 MM - Silver (918),VCT,1VNL
"Shaw Industries, Inc.",205916-004,Shaw Commercial Resilient Abide (4107V) Heavy Commercial 7in x 48in 20 mil - Wheat Oak (07220),VCT,1VNL
"Bentley Mills, Inc.",1000008265,Balustrade BBALU 18in X 36in X5mm LVT - Ornamental (802118),LVT,1VNL
"Shaw Industries, Inc.",172762-030,Shaw Commercial Hard Surfaces tureLife Wood II (0002V) Vinyl 6' .086in - Brazilian Cherry (05306),ROLL,1VNL
"Mannington Mills, Inc.",191789-004,Mannington Entwined Burlap Heterogeneous 6' .080in - OYSTER (ETW204),ROLL,1VNL
"Mannington Mills, Inc.",203877-005,Mannington Unlock 0.020in Wear Layer Heterogeneous Sheet 6' .080in - LUCK (DC202),ROLL,1VNL
"Mannington Mills, Inc.",1000007233,Mannington Unlock 0.020in Wear Layer Heterogeneous Sheet 12' .080in - LUCK (DC202),ROLL,1VNL
Karndean International LLC,187605-006,Karndean Knight Tile Woodplank Homogeneous Vinyl 6in x 36in 2.0 MM - Aged Oak (KP98),LVP,1VNL
J.J. Haines & Company,190556-097,Armstrong tural Creations ArborArt Diamond 10 Solid/Luxury Vinyl 6in x 36in .125 - TUSTIN NAVALE SILVER RAIN (NA227),LVT,1VNL
J.J. Haines & Company,210642-009,Armstrong Duo 20 mil Diamond 10 6in x 36in 2.5 MM - FRUIT PUNCH MIXER 2 (ST519),LVT,1VNL
Mohawk Industries,181535-000,Mohawk-Hot and Heavy Secoya (C0009)-20 Mil Floating LVT-9in x 59in-5.0mm-To Be Selected (TBS),LVT,1VNL
"Mannington Mills, Inc.",1000007247,Mannington Entwined Suber Heterogeneous 12' .080in - BERGAMOT (ETW454),ROLL,1VNL
"Mannington Mills, Inc.",1000007249,Mannington Entwined Burlap Heterogeneous 12' .080in - HULL (ETW202),ROLL,1VNL
"Shaw Industries, Inc.",1000004363,Shaw Endura Plus (0736V) 7in x 48in - Castaway (07087),VCT,1VNL
"Shaw Industries, Inc.",174345-010,Shaw Commercial Hard Surfaces Crete (0203V) Vinyl 18in x 18in .125 - Haze (03720),VCT,1VNL
Milliken & Company,211439-001,Milliken Fortified Foundations Rustic Pine 22 mil Micro Bevel Flexform 7in x 48in 2.5 MM - RUS 124 (RUS 124),VCT,1VNL
Milliken & Company,199465-004,Milliken tural Shendoah Luxury Vinyl Plank 9in x 60in 5.0mm - Fog (SHE144),LVP,1VNL
"Logistics Solutions, LLC",186146-013,Mannington BioSpec SR (BioSpec SR) Homogeneous/Slip Resistant 6' 6in .080in - Sandrift (67203),ROLL,1VNL
"Shaw Industries, Inc.",192392-011,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Pirch (00684),VCT,1VNL
Engineered Floors LLC,1000009763,J&J Flooring Power Play V5019- 9in x 48in 3mm (1083)	Information,Vinyl Tile,1VNL
J.J. Haines & Company,205750-010,Armstrong Parallel USA 20 20 MIl Urethane Plus/No polish-No Buff 6in x 48in 2.5 MM - Hightop Hickory Caramel C (J5210),VCT,1VNL
"Shaw Industries, Inc.",1000009446,Shaw Philadelphia Silva Valley 20 (5611V) ExoGuard Direct Glue 20 mil 6in x 48in 2.5 MM - White Sands (00104),Vinyl Tile,1VNL
"Mannington Mills, Inc.",1000009450,Mannington BioSpec MD Homogeneous 6' 6in .080in - Cherry Tomato (15508),ROLL,1VNL
"Mannington Mills, Inc.",1000009452,Mannington BioSpec MD Homogeneous 6' 6in .080in - Mojave (15525),ROLL,1VNL
"Forbo Industries, Inc",154055-054,Forbo Marmoleum Composition Tile (MCT) 13in x 13in 2.0 MM - Angora (MCT-3630),VCT,1VNL
"Forbo Industries, Inc",154055-056,Forbo Marmoleum Composition Tile (MCT) 13in x 13in 2.0 MM - Grey Dusk (MCT-3607),VCT,1VNL
"Mannington Mills, Inc.",178115-016,Amtico Spacia Abstract Luxury Vinyl Plank 7 1/4in x 48in 2.5 MM - Dusky Walnut (SS5W2542),LVP,1VNL
"Mannington Mills, Inc.",1000013741,Mannington	Spacia Stellar Ash 18x12 Ash,Vinyl Tile,1VNL
"Mannington Mills, Inc.",203527-004,Mannington Drift Abstract 30 mil Micro-Beveled 6in x 48in 2.5 MM - PAX ORE (D214),LVT,1VNL
"Interface Americas, Inc.",191893-018,Interface tural Woodgrains (A002) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Washed Wheat (A00207),LVP,1VNL
Commercial Flooring Distributors,1000009853,"Naturelle+ Plus Advance NAT-2031 7in x 48in 22mil - White,Gray Grey",Vinyl Tile,1VNL
Commercial Flooring Distributors,213747-004,Evo Floors Hybrid Vinyl Tile (HVT) VCT Altertive 18in x 18in Undefined - Slate (323),VCT,1VNL
Mohawk Industries,196679-009,Mohawk Molveno Woods (C0110) 20 Mil Floating LVT / Rigid Core 8in x 60in 6 mm - Touch of Sand (121),LVT,1VNL
J.J. Haines & Company,190448-001,Armstrong tural Creations Mystix Diamond 10 Solid/Luxury Vinyl 18in x 36in .125 - SPETTRO CASPIAN SAND (NA931),LVT,1VNL
"Forbo Industries, Inc",180346-039,Forbo Flotex Vision (Image) Luxury Vinyl 6' 6in - Wonderlab Chameleon (220001FR),ROLL,1VNL
"Shaw Industries, Inc.",195450-004,Shaw Commercial Hard Surfaces Composed (098UV) Luxury Vinyl Plank 7in x 48in - Grand Teton (00506),LVP,1VNL
"Shaw Industries, Inc.",204351-012,Shaw Commercial Hard Surfaces Terrain II (4110V) 20 mil glue down 6in x 48in 5.0mm - Lodge (00740),VCT,1VNL
"Shaw Industries, Inc.",203797-008,Shaw Commercial Resilient Inspire 5.0MM (4120V) Resilient LVT/Plank 24in x 24in 5.0mm - Transform (84585),LVT,1VNL
"Shaw Industries, Inc.",202726-013,Shaw Commercial Resilient Compound 2.5 MM (4074V) Vinyl 24in x 24in 2.5 MM - Bisque (77620),VCT,1VNL
"Shaw Industries, Inc.",179168-006,Shaw Commercial Hard Surfaces tive Origins (0116V) Luxury Vinyl Plank 6in x 48in 2.5 MM - Bay Chestnut (00710),LVP,1VNL
Capri Cork LLC dba The Lititz Flooring Company,208615-005,Novalis Innovative Flooring AVA 2DSGN 22 mil Microbevel Register 6in x 48in 2.5 MM - ALPINE OAK PRESTIGE (AO2D008),LVT,1VNL
ToMarket,212109-001,To Market Ozogrip Gallery Whitney 20 Mil Square Edge Direct Glue 12in x 24in 5.0mm - CHELSEA (TM102),VCT,1VNL
"Interface Americas, Inc.",202603-005,Interface Walk Of Life (A012) 22 mil LVT 19.69in x 19.69in 4.5 mm - Charcoal (05),LVT,1VNL
Spartan Surfaces,1000004359,Parterre Connectivity 12in x 24in 2.5MM Nickel (412DM125),Vinyl Tile,1VNL
Milliken & Company,187380-002,Milliken Wood Eucalyptus Salig Luxury Vinyl Tile 7in x 48in - EUC122 (EUC122),LVT,1VNL
"Shaw Industries, Inc.",1000012865,Shaw Patcraft Earthen (I676V) 20Mil 12x24 Haze V-2 (00540),LVT,1VNL
PF America Inc.,209028-017,Polyflor Palettone PUR Homogeneous Monolayer 6' 7in 2.0 MM - Faded Denim (8613),ROLL,1VNL
Global Floor Inc,1000008182,"Naturelle Plus / Long Planks ASTM F1700-96 Class III, Type B 22mil 7"" x 48"" plank NAT #1741 Achieve",Vinyl Tile,1VNL
Global Floor Inc,1000008185,"Haven Waterproof Click Flooring ASTM F-3261 Class 1, Type B, Backing Class B 20mil 7"" x 48"" 6mm HAV-723 ACADIA",Vinyl Tile,1VNL
"Shaw Industries, Inc.",204197-008,Shaw Patcraft Anew (I542V) 20 mil Lvt glue down 7.75in x 48in 2.5 MM - Truffle (00780),LVT,1VNL
"Shaw Industries, Inc.",1000014026,Function + Flow - Flow 2.5 (4385V) LVT 22mil 18in x 18in - Shale (85518),LVT,1VNL
"Mannington Mills, Inc.",1000012560,"Mannington Amtico Signature Parquet (AROD3000.1) Parquet Small 3"" x 9"" Classic Oak",LVT,1VNL
"Shaw Industries, Inc.",193338-004,Shaw Contract Stratum Defined (058UV) Luxury Vinyl Plank 7in x 48in Undefined - Detail (03005),LVP,1VNL
