supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
"Gerflor USA, Inc.",1000038033,"RF04: Gerflor Contract Flooring-Mipolam Affinity-Homogeneous-6' 6in-2.0 MM-Aquamarine (4417)
RF04:430.56SF= 1 FULL ROLL = 47.84SY
4,305.6SF = 10 ROLLS = 478.4SY
*Backordered here by:",ROLL,1VNL
Milliken & Company,210608-001,"Milliken Fortified Foundations Pike 22 mil Micro Bevel Flexform 9in x 60in 5.0mm 
DEW (PIK121-204)
22.4sf/ctn
1,926.4sf=86ctn",VCT,1VNL
Mohawk Industries,1000042963,"Mohawk - Juniperus II (C2059) - 6Â’6Â” - Vinyl Sheet - Copper Mine (358)
13'2"" Rolled Goods",ROLL,1VNL
Ecore International Inc.,191681-003,Ecore International Bounce 2 Rubber Back Sheet Vinyl Vinyl 6' 7.0MM - Chocolate (ES205),ROLL,1VNL
PF America Inc.,1000005887,"Polyflor  sheet vinyl - Style - Quattro PUR color - Sea Spray 5763 wide:  6.6"" x 65'  thickness 2mm",ROLL,1VNL
"Shaw Industries, Inc.",211309-014,Shaw Resilient Tile & Plank Branching Out (4309V) 20 Mil Coretec 7in x 48in Undefined - Traverse Oak (D&B 56760),VCT,1VNL
"Shaw Industries, Inc.",211309-009,Shaw Resilient Tile & Plank Branching Out (4309V) 20 Mil Coretec 7in x 48in Undefined - Smoky Oak (56516),VCT,1VNL
"Shaw Industries, Inc.",183678-004,Shaw Commercial Hard Surfaces Surface (0515V) Luxury Resilient Planks 18in x 36in 2.5 MM - Pitch (15500),LVP,1VNL
"Shaw Industries, Inc.",211309-016,Shaw Resilient Tile & Plank Branching Out (4309V) 20 Mil Coretec 7in x 48in Undefined - Pinecone Oak (D&B 56720),VCT,1VNL
"Mannington Mills, Inc.",208531-038,Mannington Spacia Wood 20 Mil Microbeveled 7 1/4in x 48in 2.5 MM - Spring Maple (SS5W2538),VCT,1VNL
Adleta Corporation,213949-005,Tarkett VCT II  Phthalate-Free Vinyl 12in x 12in .125 - Pewter (509)  TAR509,VCT,1VNL
Adleta Corporation,213949-004,Tarkett VCT II Solids Phthalate-Free Vinyl 12in x 12in .125 - Dunes (326),VCT,1VNL
"Interface Americas, Inc.",193193-001,Interface Level Set tural Stones (A001) Luxury Vinyl Plank 22 mil 19.69in x 19.69in 4.5 mm - Jet Mist (01),LVP,1VNL
Adleta Corporation,205750-004,Armstrong Parallel USA 20 20 MIl Urethane Plus/No polish-No Buff 6in x 48in 2.5 MM - Cornelius Creek Sage Brow (J5220),VCT,1VNL
"Shaw Industries, Inc.",191531-006,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Grove (00769),LVT,1VNL
Milliken & Company,185367-004,Milliken Applewood Micro Beveled plank 5in x 48in 2.5 MM - APP22 (APP22),LVP,1VNL
"Shaw Industries, Inc.",215419-005,Shaw Resilient Tile & Plank Inlet II (4372V) 20 mil squared edge 9in x 48in 5.0mm - Valley (72103),VCT,1VNL
"Interface Americas, Inc.",214957-001,Interface Luxury Vinyl Custom NISD 22 Mil Custom Wovens w/Accent 25cm x 1m 4.5 mm - A03101130020202XX0(Custom),VCT,1VNL
Adleta Corporation,191156-002,Armstrong tural Creations EarthCuts Diamond 10 Luxury Vinyl Tile 12in x 24in 3.2 MM - BRACO MORTAR (NA331),LVT,1VNL
Adleta Corporation,211021-024,Tarkett VCT II Flecks Phthalate-Free Vinyl 12in x 12in .125 - Stone Grey WG (602),VCT,1VNL
Adleta Corporation,211021-043,Tarkett VCT II Flecks Phthalate-Free Vinyl 12in x 12in .125 - Deep Water (598),VCT,1VNL
Adleta Corporation,1000010339,Tarkett iD Latitude Wood 6in x 48in 3MM - Geneva (7530),LVT,1VNL
Adleta Corporation,1000007949,AHF CONTRACT SHEET VINYL 2.0 m (78.74?) W x 20.9 m (68.57Â´) L  Style:  MIXED AND VARIEGATED 1HG2M005 color Fog,ROLL,1VNL
"Interface Americas, Inc.",195433-027,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Sand (27),LVP,1VNL
"DNU     Building Plastics, Inc",1000007731,"Prestige  Vinyl Tile: Style (Firmfit XXL) Backing (Tight LockCork) Size (8.9"" x 60.3"" | 9.1"" x 60.3"")  Gauge (5mm)  Color (Wheatland CW-2001)",VCT,1VNL
"Shaw Industries, Inc.",174233-004,Shaw Commercial Hard Surfaces Jeogori (0215V) Vinyl 18in x 18in - Linen (90500),VCT,1VNL
"Shaw Industries, Inc.",192695-002,Shaw USF Commercial Stratum Eiris (053UV) Engineered Locking 7.09in x 59.06in 8.5 mm - Tannery Brown (06002),VCT,1VNL
Milliken & Company,1000008247,"Milliken Vinyl Tile - Local Measure Wilderness 2.5 mm thick with a 22 mil ware layer Color: (MWD79 Sesame) Size: (6"" x 48"")",VCT,1VNL
"Mannington Mills, Inc.",172757-010,Mannington ture's Path/Rainfall Luxury Vinyl Tile 18in x 36in 2.5 MM - Mist (12311),LVT,1VNL
Mohawk Industries,194944-015,Mohawk Matuto Plus Resilient 12in x 24in 20 mil - Sonic Silver (927),VCT,1VNL
Adleta Corporation,210598-011,Armstrong Coalesce 0.020in Wear Layer LVT w/ Diamond 10 18in x 36in 2.5 MM - OXIDIZE VANTA (ST882),LVT,1VNL
Karndean International LLC,140588-027,Karndean Van Gogh 20 mil glue down 7in x 48in 3 MM - Bracken (VG1-7),VCT,1VNL
Karndean International LLC,140588-024,Karndean Van Gogh 20 mil glue down 7in x 48in 3 MM - Vintage Pine (VGW76T),VCT,1VNL
Karndean International LLC,187605-001,Karndean Knight Tile Woodplank Homogeneous Vinyl 6in x 36in 2.0 MM - White Painted Pine (KP105),LVP,1VNL
Adleta Corporation,205037-069,Tarkett IQ Optima Homogeneous 6' 6in .080in - Summer Moon (0205),ROLL,1VNL
Milliken & Company,1000007442,Milliken Local Measure Wilderness Allspice 22 Mil 6in x 48in,VCT,1VNL
"Logistics Solutions, LLC",195194-020,Mannington Color Anchor Groove 20 mil Micro-Bevel Glue Down Plank 18in x 18in 2.5 MM - WINTER FLEECE (C117),LVP,1VNL
"Shaw Industries, Inc.",207209-001,Spectra Contract Flooring Roam (4126V) Resilient LVT/Plank 6in x 48in 3/32in - Ash (00174),LVT,1VNL
"Interface Americas, Inc.",193193-004,Interface Level Set tural Stones (A001) Luxury Vinyl Plank 22 mil 19.69in x 19.69in 4.5 mm - Warm Impala Marble (04),LVP,1VNL
C&C Wholesale Distributors,168968-050,Johnsonite Color Essence Vinyl 12in x 12in 1/8in - Lake Night (151),VCT,1VNL
"Shaw Industries, Inc.",189827-007,LV01 Shaw Commercial Hard Surfaces Rethink (0733V) LVT Plank 9in x 36in - Core (33515),LVT,1VNL
Adleta Corporation,211844-016,Armstrong Terra LVT 18in x 18in 2.5 MM - Astana Igneous (ST387),LVT,1VNL
Adleta Corporation,211844-013,Armstrong Terra LVT 18in x 18in 2.5 MM - Astana Ebony (ST385),LVT,1VNL
Adleta Corporation,190628-016,Armstrong tural Creations ArborArt Diamond 10 Solid/Luxury Vinyl 9in x 48in .125 - NA121-LVT02 (D&B),LVT,1VNL
Adleta Corporation,213064-011,AHF Contract Mixed and Variegated Homogeneous Sheet 78.74in 2.0 MM - ALPINE LANDSCAPE (1HG2M011),ROLL,1VNL
"Mannington Mills, Inc.",1000011507,"D&B LVT Abstract Vinyl Tile 12"" x 12"" (305mmx305mm) - Glint Orb (AR0AGG11)",LVT,1VNL
"Mannington Mills, Inc.",1000011513,"D&B LVT Abstract Vinyl Tile 12"" x 12"" (305mmx305mm) - Glint Void (AR0AGG22)",LVT,1VNL
"Mannington Mills, Inc.",1000011517,"D&B LVT Abstract Vinyl Tile 6"" x 36"" (152mm x 915mm) - Glint Void (AR0AGG22)",LVT,1VNL
"Interface Americas, Inc.",204899-005,Interface Brushed Lines (A016) 22 mil Luxury Vinyl Plank 25cm x 1m 4.5 mm - Sandalwood (08),LVP,1VNL
Mohawk Industries,194944-009,Mohawk Matuto Plus Resilient 12in x 24in 20 mil - Green Grass (646),VCT,1VNL
Mohawk Industries,194944-005,Mohawk Matuto Plus Resilient 12in x 24in 20 mil - Wizard (454),VCT,1VNL
Mohawk Industries,194944-007,Mohawk Matuto Plus Resilient 12in x 24in 20 mil - Mega Blue (556),VCT,1VNL
Mohawk Industries,194944-003,Mohawk Matuto Plus Resilient 12in x 24in 20 mil - Outrageous Orange (252),VCT,1VNL
Mohawk Industries,194944-002,Mohawk Matuto Plus Resilient 12in x 24in 20 mil - Lemon Twist (131),VCT,1VNL
Mohawk Industries,209976-011,Mohawk Reforestation (C0188) 20 mil glue down 9.25in x 59in 4.5 mm - Shannon (949),VCT,1VNL
"Interface Americas, Inc.",195433-005,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Titanium (05),LVP,1VNL
Mohawk Industries,181535-010,Mohawk Hot and Heavy Secoya (C0009) 20 Mil Floating LVT 9in x 59in 5.0mm - Woodland (878),LVT,1VNL
"Interface Americas, Inc.",191116-008,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Antique Gray Oak (A00408),LVP,1VNL
"Interface Americas, Inc.",195433-010,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Poppy (10),LVP,1VNL
Adleta Corporation,205750-012,Armstrong Parallel USA 20 20 MIl Urethane Plus/No polish-No Buff 6in x 48in 2.5 MM - Glen Brook Oak Evening Sh (J5202),VCT,1VNL
Adleta Corporation,190628-007,Armstrong tural Creations ArborArt Diamond 10 Solid/Luxury Vinyl 9in x 48in .125 - COASTAL CRAFTED BOARDWALK (NA121),LVT,1VNL
Adleta Corporation,211021-022,Tarkett VCT II Flecks Phthalate-Free Vinyl 12in x 12in .125 - Stone White W (600),VCT,1VNL
Metropolitan Hardwood Flooring,1000014352,"Evoke Contract Larimer 7"" x 5/33"" x 48"" 4.5mm LVT Larimer",LVT,1VNL
Mohawk Industries,208195-008,Mohawk Living Local Chromascope 20 mil glue down 12in x 24in 2.5 MM - Jack Rabbit (940),VCT,1VNL
"Interface Americas, Inc.",1000017500,INTERFACE ARIES STAR GAAZING 50cmx50cm 4.5mm A01715 ARIES LVT,Vinyl Tile,1VNL
"Shaw Industries, Inc.",175204-014,Shaw Commercial Hard Surfaces Rexcourt 6.5 (0004V) Vinyl 5' 10in - Yellow (06500),ROLL,1VNL
"Shaw Industries, Inc.",175204-016,Shaw Commercial Hard Surfaces Rexcourt 6.5 (0004V) Vinyl 5' 10in - Orange (06901),ROLL,1VNL
"Shaw Industries, Inc.",175204-007,Shaw Commercial Hard Surfaces Rexcourt 6.5 (0004V) Vinyl 5' 10in - Grand Maple (02001),ROLL,1VNL
"Shaw Industries, Inc.",175204-011,Shaw Commercial Hard Surfaces Rexcourt 6.5 (0004V) Vinyl 5' 10in - Dark Blue (06400),ROLL,1VNL
"Mannington Mills, Inc.",1000009498,"Mannington Wildflower 12' Wide 0.080"" B101 Renewal Sheet Vinyl",ROLL,1VNL
"Shaw Industries, Inc.",204351-020,Shaw Commercial Hard Surfaces Terrain II (4110V) 20 mil glue down 6in x 48in 5.0mm - Thicket (07008),VCT,1VNL
"Shaw Industries, Inc.",214918-003,Shaw Contract Commingle (4350V) 20 mil squared edge 9in x 48in 5.0mm - Iron (50505),VCT,1VNL
"Shaw Industries, Inc.",203225-014,Shaw Commercial Hard Surfaces Compound 5.0MM (4077V) Resilient LVT/Plank 24in x 24in 5.0mm - Threshold (77515),LVT,1VNL
"Shaw Industries, Inc.",202842-004,Shaw Patcraft Mark Making (I509V) 20 Mil Luxury Vinyl Plank 5.96in x 48in 5.0mm - Watercolor (00400),LVP,1VNL
Engineered Floors LLC,200113-002,LVT-1 EF Contract Facet (EFCFC) 12 Mil Gluedown Plank 7in x 48in 2.5 MM - Twig (00002),VCT,1VNL
Engineered Floors LLC,200113-006,LVT-2 EF Contract Facet (EFCFC) 12 Mil Gluedown Plank 7in x 48in 2.5 MM - Barktone (00006),VCT,1VNL
"Shaw Industries, Inc.",202726-008,Shaw Commercial Resilient Compound 2.5 MM (4074V) Vinyl 24in x 24in 2.5 MM - Elevate (77518),VCT,1VNL
Metropolitan Hardwood Floors Inc,1000019292,Evoke Coffeehouse 2.5 45628 7inÂ” x 1/8inÂ” x 48inÂ” 2.5 mm Plank LVT London Fog (45628),LVT,1VNL
"Interface Americas, Inc.",1000013735,Interface Shantung 25cm x 1m 4.5mm A02710 Silver Tree LVT,LVT,1VNL
"Interface Americas, Inc.",197292-005,Interface Drawn Lines (A009xx) 22 mil Commercial Ceramor 25cm x 1m 4.5 mm - Amber (05),VCT,1VNL
"Shaw Industries, Inc.",203225-010,Shaw Commercial Hard Surfaces Compound 5.0MM (4077V) Resilient LVT/Plank 24in x 24in 5.0mm - Foundation (77530),LVT,1VNL
"Forbo Industries, Inc",204482-005,Forbo mct 2.0 tural 13.11in x 13.11in 2.0 MM - Eiger (629),VCT,1VNL
"Forbo Industries, Inc",154055-021,Forbo Marmoleum Composition Tile (MCT) 13in x 13in 2.0 MM - Eiger (MCT-629),VCT,1VNL
