supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
Tarkett USA Inc,216436-001,Tarkett Even Plane English Oak 0.80mm Techtonic Square Edge 9.8in x 39.4in 4.5 mm - BEIGE (PNP 8705),VCT,1VNL
"Interface Americas, Inc.",191116-010,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Silver Walnut (A00410),LVP,1VNL
Spartan Surfaces,183701-003,UpoFloor Zero PVC 4'9in 2.0 MM - Moon Rock (5721),ROLL,1VNL
"Mannington Mills, Inc.",191255-028,Mannington Adura Max Micro-bevel LockSolid 6in x 48in 8.0 MM - KONA BEACH (MAX700),LVT,1VNL
"Shaw Industries, Inc.",1000011457,Shaw Patcraft Pursue Within (I623V) Resilient Sheet 6.5' - Sterling (00530),ROLL,1VNL
"Shaw Industries, Inc.",183733-016,Shaw Patcraft Brookwood + (I319V) Vinyl 6' Undefined - Amber (05303),ROLL,1VNL
"Mannington Mills, Inc.",184701-002,Mannington BioSpec MD Homogeneous 6' 6in .080in - Bisque (15202),ROLL,1VNL
"Mannington Mills, Inc.",176705-031,Amtico Spacia Stone Vinyl 18in x 18in 2.5 MM - Plaza Concrete (SS5S3070),VCT,1VNL
"Mannington Mills, Inc.",178115-014,Amtico Spacia Abstract Luxury Vinyl Plank 7 1/4in x 48in 2.5 MM - Mirus Feather (SS5A6120),LVP,1VNL
Mohawk Industries,204290-015,Mohawk Large and Local (C0128) 20 mil Dry Back 9.25in x 59in 4.5 mm - Neels (985),VCT,1VNL
"Mannington Mills, Inc.",203877-004,Mannington Unlock 0.020in Wear Layer Heterogeneous Sheet 6' .080in - FORTUNE (DC201),ROLL,1VNL
Spartan Surfaces,183701-017,UpoFloor Zero PVC 4'9in 2.0 MM - Concrete (5712),ROLL,1VNL
"Shaw Industries, Inc.",216386-001,Shaw Contract Crossing Paths (4431V) 20 mil square edge 18in x 18in 2.5 MM - Eggshell (91111),VCT,1VNL
"Mannington Mills, Inc.",189621-059,Mannington Spacia Wood (Xtra) Beveled Edge 7 1/4in x 48in 2.5 MM - Haven Oak (SS5W3033),LVT,1VNL
"Yorkshore Sales & Marketing, Inc.",126796-035,American Biltrite Texas Granite Solid/Luxury Vinyl 36in x 36in .125 - ANDROS BLUE (VTG194),LVT,1VNL
"Mannington Mills, Inc.",189621-053,Mannington Spacia Wood (Xtra) Beveled Edge 7 1/4in x 48in 2.5 MM - Bruges Oak (SS5W3034),LVT,1VNL
"Mannington Mills, Inc.",1000003285,Mannington-Nature's Paths Wood-6in x 36in (custom)-Northern Maple Espresso (12121),VCT,1VNL
"Mannington Mills, Inc.",176705-012,Amtico Spacia Stone Vinyl 18in x 18in 2.5 MM - Pale Grey Slate (SS5S3601),VCT,1VNL
"Mannington Mills, Inc.",184701-041,Mannington BioSpec MD Homogeneous 6' 6in .080in - Flint (15384),ROLL,1VNL
"Mannington Mills, Inc.",189621-043,Mannington Spacia Wood (Xtra) Beveled Edge 7 1/4in x 48in 2.5 MM - Warm Teak (SS5W2517),LVT,1VNL
Mohawk Industries,1000014028,"Mohawk Medella Fleck C2061 6'7"" 2mm	 84163 Almond Sheet Vinyl",ROLL,1VNL
"Interface Americas, Inc.",215204-010,Interface Northern Grain (A026xx) 22 mil LVT 25cm x 1m 4.5 mm - Natural Satin (10),LVT,1VNL
"Shaw Industries, Inc.",211309-004,Shaw Resilient Tile & Plank Branching Out (4309V) 20 Mil Coretec 7in x 48in Undefined - Riverside Oak (56140),VCT,1VNL
"Yorkshore Sales & Marketing, Inc.",126738-013,Estrie Texas Granite Solid/Luxury Vinyl 12in x 12in .125 - White/Blue (VTG190),LVT,1VNL
"Yorkshore Sales & Marketing, Inc.",1000003903,American Biltrite-Texas Granite-12in x 12in-0.125-Andros Blue (VTG194),VCT,1VNL
"Yorkshore Sales & Marketing, Inc.",1000003902,American Biltrite-Texas Granite-12in x 12in-0.125-Sky Blue (VTG193),VCT,1VNL
"Yorkshore Sales & Marketing, Inc.",126796-013,American Biltrite Texas Granite Solid/Luxury Vinyl 36in x 36in .125 - WHITE | BLUE (VTG190),LVT,1VNL
"Yorkshore Sales & Marketing, Inc.",1000003901,American Biltrite-Texas Granite-12in x 12in-0.125-Primary Blue (VTG197),VCT,1VNL
"Shaw Industries, Inc.",187505-012,Shaw Commercial Hard Surfaces Pigment (0503V) Dryback Vinyl 7in x 48in 2.5 MM - Red (65855),VCT,1VNL
"Shaw Industries, Inc.",1000017428,"Shaw native origins 0116v	6"" x 48"" 12mil 00280 natural teak LVT",LVT,1VNL
"Forbo Industries, Inc",1000009152,Forbo Flotex Frameweave Plank Design 39.37in x 9.48in 5.0mm - Ignite (142009 ),LVP,1VNL
"Mannington Mills, Inc.",172755-006,Mannington ture's Path/DissoLve Luxury Vinyl Tile 18in x 36in 2.5 MM - Scatter (12329),LVT,1VNL
"Mannington Mills, Inc.",189621-046,Mannington Spacia Wood (Xtra) Beveled Edge 7 1/4in x 48in 2.5 MM - White Ash (SS5W2540),LVT,1VNL
Tarkett USA Inc,1000021012,"Tarkett Event Wood 6""x48"" 1/8"" 2131 Provence LVT",LVT,1VNL
William M. Bird,1000016949,Metroflor Deja New- Clean Oak 9x60 2.5 Mist Grey LVT,LVT,1VNL
"Shaw Industries, Inc.",183733-015,Shaw Patcraft Brookwood + (I319V) Vinyl 6' Undefined - Spicewood (05301),ROLL,1VNL
"Forbo Industries, Inc",154055-028,Forbo Marmoleum Composition Tile (MCT) 13in x 13in 2.0 MM - White Marble (MCT-607),VCT,1VNL
"Shaw Industries, Inc.",1000019127,Shaw Resilient Tile & Plant Inlet II 72140	Spindle,Vinyl Tile,1VNL
"Shaw Industries, Inc.",176647-025,Shaw Patcraft Highland Forest 6in (I800V) Vinyl Tile Plank 6in x 48in 3/32in - Rich Chestnut (20710),LVP,1VNL
"Mannington Mills, Inc.",172755-001,Mannington ture's Path/DissoLve Luxury Vinyl Tile 18in x 36in 2.5 MM - Etch (12331),LVT,1VNL
"Mannington Mills, Inc.",195197-009,Mannington Color Anchor Stride 20 mil Micro-Bevel Glue Down Plank 6in x 36in 2.5 MM - LONDON FOG (C139),LVP,1VNL
Tarkett USA Inc,203907-004,Tarkett Color Beam 32 mil Square Edge (SE) 18in x 18in 3 MM - DUKE (C119),LVT,1VNL
J.J. Haines & Company,126857-056,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 3/32in - Marina Blue (51820),VCT,1VNL
"Mannington Mills, Inc.",191255-032,Mannington Adura Max Micro-bevel LockSolid 6in x 48in 8.0 MM - KONA SUNRISE (MAX702),LVT,1VNL
"Mannington Mills, Inc.",189621-055,Mannington Spacia Wood (Xtra) Beveled Edge 7 1/4in x 48in 2.5 MM - Drift Pine (SS5W3027),LVT,1VNL
"Mannington Mills, Inc.",176705-002,Amtico Spacia Stone Vinyl 18in x 18in 2.5 MM - Bottocino Grey (SS5S3598),VCT,1VNL
"Mannington Mills, Inc.",189621-025,Mannington Spacia Wood (Xtra) Beveled Edge 7 1/4in x 48in 2.5 MM - Nordic Oak (SS5W2550),LVT,1VNL
"Mannington Mills, Inc.",189621-010,Mannington Spacia Wood (Xtra) Beveled Edge 7 1/4in x 48in 2.5 MM - Bleached Elm (SS5W2516),LVT,1VNL
"Mannington Mills, Inc.",191255-008,Mannington Adura Max Micro-bevel LockSolid 6in x 48in 8.0 MM - SUNDANCE SADDLE (MAX002),LVT,1VNL
"Shaw Industries, Inc.",1000010180,Shaw Patcraft Earthen (1677V) 5mm Luxury Vinyl Tile 12 in x 24in - Dusk (00520),LVT,1VNL
"Mannington Mills, Inc.",191255-002,Mannington Adura Max Micro-bevel LockSolid 6in x 48in 8.0 MM - ACACIA TIGER'S EYE (MAX011),LVT,1VNL
"Mannington Mills, Inc.",195197-016,Mannington Color Anchor Stride 20 mil Micro-Bevel Glue Down Plank 6in x 36in 2.5 MM - SQUASH BLOSSOM (C132),LVP,1VNL
"Shaw Industries, Inc.",190557-010,Shaw Commercial Hard Surfaces Intricate (0692V) Luxury Vinyl Tile 12in x 24in 2.5 MM - Alabaster (92100),LVT,1VNL
"Cain & Bultman, Inc.",1000020139,"Tarkett IQ Granit 6'6"" .080"" Sheet Vinyl -Grey (161)",ROLL,1VNL
"Forbo Industries, Inc",154055-017,Forbo Marmoleum Composition Tile (MCT) 13in x 13in 2.0 MM - Dove Grey (MCT-621),VCT,1VNL
"Shaw Industries, Inc.",174233-005,Shaw Commercial Hard Surfaces Jeogori (0215V) Vinyl 18in x 18in - Black Tie (90590),VCT,1VNL
"Bentley Mills, Inc.",1000024388,Bentley Mills Bentley Memory (BMMRY) 9in x 48in 2.5mm Prairie (801981) Vinyl Tile Backing,Vinyl Tile,1VNL
William M. Bird,211089-005,Protect All Specialty Flooring Standard Matte Finish 5' x 8' Sheet 1/4in - Brown (231809),VCT,1VNL
"Shaw Industries, Inc.",1000025720,"Reside 6in"" x 48in"" 2.5mm LVT - Solace (94700)",Vinyl Tile,1VNL
"Interface Americas, Inc.",204970-006,Interface Criterion Classic Woodgrains (C001) High Performance LVT 12.5 cm x 1 m 22 mil - Antique Light Oak (C00106),LVT,1VNL
"Interface Americas, Inc.",1000021199,Interface Ridge 50cmx50cm 4.5mm	 A02304	Agate Vinyl Tile,VCT,1VNL
"Shaw Industries, Inc.",1000027534,Patcraft Woodtone (I724V) 9in x 36in 5.0MM - Spruce (00115),LVP,1VNL
"Mannington Mills, Inc.",1000026950,Mannington Biospec MD Homogeneous 6' - Mojave (15525),VNL,1VNL
"Mannington Mills, Inc.",204491-023,Mannington Spacia Abstract 20 mil Bevelled Edge LVT 18in x 18in 2.5 MM - Stellar Grey (SS5A3627),LVT,1VNL
Karndean International LLC,193549-002,Karndean LooseLay Longboard Plank 10in x 59in 4.5 mm - CHAMPAGNE OAK (LLP310),LVP,1VNL
J.J. Haines & Company,1000028965,"Armstrong Excelon SDT 12""x12"" 1/8"" - Coal (51959)",LVT,1VNL
"Mannington Mills, Inc.",1000025774,Mannington BioSpec MD 6Â‘6Â” 2.03 mm - NorthStar (15506),ROLL,1VNL
Spartan Surfaces,171011-007,Teknoflor Forestscapes Legacy HPD (Legacy Collection) 20 Mil Vinyl 6' 2.3 MM - Virginia Butternut (61022),ROLL,1VNL
Ecore International Inc.,1000005296,Ecore International Heritage Motivate 6.25in x 48in 7mm Urban Oak (1000),Vinyl Tile,1VNL
"Mannington Mills, Inc.",194461-012,Mannington Color Anchor Stride 20 mil Micro-Bevel Glue Down Plank 12in x 24in 2.5 MM - PEANUT SHELL (C133),LVP,1VNL
Stanley Stephens Co Inc,38025,"ALTRO\ORCHESTRA\CH2836U CHIMES\6'7""",ROLL,1VNL
"Mannington Mills, Inc.",195197-012,Mannington Color Anchor Stride 20 mil Micro-Bevel Glue Down Plank 6in x 36in 2.5 MM - PEANUT SHELL (C133),LVP,1VNL
Tarkett USA Inc,1000031751,"Tarkett Event Wood 6""x48"" 3mm - Gilded Oak (PECF 11210 NG)",LVT,1VNL
"Cain & Bultman, Inc.",1000032467,Tarkett Acczent Excellence 80 (251xxxxx) 0.80mm wearlayer 6.56ft 2.0 MM - MAPLE  28141 (MODERN MAPLE),ROLL,1VNL
Tarkett USA Inc,1000031878,Tarkett Contour Series Wildcraft Maple 0.81mm   6in x 36in Haven(4635),LVT,1VNL
"Shaw Industries, Inc.",215051-005,Shaw Contract Reside (4381V) 20 mil squared edge 6in x 47in 2.5 MM - Assurance (94730),VCT,1VNL
"J.J. Haines & Company, LLC dba UCX Flooring",126732-141,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Victoria Blue (59230),VCT,1VNL
Mohawk Industries,209049-003,Aladdin Native Craft (AH018) 12 Mil Gluedown Plank 8in x 48in 2.0 MM - Nuthatch (260),LVP,1VNL
Trinity Surfaces,1000033510,Trinity Surfaces Chesnut Hill Vinyl Tile 6in x 48in - Roslin,LVP,1VNL
"Interface Americas, Inc.",1000034541,Interface Natural Woodgrains 25cm x 1m 3.0MM - Washed Wheat (C00906),LVP,1VNL
"Mannington Mills, Inc.",1000032871,Mannington Spacia Wood 7.25in x 48in 2.5MM - Powdered Oak (SS5W3311),LVP,1VNL
"Shaw Industries, Inc.",215051-001,Shaw Contract Reside (4381V) 20 mil squared edge 6in x 47in 2.5 MM - Contentment (94564),VCT,1VNL
"Mannington Mills, Inc.",1000035213,Mannington Onward 12 (ONW12) 6in x 36in - Natural Oak (3021),LVP,1VNL
"Mannington Mills, Inc.",184701-042,Mannington BioSpec MD Homogeneous 6' 6in .080in - Brownstone (15385),ROLL,1VNL
"Shaw Industries, Inc.",203476-009,Shaw Patcraft Timber Grove II (I559V) 20 mil Glue Down ExoGuard 6in x 48in 5.0mm - Sprout (00173),VCT,1VNL
"Mannington Mills, Inc.",1000035847,Mannington Spacia First Wood 20 Luxury Vinyl Plank 20 Mil 7.25in x 48in 2.5 MM - Mulled Oak (SS5W3313),LVP,1VNL
Le Tissage D'arcade - 2 tec 2,1000033724,2tec2 Seamless Woven Vinyl Roll 6' 7in 5.0 MM - Pulsar,ROLL,1VNL
"Shaw Industries, Inc.",1000037044,Shaw In Unison 5.0 (4391V) 9in x 36in 5.0MM - Together (91475),LVP,1VNL
