supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
J.J. Haines & Company,126857-036,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 3/32in - Sterling (51904),VCT,1VNL
J.J. Haines & Company,126732-021,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Earthstone Greige (51804),VCT,1VNL
J.J. Haines & Company,126732-099,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Brushed Sand (51873),VCT,1VNL
J.J. Haines & Company,1000007679,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 3.2mm - Shadow Blue (51807),VCT,1VNL
All South Flooring,1000004922,American Biltrite Mirra Classic Wood LVT 4in x 36in 3 MM - Red Maple (WP004),LVT,1VNL
Mohawk Industries,211212-016,Mohawk Living Local Premium Wood (C0194) Luxury Vinyl Plank 7.72in x 51.97in 2.4 MM - Two Tone (958),LVP,1VNL
Mohawk Industries,1000004857, Mohawk Aladdin Commercial Barrali II (AH113) 20 Mil 8in x 52in 2.5mm - Hebe (659),Vinyl Tile,1VNL
Mohawk Industries,211212-014,Mohawk Living Local Premium Wood (C0194) Luxury Vinyl Plank 7.72in x 51.97in 2.4 MM - Silver (918),LVP,1VNL
Mohawk Industries,211212-001,Mohawk Living Local Premium Wood (C0194) Luxury Vinyl Plank 7.72in x 51.97in 2.4 MM - Studio (095),LVP,1VNL
Mohawk Industries,1000007138,Mohawk Hot & Heavy Grown Up (C0075) Micro Beveled Edge Luxury Vinyl Tile 9in x 59in 5mm - Hermes (758),LVT,1VNL
Tarkett USA Inc,1000007161,Tarkett Event Wood 30mil Luxury Vinyl Plank Glue Down 6in x 48in 3mm Crafted - Oak Grove (2122),LVP,1VNL
"Mannington Mills, Inc.",1000004561,Mannington The Drift Abstract 30 mil Square Edge 6in x 36in 2.5 MM - Pax Burnished (D213),LVT,1VNL
"Mannington Mills, Inc.",199468-020,Mannington Paradigm II Intersect Heterogeneous 6' .080in - Vanguard (PD119),ROLL,1VNL
"Mannington Mills, Inc.",1000007103,Mannington Mixed Monolith Edge 20mil Luxury Vinyl Tile Micro Bevel Edge 12in x 48in 5mm - LIGHT (MIX201),LVT,1VNL
"Mannington Mills, Inc.",209334-005,Mannington Poured (Mixed Monolith) 20 mil Micro-Bevel Edge 6in x 48in 5.0mm - LIGHT (MIX101),VCT,1VNL
"Mannington Mills, Inc.",1000007101,Mannington Mixed Monolith Scored 20mil Luxury Vinyl Tile Micro Bevel Edge 6in x 48in 5mm - LIGHT (MIX301),LVT,1VNL
"Mannington Mills, Inc.",1000005127,Mannington Assurance III Homogeneous Slip Resistant 6' 6in .080in - Gulf (16355),ROLL,1VNL
"Mannington Mills, Inc.",1000005126,Mannington Assurance III Homogeneous Slip Resistant 6' 6in .080in - Ice Cap (16340),ROLL,1VNL
"Mannington Mills, Inc.",1000007076,Mannington Mixed Monolith Poured 20mil Luxury Vinyl Tile Micro Bevel Edge 18in x 48in 5mm - LIGHT (MIX101),LVT,1VNL
All South Flooring,1000007337,American Biltrite Mirra Slate Luxury Vinyl Tile 3mm 18in x 18in .7mm - Oriental Slate (SL-006),LVT,1VNL
All South Flooring,1000007338,American Biltrite Mirra Slate Luxury Vinyl Tile 3mm 18in x 18in .7mm - Italian Slate (SL-001),LVT,1VNL
All South Flooring,1000007414,LG HFLOR Pikes Peak (DTWxxxx) 20mil Glue Down Luxury Vinyl Plank 7in x 48in 2.5mm - Grey Hickory (1363),LVP,1VNL
"Shaw Industries, Inc.",197158-014,Shaw Commercial Hard Surfaces Uncommon Ground 4in (0187V) 20 Mil Direct Glue 4in x 36in 3 MM - Cikel Cherry (02571),VCT,1VNL
Spartan Surfaces,1000007197,Cobalt Surfaces Katanga 20mil Glue Down LVT (KP5-XXX) 7in x 48in 2mm - Mineral (807),LVT,1VNL
J.J. Haines & Company,126732-041,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Charcoal (51915),VCT,1VNL
J.J. Haines & Company,126732-005,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Pewter (51908),VCT,1VNL
J.J. Haines & Company,126732-020,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Classic White (51911),VCT,1VNL
J.J. Haines & Company,1000004784, Armstrong-Natural Creations EarthCuts Diamond 10-Luxury Vinyl Tile-18in x 18in-3.2 MM-Parsa Buttercream (NA312),LVT,1VNL
J.J. Haines & Company,126732-007,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Shelter White (51836),VCT,1VNL
J.J. Haines & Company,213064-005,AHF Contract Mixed and Variegated Homogeneous Sheet 78.74in 2.0 MM - FOG (1HG2M005),ROLL,1VNL
"Mannington Mills, Inc.",193022-001,Mannington Realities II Maple Grove II Heterogeneous 6' .080in - Cherry (5625R),ROLL,1VNL
Spartan Surfaces,1000004767, Parterre Vinyl Floor System Ingrained 6in Vinyl Tile Plank 6in x 36in 3 MM - Sanibel Walnut (11874),LVP,1VNL
Spartan Surfaces,197427-004,Cobalt Surfaces Katanga (KP5-xxx) 20 mil LooseLay 7in x 48in 5.0mm - MYRTLE (801),VCT,1VNL
Spartan Surfaces,197427-003,Cobalt Surfaces Katanga (KP5-xxx) 20 mil LooseLay 7in x 48in 5.0mm - SAND DUNE (802),VCT,1VNL
All South Flooring,1000004569, American Biltrite Texas Granite Solid/Luxury Vinyl 24in x 24in .125 - MISSION WHITE (VTG147),LVT,1VNL
All South Flooring,212583-008,LG Hausys Pike's Peak LVT 7in x 48in 20 mil - Gold Walnut (1366),LVT,1VNL
All South Flooring,1000005801,American Biltrite Mirra Classic Wood LVT 4in x 36in 3 MM - Local Teak (WP005),LVT,1VNL
Emser Tile & Natural Stone,1000006714,Emser Emcore 20mil Vinyl Plank 7in x 48in 3mm Interlock - Oxford Ojai (Y01OXFOOJ0748),LVP,1VNL
Fishman Flooring Solutions,1000004987," TARKETT\ID LATTITUDE WOOD\7536 BUTTERNUT\6""X48""",Vinyl Tile,1VNL
J.J. Haines & Company,1000004785, Armstrong-Natural Creations ArborArt Diamond 10-Solid/Luxury Vinyl-6in x 48in-.125-GALENA OAK RYE (NA180),LVT,1VNL
J.J. Haines & Company,1000004789, Armstrong Parallel USA 20 20 MIl Urethane Plus/No polish-No Buff 18in x 18in 2.5 MM - Jace Ebony Gray (J5252),Vinyl Tile,1VNL
"Mannington Mills, Inc.",1000006349,Mannington Amtico Signature Stone 40 mil LVT w/ Micro-Beveled Edges 18in x 18in 2.5 MM Honed Limestone Natural (AROSLH11),LVT,1VNL
"Mannington Mills, Inc.",1000006754, Mannington Spacia Wood 20mil 7.25in x 48in Micro-beveled Edges 2.5mm - Dry Cedar (SS5W2535),LVT,1VNL
Milliken & Company,1000007104,Milliken Fortified Foundations 22 mil Micro Bevel Flexform 7in x 48in 2.5mm - Rosewood (RSW208),LVT,1VNL
J.J. Haines & Company,126732-003,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Field Gray (51927),VCT,1VNL
"Interface Americas, Inc.",197292-007,Interface Drawn Lines (A009xx) 22 mil Commercial Ceramor 25cm x 1m 4.5 mm - Onyx (07),VCT,1VNL
"Shaw Industries, Inc.",188060-004,Shaw Contract Solitude (0648V) Luxury Resilient Planks 6in x 48in 13/64 - Smoke (48506),LVP,1VNL
