supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
"Shaw Industries, Inc.",194535-011,Shaw Hospitality Designs Vitality (0873V) Homogeneous 6' 7in 2.0 MM - Benefit (73415),ROLL,1VNL
"Shaw Industries, Inc.",194535-005,Shaw Hospitality Designs Vitality (0873V) Homogeneous 6' 7in 2.0 MM - Uplift (73120),ROLL,1VNL
"Shaw Industries, Inc.",194535-002,Shaw Hospitality Designs Vitality (0873V) Homogeneous 6' 7in 2.0 MM - Inspire (73104),ROLL,1VNL
"Shaw Industries, Inc.",188060-002,Shaw Contract Solitude (0648V) Luxury Resilient Planks 6in x 48in 13/64 - Cottonwood (48120),LVP,1VNL
Spartan Surfaces,1000009454,"Kahrs-Quartz Lines 24 x 12 x 1/8"" Nude Limestone (8222)",LVT,1VNL
"Gerflor USA, Inc.",170044-019,Gerflor Contract Flooring Mipolam Symbioz Homogeneous 6' 6in 2.0 MM - Clay (6041),ROLL,1VNL
"Shaw Industries, Inc.",202959-007,Shaw Resilient Tile & Plank Respite (4090V) Resilient LVT/Plank 7in x 48in 3/16in - Cane (90740),LVT,1VNL
"Interface Americas, Inc.",1000040804,Interface Hearth 4.5mm 50cm x 1m - Gris (A03502),LVP,1VNL
Tarkett USA Inc,1000040580,Tarkett Proper Oak 6x36 32 mil - Proper Oak,LVT,1VNL
"Stagestep, Inc.",1000021444,Stagestep Bravo Classic LVT 6.56? - Black/Grey,Vinyl Tile,1VNL
"Interface Americas, Inc.",1000041047,Interface Earthen Forms Collection On Grain 4.5mm 25cm x 1m - European Walnut (A03302),LVT,1VNL
"Mannington Mills, Inc.",1000035856,Mannington Realities III 6ft - Oudh (5675R),ROLL,1VNL
"Shaw Industries, Inc.",206151-001,Shaw Commercial Resilient-Amalgam LL (4113V)-Luxury Vinyl Tile-20in x 20in-3/16in-Pumice (13111),LVT,1VNL
Milliken & Company,210608-004,Milliken Fortified Foundations Pike 22 mil Micro Bevel Flexform 9in x 60in 5.0mm - BARK (PIK176-121),VCT,1VNL
Karndean International LLC,183686-011,Karndean LooseLay Series Three Wood Plank 41.3in x 9.85in 4.5 mm - Stamford (LLP109),LVP,1VNL
Tiles & Textiles,188042-003,"Boss Flooring Command Lamited Vinyl 6in x 36in 2.0 MM - MILLER OCOEE (MLAROC6X20,)",VCT,1VNL
Tiles & Textiles,188042-001,Boss Flooring Command Lamited Vinyl 6in x 36in 2.0 MM - RUSTIC AUTUMN (WRA6X20M),VCT,1VNL
"Bentley Mills, Inc.",1000004668,"Bentley Sustainable Mood/801991 9""x48"" LVT",LVT,1VNL
"Bentley Mills, Inc.",1000004109,Bentley-Balustrade (BBALU)-18in x 36in-5.0MM-Beaux Arts (802116),Vinyl Tile,1VNL
"Mannington Mills, Inc.",194062-004,Mannington Access Wood 20 Mil Microbeveled 5.91in x 39.37in 5.0mm - BLEACHED ELM (SX5W2516),VCT,1VNL
Stanley Stephens Co Inc,143657-010,Altro Floors Stronghold 30 (K30) Slip Resistant 6' 7in .120in - Cannon (Cannon),ROLL,1VNL
"Interface Americas, Inc.",191116-009,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Ash Walnut (A00409),LVP,1VNL
"Interface Americas, Inc.",216136-002,Interface Great Heights (A025) 22 Mil Ceramor 25cm x 1m 4.5 mm - DOUGLAS FIR (A02504),VCT,1VNL
Stanley Stephens Co Inc,202612-004,Altro Floors Lavencia Plus 28 mil LVP 6in x 48in 3 MM - FARMHOUSE SMOKE (LAV13077),LVP,1VNL
J.J. Haines & Company,191791-032,Armstrong Crown Texture (Premium Excelon Crown Tex) Vinyl Composition 12in x 12in 3.2 MM - STERLING (5C904),VCT,1VNL
J.J. Haines & Company,126731-010,Armstrong Excelon Stonetex Premium VCT 12in x 12in 1/8 - Desert Dust (52128),VCT,1VNL
Mohawk Industries,208823-005,Mohawk Optic Hues (0178) 20 mil glue down LVT 12in x 24in 2.5 MM - Tea Tan (810),LVT,1VNL
Spartan Surfaces,171650-003,Teknoflor Woodland Path Luxury Vinyl Tile 6in x 36in 1/8in - Black Tupelo Gum (WP57014),LVT,1VNL
Spartan Surfaces,184342-005,Shannon Specialty Floors Tuf Stuf Woodland Path Vinyl Tile Plank 6in x 36in 1/8in - Warm Mahogany (WP57161),LVP,1VNL
Milliken & Company,1000005414,Milliken The Magic Hour - Horizon HZN196-121 Ethereal,Vinyl Tile,1VNL
"Forbo Industries, Inc",184608-007,Forbo Marmoleum Striato Stripes 10in x 40in - Northsea Coast (t5235),VCT,1VNL
"Forbo Industries, Inc",1000008150,"Forbo Eternal 6'7"" .08 "" Brushed Bronze (13762)",ROLL,1VNL
"Interface Americas, Inc.",191116-001,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Distressed Walnut (A00401),LVP,1VNL
William M. Bird,211089-001,Protect All Specialty Flooring Standard Matte Finish 5' x 8' Sheet 1/4in - Dark Gray (231229),VCT,1VNL
Shannon Specialty Floors,181506-003,Shannon Specialty Floors Tuf Stuff T3 Textiles 23 Mil Luxury Vinyl Tile 18in x 18in 3 MM - Spa (TX3503),LVT,1VNL
"Shaw Industries, Inc.",204888-005,Shaw Commercial Resilient Terrace 5.0 MM (4216V) Heavy Commercial 12in x 24in 20 mil - Heron (08525),VCT,1VNL
J.J. Haines & Company,213653-003,AHF Contract Concepts of Landscape Heterogeneous 78.74in 2.0 MM - Silhouettes Gray (1HE2M407),ROLL,1VNL
Fishman Flooring Solutions,1000006142,"Tarkett ID Latitude Millinnuim Oak PLWD 75406""x48"" Techtonic 20 mil LVT",LVT,1VNL
Mohawk Industries,208388-003,Mohawk Luxury Vinyl Living Local Stonework 20 Mil Standard Square Edge 12in x 24in 2.5 MM,VCT,1VNL
"Shaw Industries, Inc.",199459-002,Shaw Patcraft Monochrome Matte (I462V) Luxury Vinyl Tile 20 mil 18in x 36in 5.0mm - Luna (00500),LVT,1VNL
"Mannington Mills, Inc.",208531-032,Mannington Spacia Wood 20 Mil Microbeveled 7 1/4in x 48in 2.5 MM - Rustic Limed Wood (SS5W2650),VCT,1VNL
Fishman Flooring Solutions,213949-013,Tarkett VCT II Solids Phthalate-Free Vinyl 12in x 12in .125 - Shooting Star (557),VCT,1VNL
"Bentley Mills, Inc.",1000004841,Bentley Mills Mood Bmood Open 801992 vinyl 9x48 2.5MM,LVP,1VNL
"Shaw Industries, Inc.",190084-001,Shaw Commercial Hard Surfaces Unveil (0601V) 30 mil Luxury Vinyl Tile 9in x 36in 3 MM - Faded (01103),LVT,1VNL
"Interface Americas, Inc.",201796-008,Interface Steady Stride Woodgrains (B001xx) 20 Mil Luxury Vinyl Plank 12.5 cm x 1 m 3 MM - Copper Coin (B00108),LVP,1VNL
All South Flooring,126795-003,Estrie Texas Granite Solid/Luxury Vinyl 36in x 36in .125 - White/Gray (VTG130),LVT,1VNL
J.J. Haines & Company,126732-107,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Dusty Miller (51883),VCT,1VNL
J.J. Haines & Company,126732-101,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Mint Cream (51876),VCT,1VNL
J.J. Haines & Company,126732-098,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Tea Garden Green (51872),VCT,1VNL
J.J. Haines & Company,126730-016,Armstrong Safety Zone Slip Retardent 12in x 12in 1/8 - Blueberry Swirl (57020),VCT,1VNL
J.J. Haines & Company,126730-018,Armstrong Safety Zone Slip Retardent 12in x 12in 1/8 - Salt Water Taffy (57023),VCT,1VNL
Tarkett USA Inc,212716-001,Tarkett QU Custom Porcelain X-DS1096 (X-DS1096) LVT 18in x 18in Undefined - Grey (Light),LVT,1VNL
All South Flooring,126738-002,Estrie Texas Granite Solid/Luxury Vinyl 12in x 12in .125 - Taupe (VTG145),LVT,1VNL
