supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
"Mannington Mills, Inc.",195197-017,Mannington Color Anchor Stride 20 mil Micro-Bevel Glue Down Plank 6in x 36in 2.5 MM - SQUAWK BOX (C127),LVP,1VNL
"Mannington Mills, Inc.",1000028898,Mannington Color Anchor Stride Micro-bevel 6in x 36in 2.5MM - Granny Smith (C175),LVP,1VNL
"J.J. Haines & Company, LLC dba UCX Flooring",210449-002,Armstrong Biome Montane 0.020in Wear Layer Diamond 10 LVT 6in x 48in 2.5 MM - EVEREST (ST255),LVT,1VNL
"Mannington Mills, Inc.",196386-018,Mannington Select Plank 30 mil Micro-Beveled 5in x 48in 2.5 MM - TOFFEE HERITAGE HICKORY (MSC160),LVP,1VNL
"Mannington Mills, Inc.",208531-025,Mannington Spacia Wood 20 Mil Microbeveled 7 1/4in x 48in 2.5 MM - Nordic Oak (SS5W2550),VCT,1VNL
"Mannington Mills, Inc.",194062-003,Mannington Access Wood 20 Mil Microbeveled 5.91in x 39.37in 5.0mm - DUSKY WALNUT (SX5W2542),VCT,1VNL
Mohawk Industries,181535-009,Mohawk Hot and Heavy Secoya (C0009) 20 Mil Floating LVT 9in x 59in 5.0mm - Calaveras (989),LVT,1VNL
"Shaw Industries, Inc.",198913-002,Shaw Commercial Hard Surfaces In Tandem Sheet (0897V) Heterogeneous Glue-Down 6.59' .098in - Pane (97130),ROLL,1VNL
"Mannington Mills, Inc.",1000032358,Mannington Amtico Wood 3in x 36in 2.5MM Microbevel - Rotterdam Oak (AR0W8440),LVP,1VNL
"Mannington Mills, Inc.",184701-049,Mannington BioSpec MD Homogeneous 6' 6in .080in - Hot Sauce (15392),ROLL,1VNL
Tiles & Textiles dba Boss flooring,1000033753,Boss Flooring Worth 4in x 36in 2.0MM - Aspenwood (WASPW4X20M),LVP,1VNL
"Shaw Industries, Inc.",202150-004,Shaw Hospitality Designs Soundscape (4063V) 20 mil w/ acoustic backing 6in x 48in 5.0mm - Rattan (63140),VCT,1VNL
Mohawk Industries,1000033629,Mohawk Bolder 5.0 (C2108) 18in x 36in 5.0MM - Celestial (929),LVT,1VNL
Stanley Stephens Co Inc,1000032760,Altro Wood 6ft 7in 2.0MM - Autumn Maple (WSA2005),ROLL,1VNL
"Interface Americas, Inc.",215204-005,Interface Northern Grain (A026xx) 22 mil LVT 25cm x 1m 4.5 mm - Dark Satin (12),LVT,1VNL
"Mannington Mills, Inc.",1000031181,Mannington BioSpec MD Homogeneous 6' 6in .080in - Haystack( 15519),ROLL,1VNL
B & M Noble Company dba DuChateau Floors,191650-010,DuChateau Floors DeLuxe Grand 20 Mil LuxCor w/ HushWalk Bevel Click 9in x 60in 8.0 MM - GILLION (VDG-GIL9),VCT,1VNL
"Mannington Mills, Inc.",184701-004,Mannington BioSpec MD Homogeneous 6' 6in .080in - Oyster White (15201),ROLL,1VNL
Stanley Stephens Co Inc,188389-036,Altro Floors Altro Quartz Tile (AQT) Vinyl Composition 24in x 24in 2.0 MM - Charcoal CD (9306),VCT,1VNL
Mohawk Industries,208388-010,Mohawk Living Local Stonework 20 Mil Standard Square Edge 12in x 24in 2.5 MM - Patina (940),VCT,1VNL
Spartan Surfaces,1000033936,Parterre Vinyl Floor System Avara Wall 6in X 36in X 2mm - Pier Oak (R677),LVT,1VNL
"Interface Americas, Inc.",201796-003,Interface Steady Stride Woodgrains (B001xx) 20 Mil Luxury Vinyl Plank 12.5 cm x 1 m 3 MM - Malt (B00103),LVP,1VNL
William M. Bird,1000035862,AHF Contract Highlights 12in x 12in x 1/8in - Gaia Garnet (HR020),VCT,1VNL
All South Flooring,1000032031,Rikett/Knight Rikett Quartz 24in x 24in 2.0 MM - Fawn Mist (8722),LVT,1VNL
All South Flooring,1000003721,Rikett/Knight Rikett Quartz Homogeneous Vinyl 24in x 24in 2.0 MM - Shotgun Spray (8704),Vinyl Tile,1VNL
StaticWorx Inc,202681-001,Staticworx-GroundLock Extreme Interlocking-2mm wearlayer ESD tiles-25in x 25in-6 mil-Light Gray (Light Gray),LVT,1VNL
"Gerflor USA, Inc.",198909-017,Gerflor Contract Flooring Attraction Interlocking Vinyl Tile 25in x 25in 5.0mm - Brooklyn (2741),VCT,1VNL
"Interface Americas, Inc.",1000032327,Interface Northern Grain 25cm x 1m 4.5MM - Natural Satin (A02610),LVP,1VNL
Tarkett USA Inc,1000032058,Tarkett Custom Contour (WKS-2024-TK) Square Edge - Tick Embossing 6in x 48in - Limed Oak (3309),LVP,1VNL
