site_description,site,unit,unitclass,commodity_group,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M,source,statistic,metric
SPT,SPT,SQYD,Area,1CBL,0.7378493042199333,0.499550160656908,,,,,,,,,georgia_historical_xgs_wavg,0.7100547167139981,weighted average
SPT,SPT,SQYD,Area,1CBL,1.56814067752779,0.499550160656908,,,,,,,,,georgia_historical_xgs_q3,1.5551055081458425,Q3
SPT,SPT,SQYD,Area,1CBL,1.0786216216216136,1.4633938477900554,,,,,,,,,recommended_median,1.0786216216216136,median
SPT,SPT,SQYD,Area,1CBL,1.2338819681329676,1.4129729216308944,,,,,,,,,recommended_wavg,1.2863393746000655,weighted average
SPT,SPT,SQYD,Area,1CBL,1.6622291181794575,2.1071573004814135,,,,,,,,,recommended_q3,1.6484118386345932,Q3
SPT,SPT,SQYD,Area,1CBL,,,,,,,,,,,recommended_min,1.0786216216216136,unknown
SPT,SPT,SQYD,Area,1CBL,,,,,,,,,,,recommended_middle,1.2863393746000655,unknown
SPT,SPT,SQYD,Area,1CBL,,,,,,,,,,,recommended_max,1.6484118386345932,unknown
Longwood,SPW,SQYD,Area,1CBL,0.5022148584905661,0.49010660377358495,0.48199740566037735,0.4739992924528302,0.4538929245283019,0.4538929245283019,0.4538929245283019,0.4538929245283019,0.4538929245283019,0.4538929245283019,vendor,,baseline
SPW,SPW,SQYD,Area,1CBL,1.05663841807909,1.3353118352309095,1.01051104772034,1.014030690427125,,,0.1767334494306265,,,,georgia_historical_market_median,1.0530503144654,median
SPW,SPW,SQYD,Area,1CBL,1.09403271515739,1.3096829602801545,1.01051104772034,1.0136229956165959,,,0.1767299262675142,,,,georgia_historical_market_wavg,0.580462508273613,weighted average
SPW,SPW,SQYD,Area,1CBL,1.4175703125,1.5031780603902198,1.01051104772034,1.0193424285468926,,,0.17712799371513324,,,,georgia_historical_market_q3,1.387875,Q3
SPW,SPW,SQYD,Area,1CBL,1.05833333333333,1.67104428554953,1.01051104772034,1.014030690427125,,,0.1767334494306265,,,,all_states_historical_market_median,1.056582862523535,median
SPW,SPW,SQYD,Area,1CBL,1.1823460170085536,1.622564372295404,1.01051104772034,1.0136229956165959,,,0.1767299262675142,,,,all_states_historical_market_wavg,0.6352188911631825,weighted average
SPW,SPW,SQYD,Area,1CBL,1.6368376042291826,2.045523330564285,1.01051104772034,1.0193424285468926,,,0.17712799371513324,,,,all_states_historical_market_q3,1.6368376042291826,Q3
SPW,SPW,SQYD,Area,1CBL,0.551272727272727,0.4901069441403205,0.481999709906686,0.474000108043032,,,0.238404537155946,,,,georgia_historical_xgs_median,0.527304347826086,median
SPW,SPW,SQYD,Area,1CBL,0.6193176620338713,0.49010665636942236,0.481999709906686,0.4740001121893757,,,0.23840939446698667,,,,georgia_historical_xgs_wavg,0.38109539899053063,weighted average
SPW,SPW,SQYD,Area,1CBL,1.3345290892259425,0.49010882900707625,0.481999709906686,0.474000162064548,,,0.238948487080509,,,,georgia_historical_xgs_q3,1.2128,Q3
SPW,SPW,SQYD,Area,1CBL,1.12183333333333,1.7713069426825019,1.0711417105835606,1.0748725318527526,,,0.25270880938530277,,,,recommended_median,1.1199778342749471,median
SPW,SPW,SQYD,Area,1CBL,1.2532867780290669,1.7199182346331283,1.0711417105835606,1.0744403753535916,,,0.25271395813500586,,,,recommended_wavg,0.6733320246329735,weighted average
SPW,SPW,SQYD,Area,1CBL,1.7350478604829336,2.168254730398142,1.0711417105835606,1.0805029742597063,,,0.2532853963053396,,,,recommended_q3,1.7350478604829336,Q3
SPW,SPW,SQYD,Area,1CBL,,,,,,,,,,,recommended_min,0.6733320246329735,unknown
SPW,SPW,SQYD,Area,1CBL,,,,,,,,,,,recommended_middle,1.1199778342749471,unknown
SPW,SPW,SQYD,Area,1CBL,,,,,,,,,,,recommended_max,1.7350478604829336,unknown
Jacksonville,SPJ,SQYD,Area,1CPT,0.8244721698113208,0.8023662735849058,0.791257783018868,0.7747061320754717,0.7469349056603773,0.7469349056603773,0.7469349056603773,0.7469349056603773,0.7469349056603773,0.7469349056603773,vendor,,baseline
SPJ,SPJ,SQYD,Area,1CPT,1.50007115411982,1.275875,1.29674916387959,1.36572344689378,0.27360397141833026,,,,,,georgia_historical_market_median,1.36568781040341,median
SPJ,SPJ,SQYD,Area,1CPT,2.0412570962278114,0.9438161856353022,1.2459065175985138,1.36572344689378,0.2486495364187599,,,,,,georgia_historical_market_wavg,1.1493258781956082,weighted average
SPJ,SPJ,SQYD,Area,1CPT,3.1849875748664997,1.37951955307262,1.3306909174349,1.36572344689378,0.39120816119444113,,,,,,georgia_historical_market_q3,2.4123913043478225,Q3
SPJ,SPJ,SQYD,Area,1CPT,1.62159712272288,1.307,1.29674531364711,1.36572344689378,0.27360397141833026,,,,,,all_states_historical_market_median,1.370539750130845,median
SPJ,SPJ,SQYD,Area,1CPT,1.9212843692222374,1.0611371695610317,1.1266176775268526,1.36572344689378,0.2486495364187599,,,,,,all_states_historical_market_wavg,1.1496483105052568,weighted average
SPJ,SPJ,SQYD,Area,1CPT,3.276,1.388200200768155,1.3254430196930551,1.36572344689378,0.39120816119444113,,,,,,all_states_historical_market_q3,2.6805624999999997,Q3
SPJ,SPJ,SQYD,Area,1CPT,0.824502193722578,0.802367926286014,0.791258536585365,0.774705410821643,0.516057444416839,,,,,,georgia_historical_xgs_median,0.8244753145405315,median
SPJ,SPJ,SQYD,Area,1CPT,0.9504810724883674,0.8023669066329264,0.7912585143484244,0.774705410821643,0.5102486239994257,,,,,,georgia_historical_xgs_wavg,0.7626556586332898,weighted average
SPJ,SPJ,SQYD,Area,1CPT,1.772945963011445,0.802370689655172,0.7912587309514485,0.774705410821643,0.5434330038617465,,,,,,georgia_historical_xgs_q3,1.1399372073578575,Q3
