po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,commodity_group,commoditydescription,quantity,uom,po_freight_cost,conversion_code,est_commodity_group,est_discount_area,est_discount_cwt,est_estimated_area_cost,est_estimated_cwt_cost,est_freight_class_area,est_freight_class_cwt,est_freight_class_lbs,est_lbs,est_rate_area,est_rate_cwt,est_sqyd,est_uom
57835,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004940,Milliken Centro Singular 1m x 1m Traction Back - 107,1CPT,Carpet Tile,35.88,SQYD,98.62,Carpet_Tile_1CPT_SQYD,1CPT,1,1,27.57,33.79,L5C,,L5C,133.2,0.7685,25.37,35.88,SQYD
57838,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",171215-005,Interface Sew Straight (1462002500) Tufted Texture Loop 19.69in x 19.69in - Satin (102403),1CPT,Carpet Tile,801.32,SQYD,567.74,Carpet_Tile_1CPT_SQYD,1CPT,1,1,612.69,428.68,5C,,2M,2974.9,0.7646,14.41,801.32,SQYD
58033,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",183682-007,Shaw Contract Basic Tile (5T121) Multi Level Pattern Loop 24in x 24in - Storm Cloud (17597),1CPT,Carpet Tile,2.0,SQYD,83.22,Carpet_Tile_1CPT_SQYD,1CPT,1,1,1.48,1.7,L5C,,L5C,7.42,0.7422,22.87,2.0,SQYD
58186,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,122034,Engineered Floors LLC,1000009160,Uplink Pentz Textured Loop Nexus Modular 24in x 24in - Royal (316),1CPT,Carpet Tile,24.0,SQYD,66.83,Carpet_Tile_1CPT_SQYD,1CPT,1,1,18.44,22.6,L5C,,L5C,89.1,0.7685,25.37,24.0,SQYD
58203,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,122034,Engineered Floors LLC,199735-007,J&J Intrinsic Modular (7096) Patterned Loop 24in x 24in - INHERENT (2726),1CPT,Carpet Tile,56.0,SQYD,73.39,Carpet_Tile_1CPT_SQYD,1CPT,1,1,43.04,52.74,L5C,,L5C,207.9,0.7685,25.37,56.0,SQYD
58209,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",182402-002,Shaw Contract Achromatic (5T107) Undefined 18in x 36in - Black (07505),1CPT,Carpet Tile,4.0,SQYD,78.84,Carpet_Tile_1CPT_SQYD,1CPT,1,1,3.07,3.77,L5C,,L5C,14.85,0.7685,25.37,4.0,SQYD
58234,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",212279-007,Shaw Contract Energize (5T458) Multi Level Pattern Loop 24in x 24in - Team (57760),1CPT,Carpet Tile,10.66,SQYD,78.84,Carpet_Tile_1CPT_SQYD,1CPT,1,1,8.35,10.04,L5C,,L5C,39.58,0.7834,25.37,10.66,SQYD
58304,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",1000011218," Shaw Contract Artisan Tile Ecoworx® Tile 24"" x 24"" Naga (96504)",1CPT,Carpet Tile,133.33,SQYD,194.53,Carpet_Tile_1CPT_SQYD,1CPT,1,1,104.45,125.58,L5C,,L5C,494.99,0.7834,25.37,133.33,SQYD
58319,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",206080-004,Shaw Contract Plains Tile (5T374) Multi Level Pattern Loop 18in x 36in - Meadow (71375),1CPT,Carpet Tile,55.0,SQYD,1122.27,Carpet_Tile_1CPT_SQYD,1CPT,1,1,43.09,51.8,L5C,,L5C,204.19,0.7834,25.37,55.0,SQYD
58319,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",206078-012,Shaw Contract Landing Edge Tile (5T375) Multi Level Pattern Loop 18in x 36in - Remote Resevoir (71485),1CPT,Carpet Tile,65.0,SQYD,1122.27,Carpet_Tile_1CPT_SQYD,1CPT,1,1,50.92,61.22,L5C,,L5C,241.31,0.7834,25.37,65.0,SQYD
58319,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",207856-005,Shaw Contract Landing Tile (5T373) Multi Level Pattern Loop 18in x 36in - Remote (71580),1CPT,Carpet Tile,405.0,SQYD,1122.27,Carpet_Tile_1CPT_SQYD,1CPT,1,1,317.28,269.74,L5C,,1M,1503.56,0.7834,17.94,405.0,SQYD
58319,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",206080-012,Shaw Contract Plains Tile (5T374) Multi Level Pattern Loop 18in x 36in - Resevoir (71485),1CPT,Carpet Tile,260.0,SQYD,1122.27,Carpet_Tile_1CPT_SQYD,1CPT,1,1,203.68,223.26,L5C,,5C,965.25,0.7834,23.13,260.0,SQYD
58330,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",1000011159,Interface Panola Mountain Glasbac 50cm x 50cm - Meadow Lichen (107303),1CPT,Carpet Tile,35.88,SQYD,132.21,Carpet_Tile_1CPT_SQYD,1CPT,1,1,28.11,33.79,L5C,,L5C,133.2,0.7834,25.37,35.88,SQYD
58529,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",175996-005,Shaw Tile Path Tile (5T034) Multituft 24in x 24in - Sterling (34557),1CPT,Carpet Tile,10.66,SQYD,16.82,Carpet_Tile_1CPT_SQYD,1CPT,1,1,8.35,10.04,L5C,,L5C,39.58,0.7834,25.37,10.66,SQYD
58565,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",215040-002,Shaw Contract Diffuse Color (5T478) Multi Level Pattern Loop 24in x 24in - Cool Red (78527),1CPT,Carpet Tile,1546.56,SQYD,2271.73,Carpet_Tile_1CPT_SQYD,1CPT,1,1,1140.9,648.8,1M,,5M,5741.6,0.7377,11.3,1546.56,SQYD
58639,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",173617-009,Interface Straight Edge (1462302500) Tufted Texture Loop 19.69in x 19.69in - custom (183746),1CPT,Carpet Tile,603.98,SQYD,509.24,Carpet_Tile_1CPT_SQYD,1CPT,1,1,452.99,317.06,5C,,2M,2242.28,0.75,14.14,603.98,SQYD
58701,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",205932-002,Shaw Contract Habitat (5T390) Undefined 36.00in x 9.00in - Still (88481),1CPT,Carpet Tile,40.0,SQYD,57.38,Carpet_Tile_1CPT_SQYD,1CPT,1,1,31.34,37.67,L5C,,L5C,148.5,0.7834,25.37,40.0,SQYD
59528,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",163592-022,Shaw Tile Diffuse (59575) Multi-Level Pattern Dyed Loop 24in x 24in - River Front (75535),1CPT,Carpet Tile,22.0,SQYD,168.31,Carpet_Tile_1CPT_SQYD,1CPT,1,1,16.91,20.72,L5C,,L5C,81.67,0.7685,25.37,22.0,SQYD
59531,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",162681-010,Shaw Patcraft Easy On The Eyes (I0227) Double Scroll 24in x 24in - Starring (00530),1CPT,Carpet Tile,36.0,SQYD,282.01,Carpet_Tile_1CPT_SQYD,1CPT,1,1,27.67,33.91,L5C,,L5C,133.65,0.7685,25.37,36.0,SQYD
59535,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",162681-010,Shaw Patcraft Easy On The Eyes (I0227) Double Scroll 24in x 24in - Starring (00530),1CPT,Carpet Tile,6.0,SQYD,282.01,Carpet_Tile_1CPT_SQYD,1CPT,1,1,4.61,5.65,L5C,,L5C,22.27,0.7685,25.37,6.0,SQYD
59535,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",162681-010,Shaw Patcraft Easy On The Eyes (I0227) Double Scroll 24in x 24in - Starring (00530),1CPT,Carpet Tile,30.0,SQYD,282.01,Carpet_Tile_1CPT_SQYD,1CPT,1,1,23.05,28.26,L5C,,L5C,111.38,0.7685,25.37,30.0,SQYD
59564,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,5226.52,SQYD,3233.0,Carpet_Tile_1CPT_SQYD,1CPT,1,1,0.0,1827.81,5M,,10M,19403.46,0.0,9.42,5226.52,SQYD
59566,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,53.82,SQYD,30.34,Carpet_Tile_1CPT_SQYD,1CPT,1,1,41.36,50.69,L5C,,L5C,199.81,0.7685,25.37,53.82,SQYD
59568,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,1752.14,SQYD,987.97,Carpet_Tile_1CPT_SQYD,1CPT,1,1,1292.55,735.04,1M,,5M,6504.82,0.7377,11.3,1752.14,SQYD
59569,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,4772.04,SQYD,2806.0,Carpet_Tile_1CPT_SQYD,1CPT,1,1,3314.66,1668.87,3M,,10M,17716.2,0.6946,9.42,4772.04,SQYD
59570,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,3283.02,SQYD,3457.64,Carpet_Tile_1CPT_SQYD,1CPT,1,1,2280.39,1148.13,3M,,10M,12188.21,0.6946,9.42,3283.02,SQYD
59570,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,867.1,SQYD,3457.64,Carpet_Tile_1CPT_SQYD,1CPT,1,1,650.33,455.18,5C,,3M,3219.11,0.75,14.14,867.1,SQYD
59984,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",195293-006,Interface Ice Breaker (473002500) Tufted Texture Loop 50cm x 50cm - Agate (105776),1CPT,Carpet Tile,77.74,SQYD,179.79,Carpet_Tile_1CPT_SQYD,1CPT,1,1,60.9,73.22,L5C,,L5C,288.61,0.7834,25.37,77.74,SQYD
59984,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",1000011800,Interface Desert Veins 50cmx1m Ironwood (108144),1CPT,Carpet Tile,59.8,SQYD,179.79,Carpet_Tile_1CPT_SQYD,1CPT,1,1,46.85,56.32,L5C,,L5C,222.01,0.7834,25.37,59.8,SQYD
60164,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",1000010430, Shaw Philadelphia Multiplicity Tile (54815) Level Loop 18in x 36in - Oodles (00700),1CPT,Carpet Tile,25.0,SQYD,79.11,Carpet_Tile_1CPT_SQYD,1CPT,1,1,19.59,23.55,L5C,,L5C,92.81,0.7834,25.37,25.0,SQYD
60176,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",179112-025,Shaw Contract Reverse Tile - Ecoworx (5T069) Multi Level Pattern Loop 24in x 24in - Vista (69481),1CPT,Carpet Tile,149.32,SQYD,214.23,Carpet_Tile_1CPT_SQYD,1CPT,1,1,116.98,128.22,L5C,,5C,554.35,0.7834,23.13,149.32,SQYD
60379,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,126695,Tarkett USA Inc,1000016279,TARKETT\04837 ASSERTIVE ACTION\26217 Fusion\ETHOS Backing\24x24,1CPT,Carpet Tile,40.02,SQYD,691.65,Carpet_Tile_1CPT_SQYD,1CPT,1,1,31.35,37.69,L5C,,L5C,148.57,0.7834,25.37,40.02,SQYD
60425,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",163672-022,Shaw Tile Disperse Tile (59576) Full Repeat 24in x 24in - Train Station (75557),1CPT,Carpet Tile,5.33,SQYD,7.81,Carpet_Tile_1CPT_SQYD,1CPT,1,1,4.18,5.02,L5C,,L5C,19.79,0.7834,25.37,5.33,SQYD
60434,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,108164,"Mannington Mills, Inc.",1000011504,"MANNINGTON\ADAPT\STREAM\35607 Waterfall\ 12"" x 36""",1CPT,Carpet Tile,40.0,SQYD,118.5,Carpet_Tile_1CPT_SQYD,1CPT,1,1,31.34,37.67,L5C,,L5C,148.5,0.7834,25.37,40.0,SQYD
60443,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",208648-006,Shaw Contract Elevate Tile (5T388) Multi Level Pattern Loop 24in x 24in - Path (88555),1CPT,Carpet Tile,154.65,SQYD,254.26,Carpet_Tile_1CPT_SQYD,1CPT,1,1,118.85,132.8,L5C,,5C,574.14,0.7685,23.13,154.65,SQYD
60460,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175050-006,Shaw Tile Welcome II Tile (5T031) Needlebond 24in x 24in - Charcoal (31549),1CPT,Carpet Tile,10.67,SQYD,15.3,Carpet_Tile_1CPT_SQYD,1CPT,1,1,8.2,10.05,L5C,,L5C,39.61,0.7685,25.37,10.67,SQYD
60874,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,102775,"Interface Americas, Inc.",184731-005,Interface CT112 (123770AK00) Tufted Cut & Loop 25cm x 1m - Steel (104352),1CPT,Carpet Tile,227.24,SQYD,205.14,Carpet_Tile_1CPT_SQYD,1CPT,1,1,168.66,175.9,L5C,,5C,843.63,0.7422,20.85,227.24,SQYD
61149,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,108164,"Mannington Mills, Inc.",195640-001,Mannington Blueprint Outline Textured Patterned Loop 24in x 24in - Borough (15217),1CPT,Carpet Tile,128.0,SQYD,137.52,Carpet_Tile_1CPT_SQYD,1CPT,1,1,98.37,120.56,L5C,,L5C,475.2,0.7685,25.37,128.0,SQYD
61283,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,122034,Engineered Floors LLC,194726-004,J&J Oxford Modular (7063) Patterned Loop 24in x 24in - Duck (2398),1CPT,Carpet Tile,5.0,SQYD,105.22,Carpet_Tile_1CPT_SQYD,1CPT,1,1,3.84,4.71,L5C,,L5C,18.56,0.7685,25.37,5.0,SQYD
61442,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",200940-010,Shaw Contract Structure Tile (5T297) Multi Level Pattern Loop 24in x 24in - Shiny Pebble (94761),1CPT,Carpet Tile,151.1,SQYD,160.73,Carpet_Tile_1CPT_SQYD,1CPT,1,1,118.37,129.75,L5C,,5C,560.96,0.7834,23.13,151.1,SQYD
61460,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",175905-006,Shaw Patcraft Walk Right In II (I0304) Needlebond 24in x 24in - Charcoal (00590),1CPT,Carpet Tile,58.63,SQYD,86.17,Carpet_Tile_1CPT_SQYD,1CPT,1,1,45.93,55.22,L5C,,L5C,217.66,0.7834,25.37,58.63,SQYD
61615,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",162681-010,Shaw Patcraft Easy On The Eyes (I0227) Double Scroll 24in x 24in - Starring (00530),1CPT,Carpet Tile,34.0,SQYD,257.69,Carpet_Tile_1CPT_SQYD,1CPT,1,1,26.13,32.02,L5C,,L5C,126.22,0.7685,25.37,34.0,SQYD
61761,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",212796-005,Flor Industrious (21-1552) Needlepunch 50cm x 50cm - Black (Black),1CPT,Carpet Tile,21.56,SQYD,463.25,Carpet_Tile_1CPT_SQYD,1CPT,1,1,16.57,20.31,L5C,,L5C,80.04,0.7685,25.37,21.56,SQYD
61761,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",198004-004,Interface turally Weathered (39400AK00) Tufted Patterned Loop 25cm x 1m - Burnt Ember (106022),1CPT,Carpet Tile,352.82,SQYD,463.25,Carpet_Tile_1CPT_SQYD,1CPT,1,1,271.14,234.99,L5C,,1M,1309.84,0.7685,17.94,352.82,SQYD
61761,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",198004-004,Interface turally Weathered (39400AK00) Tufted Patterned Loop 25cm x 1m - Burnt Ember (106022),1CPT,Carpet Tile,-215.0,SQYD,463.25,Carpet_Tile_1CPT_SQYD,,,,,Error: Quantity is out of range.,,,,,,,,
61764,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,121550,Mohawk Industries,204727-006,Mohawk MellowD (12BY36-GT426) Tufted 12in x 36in - Blue Bliss (965),1CPT,Carpet Tile,270.64,SQYD,371.4,Carpet_Tile_1CPT_SQYD,1CPT,1,1,212.02,180.25,L5C,,1M,1004.75,0.7834,17.94,270.64,SQYD
61794,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",182402-004,Shaw Contract Achromatic (5T107) Undefined 18in x 36in - Charcoal (07555),1CPT,Carpet Tile,4.0,SQYD,92.24,Carpet_Tile_1CPT_SQYD,1CPT,1,1,3.07,3.77,L5C,,L5C,14.85,0.7685,25.37,4.0,SQYD
61796,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",207715-009,Interface AE315 (163230AK01) Tufted Texture Loop 25cm x 1m - Granite/Azure (105816),1CPT,Carpet Tile,41.86,SQYD,132.21,Carpet_Tile_1CPT_SQYD,1CPT,1,1,32.79,39.43,L5C,,L5C,155.41,0.7834,25.37,41.86,SQYD
62362,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",162681-010,Shaw Patcraft Easy On The Eyes (I0227) Double Scroll 24in x 24in - Starring (00530),1CPT,Carpet Tile,126.0,SQYD,987.04,Carpet_Tile_1CPT_SQYD,1CPT,1,1,96.83,118.67,L5C,,L5C,467.77,0.7685,25.37,126.0,SQYD
62742,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,121550,Mohawk Industries,196312-006,Mohawk Framed Structure Tile (BT436) Tufted Textured Patterned Loop 24in x 24in - Charcoal (989),1CPT,Carpet Tile,21.33,SQYD,20.05,Carpet_Tile_1CPT_SQYD,1CPT,1,1,16.39,20.09,L5C,,L5C,79.19,0.7685,25.37,21.33,SQYD
62763,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175397-006,Shaw Tile Embark Tile (5T040) Full Repeat 24in x 24in - Myth (37505),1CPT,Carpet Tile,202.64,SQYD,283.69,Carpet_Tile_1CPT_SQYD,1CPT,1,1,155.73,174.01,L5C,,5C,752.3,0.7685,23.13,202.64,SQYD
62771,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",163592-004,Shaw Tile Diffuse (59575) Multi-Level Pattern Dyed Loop 24in x 24in - Movement (75481),1CPT,Carpet Tile,35.0,SQYD,274.17,Carpet_Tile_1CPT_SQYD,1CPT,1,1,26.9,32.97,L5C,,L5C,129.94,0.7685,25.37,35.0,SQYD
62992,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",1000012625,Shaw Side by Side Ecoworx 18in x 36in Link (50375),1CPT,Carpet Tile,55.0,SQYD,135.63,Carpet_Tile_1CPT_SQYD,1CPT,1,1,43.09,51.8,L5C,,L5C,204.19,0.7834,25.37,55.0,SQYD
62992,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",182817-005,Shaw Contract CHOK EW24 (5T100) Undefined 24in x 24in - Angkor (99500),1CPT,Carpet Tile,37.31,SQYD,135.63,Carpet_Tile_1CPT_SQYD,1CPT,1,1,29.23,35.14,L5C,,L5C,138.51,0.7834,25.37,37.31,SQYD
63131,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",189684-008,Shaw Contract Sea (5T172) Multi Level Pattern Loop 24in x 24in - Island (72595),1CPT,Carpet Tile,63.96,SQYD,308.2,Carpet_Tile_1CPT_SQYD,1CPT,1,1,50.11,60.24,L5C,,L5C,237.45,0.7834,25.37,63.96,SQYD
63277,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",200941-002,Shaw Contract Array Tile (5T295) Multi Level Pattern Loop 24in x 24in - Shimmery Blue (94485),1CPT,Carpet Tile,71.11,SQYD,82.75,Carpet_Tile_1CPT_SQYD,1CPT,1,1,54.65,66.98,L5C,,L5C,264.0,0.7685,25.37,71.11,SQYD
63311,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,118209,"Flor, Inc.",214016-002,Flor Hard Lines (21-1526) high low Pile random Pattern 19.69in x 19.69in - Beige (B),1CPT,Carpet Tile,40.07,SQYD,150.0,Carpet_Tile_1CPT_SQYD,1CPT,1,1,30.79,37.74,L5C,,L5C,148.76,0.7685,25.37,40.07,SQYD
63346,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175996-006,Shaw Tile Path Tile (5T034) Multituft 24in x 24in - Suede (34740),1CPT,Carpet Tile,38.0,SQYD,290.57,Carpet_Tile_1CPT_SQYD,1CPT,1,1,29.2,35.79,L5C,,L5C,141.07,0.7685,25.37,38.0,SQYD
63743,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",196889-002,Shaw Patcraft Rebalance (I0500) Multi Level Pattern Loop 24in x 24in - Stone Hearth (00550),1CPT,Carpet Tile,34.0,SQYD,345.15,Carpet_Tile_1CPT_SQYD,1CPT,1,1,26.13,32.02,L5C,,L5C,126.22,0.7685,25.37,34.0,SQYD
63743,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175905-006,Shaw Patcraft Walk Right In II (I0304) Needlebond 24in x 24in - Charcoal (00590),1CPT,Carpet Tile,3.0,SQYD,345.15,Carpet_Tile_1CPT_SQYD,1CPT,1,1,2.31,2.83,L5C,,L5C,11.14,0.7685,25.37,3.0,SQYD
63757,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",196889-002,Shaw Patcraft Rebalance (I0500) Multi Level Pattern Loop 24in x 24in - Stone Hearth (00550),1CPT,Carpet Tile,18.0,SQYD,185.67,Carpet_Tile_1CPT_SQYD,1CPT,1,1,13.83,16.95,L5C,,L5C,66.83,0.7685,25.37,18.0,SQYD
63757,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175905-006,Shaw Patcraft Walk Right In II (I0304) Needlebond 24in x 24in - Charcoal (00590),1CPT,Carpet Tile,2.0,SQYD,185.67,Carpet_Tile_1CPT_SQYD,1CPT,1,1,1.54,1.88,L5C,,L5C,7.42,0.7685,25.37,2.0,SQYD
63804,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,121019,"Bentley Mills, Inc.",1000004213,Bentley-Windfall (6WFT2)-Affixx Hardback-24in x 24in- Aced It (400848),1CPT,Carpet Tile,200.0,SQYD,508.18,Carpet_Tile_1CPT_SQYD,1CPT,1,1,156.68,171.74,L5C,,5C,742.5,0.7834,23.13,200.0,SQYD
64007,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",204294-008,Shaw Patcraft Inclusion (I0555) Multi Level Pattern Loop 24in x 24in - Malachite (00575),1CPT,Carpet Tile,355.56,SQYD,578.32,Carpet_Tile_1CPT_SQYD,1CPT,1,1,273.25,236.81,L5C,,1M,1320.02,0.7685,17.94,355.56,SQYD
64055,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",202340-004,Shaw Patcraft Access (I0533) Multi Level Pattern Loop 24in x 24in - Trek (00590),1CPT,Carpet Tile,10.66,SQYD,81.0,Carpet_Tile_1CPT_SQYD,1CPT,1,1,8.35,10.04,L5C,,L5C,39.58,0.7834,25.37,10.66,SQYD
64428,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",185717-001,Shaw Contract MHS tile (800C3) Multi Level Pattern Loop 24in x 24in - Black Tea (500),1CPT,Carpet Tile,437.3,SQYD,615.86,Carpet_Tile_1CPT_SQYD,1CPT,1,1,336.07,291.25,L5C,,1M,1623.48,0.7685,17.94,437.3,SQYD
64765,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191920-001,Shaw Patcraft Reason (I0459) Multi Level Pattern Loop 24in x 24in - Technique (00400),1CPT,Carpet Tile,417.76,SQYD,504.13,Carpet_Tile_1CPT_SQYD,1CPT,1,1,321.05,278.24,L5C,,1M,1550.93,0.7685,17.94,417.76,SQYD
64768,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191649-005,Shaw Patcraft Logic (I0460) Undefined 24in x 24in - Philosphy (00700),1CPT,Carpet Tile,71.11,SQYD,277.32,Carpet_Tile_1CPT_SQYD,1CPT,1,1,54.65,66.98,L5C,,L5C,264.0,0.7685,25.37,71.11,SQYD
64806,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,121550,Mohawk Industries,195615-005,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Slate (959),1CPT,Carpet Tile,8.0,SQYD,7.52,Carpet_Tile_1CPT_SQYD,1CPT,1,1,6.15,7.53,L5C,,L5C,29.7,0.7685,25.37,8.0,SQYD
64820,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",191440-002,Shaw Contract Intent Tile (5T208) Multi Level Pattern Loop 24in x 24in - Skylight (08530),1CPT,Carpet Tile,88.9,SQYD,94.55,Carpet_Tile_1CPT_SQYD,1CPT,1,1,69.64,83.73,L5C,,L5C,330.04,0.7834,25.37,88.9,SQYD
64840,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004940,Milliken Centro Singular 1m x 1m Traction Back - 107,1CPT,Carpet Tile,25.11,SQYD,98.62,Carpet_Tile_1CPT_SQYD,1CPT,1,1,19.3,23.65,L5C,,L5C,93.22,0.7685,25.37,25.11,SQYD
64881,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191440-002,Shaw Contract Intent Tile (5T208) Multi Level Pattern Loop 24in x 24in - Skylight (08530),1CPT,Carpet Tile,7.0,SQYD,66.83,Carpet_Tile_1CPT_SQYD,1CPT,1,1,5.38,6.59,L5C,,L5C,25.99,0.7685,25.37,7.0,SQYD
65132,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,121550,Mohawk Industries,176354-014,Lees Faculty Remix EcoFlex ICT (GT154) Textured Multi Colored Loop 24in x 24in - Latest Slate (885),1CPT,Carpet Tile,120.0,SQYD,112.8,Carpet_Tile_1CPT_SQYD,1CPT,1,1,92.22,113.02,L5C,,L5C,445.5,0.7685,25.37,120.0,SQYD
