po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,commodity_group,commoditydescription,quantity,uom,po_freight_cost,conversion_code,est_commodity_group,est_discount_area,est_discount_cwt,est_estimated_area_cost,est_estimated_cwt_cost,est_freight_class_area,est_freight_class_cwt,est_freight_class_lbs,est_lbs,est_rate_area,est_rate_cwt,est_sqyd,est_uom
26107,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",182298-004,Shaw Contract Artisan EW24 (5T097) Undefined 24in x 24in - Tradition (96496),1CPT,Carpet Tile,19.0,SQYD,140.48,Carpet_Tile_1CPT_SQYD,1CPT,1,1,14.1,16.13,L5C,,L5C,70.54,0.7422,22.87,19.0,SQYD
26166,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",182402-002,Shaw Contract Achromatic (5T107) Undefined 18in x 36in - Black (07505),1CPT,Carpet Tile,5.0,SQYD,34.75,Carpet_Tile_1CPT_SQYD,1CPT,1,1,3.84,4.71,L5C,,L5C,18.56,0.7685,25.37,5.0,SQYD
26549,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,107768,Milliken & Company,191832-030,Milliken Color Field Pati Tufted Texture Loop 25cm x 1m - STAINLESS STEEL (PAT79-13),1CPT,Carpet Tile,10.47,SQYD,3113.0,Carpet_Tile_1CPT_SQYD,1CPT,1,1,8.2,9.86,L5C,,L5C,38.87,0.7834,25.37,10.47,SQYD
26549,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,107768,Milliken & Company,191832-030,Milliken Color Field Pati Tufted Texture Loop 25cm x 1m - STAINLESS STEEL (PAT79-13),1CPT,Carpet Tile,509.53,SQYD,3113.0,Carpet_Tile_1CPT_SQYD,1CPT,1,1,389.59,339.36,5C,,1M,1891.63,0.7646,17.94,509.53,SQYD
26549,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,107768,Milliken & Company,198118-012,Milliken Nordic Stories Hidden Plains Tufted Texture Loop 19.7in x 19.7in - DARK DANSK (HDP79-133),1CPT,Carpet Tile,507.01,SQYD,3113.0,Carpet_Tile_1CPT_SQYD,1CPT,1,1,387.66,337.68,5C,,1M,1882.27,0.7646,17.94,507.01,SQYD
27477,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",196889-001,Shaw Patcraft Rebalance (I0500) Multi Level Pattern Loop 24in x 24in - Mountain Shadow (00450),1CPT,Carpet Tile,23.0,SQYD,470.87,Carpet_Tile_1CPT_SQYD,1CPT,1,1,17.07,19.53,L5C,,L5C,85.39,0.7422,22.87,23.0,SQYD
27477,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",196889-001,Shaw Patcraft Rebalance (I0500) Multi Level Pattern Loop 24in x 24in - Mountain Shadow (00450),1CPT,Carpet Tile,24.0,SQYD,470.87,Carpet_Tile_1CPT_SQYD,1CPT,1,1,17.81,20.38,L5C,,L5C,89.1,0.7422,22.87,24.0,SQYD
27572,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",175049-006,Shaw Tile Entree Tile (5T033) Needlebond 24in x 24in - Charcoal (31549),1CPT,Carpet Tile,15.99,SQYD,24.68,Carpet_Tile_1CPT_SQYD,1CPT,1,1,12.53,15.06,L5C,,L5C,59.36,0.7834,25.37,15.99,SQYD
27574,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",185342-009,Shaw Patcraft Orbital (I0379) Multi Level Pattern Loop 24in x 24in - Flying Saucer (00570),1CPT,Carpet Tile,330.46,SQYD,509.97,Carpet_Tile_1CPT_SQYD,1CPT,1,1,258.88,220.09,L5C,,1M,1226.83,0.7834,17.94,330.46,SQYD
27725,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,209336-007,Milliken Centro Singular Tufted Textured Loop Pile 1m x 1m - 107 (107),1CPT,Carpet Tile,175.81,SQYD,195.66,Carpet_Tile_1CPT_SQYD,1CPT,1,1,135.11,150.97,L5C,,5C,652.69,0.7685,23.13,175.81,SQYD
28261,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",201318-006,Shaw Contract Exchange (5T304) Multi-Level Pattern Dyed Loop 18in x 36in - Riad (01518),1CPT,Carpet Tile,315.0,SQYD,467.69,Carpet_Tile_1CPT_SQYD,1CPT,1,1,246.77,209.8,L5C,,1M,1169.44,0.7834,17.94,315.0,SQYD
28405,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",191440-002,Shaw Contract Intent Tile (5T208) Multi Level Pattern Loop 24in x 24in - Skylight (08530),1CPT,Carpet Tile,1022.35,SQYD,1275.69,Carpet_Tile_1CPT_SQYD,1CPT,1,1,768.81,546.93,1M,,3M,3795.47,0.752,14.41,1022.35,SQYD
28515,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",200669-014,Shaw Contract Arrange Tile (5T294) Multi Level Pattern Loop 24in x 24in - Shiny Pebble (94761),1CPT,Carpet Tile,124.46,SQYD,151.16,Carpet_Tile_1CPT_SQYD,1CPT,1,1,97.5,117.22,L5C,,L5C,462.06,0.7834,25.37,124.46,SQYD
28518,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191920-006,Shaw Patcraft Reason (I0459) Multi Level Pattern Loop 24in x 24in - Intent (00750),1CPT,Carpet Tile,34.0,SQYD,368.8,Carpet_Tile_1CPT_SQYD,1CPT,1,1,26.13,32.02,L5C,,L5C,126.22,0.7685,25.37,34.0,SQYD
28526,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000007701,Milliken Jourl Freehand Tufted Texture Loop 50cm x 50 cm (Custom IC4-B),1CPT,Carpet Tile,185.08,SQYD,321.64,Carpet_Tile_1CPT_SQYD,1CPT,1,1,142.23,158.93,L5C,,5C,687.11,0.7685,23.13,185.08,SQYD
28526,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000007704,Milliken Jourl Freehand Tufted Texture Loop 50cm x 50 cm (Custom II 1-B),1CPT,Carpet Tile,185.08,SQYD,321.64,Carpet_Tile_1CPT_SQYD,1CPT,1,1,142.23,158.93,L5C,,5C,687.11,0.7685,23.13,185.08,SQYD
28610,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",156103-001,Shaw Patcraft Big Splash! Modular (I0166) Graphic Loop 24in x 24in - Spiral (00102),1CPT,Carpet Tile,9.0,SQYD,71.54,Carpet_Tile_1CPT_SQYD,1CPT,1,1,6.92,8.48,L5C,,L5C,33.41,0.7685,25.37,9.0,SQYD
28905,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",202840-007,Shaw Contract Commons Tile (5T323) Multi Level Pattern Loop 24in x 24in - Plaster (23530),1CPT,Carpet Tile,5.0,SQYD,39.74,Carpet_Tile_1CPT_SQYD,1CPT,1,1,3.84,4.71,L5C,,L5C,18.56,0.7685,25.37,5.0,SQYD
28953,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",151322-005,Shaw Patcraft Socrates II Tile (I0126) Textured Loop 24in x 24in - Augustine (00401),1CPT,Carpet Tile,137.0,SQYD,1088.97,Carpet_Tile_1CPT_SQYD,1CPT,1,1,105.28,117.64,L5C,,5C,508.61,0.7685,23.13,137.0,SQYD
29196,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,121550,Mohawk Industries,172606-010,Lees Brain Power Modular EcoFlex ICT (GT136) Textured Patterned Loop 24in x 24in - Technique (936),1CPT,Carpet Tile,96.0,SQYD,157.12,Carpet_Tile_1CPT_SQYD,1CPT,1,1,73.78,90.42,L5C,,L5C,356.4,0.7685,25.37,96.0,SQYD
29279,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",179112-026,Shaw Contract Reverse Tile - Ecoworx (5T069) Multi Level Pattern Loop 24in x 24in - Horizon (69496),1CPT,Carpet Tile,8.0,SQYD,79.48,Carpet_Tile_1CPT_SQYD,1CPT,1,1,6.15,7.53,L5C,,L5C,29.7,0.7685,25.37,8.0,SQYD
29279,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",179112-026,Shaw Contract Reverse Tile - Ecoworx (5T069) Multi Level Pattern Loop 24in x 24in - Horizon (69496),1CPT,Carpet Tile,2.0,SQYD,79.48,Carpet_Tile_1CPT_SQYD,1CPT,1,1,1.54,1.88,L5C,,L5C,7.42,0.7685,25.37,2.0,SQYD
31157,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",173762-008,Shaw Tile Absorbed (5T003) Undefined 24in x 24in - Frequency (01585),1CPT,Carpet Tile,239.97,SQYD,331.85,Carpet_Tile_1CPT_SQYD,1CPT,1,1,184.42,206.06,L5C,,5C,890.89,0.7685,23.13,239.97,SQYD
31349,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175050-006,Shaw Tile Welcome II Tile (5T031) Needlebond 24in x 24in - Charcoal (31549),1CPT,Carpet Tile,10.66,SQYD,17.08,Carpet_Tile_1CPT_SQYD,1CPT,1,1,8.19,10.04,L5C,,L5C,39.58,0.7685,25.37,10.66,SQYD
32243,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",208658-003,Shaw Contract Diffuse (5T419) Multi Level Pattern Loop 24in x 24in - Passport (75597),1CPT,Carpet Tile,177.77,SQYD,295.22,Carpet_Tile_1CPT_SQYD,1CPT,1,1,131.94,137.6,L5C,,5C,659.97,0.7422,20.85,177.77,SQYD
32243,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",208658-003,Shaw Contract Diffuse (5T419) Multi Level Pattern Loop 24in x 24in - Passport (75597),1CPT,Carpet Tile,88.88,SQYD,295.22,Carpet_Tile_1CPT_SQYD,1CPT,1,1,65.97,75.46,L5C,,L5C,329.97,0.7422,22.87,88.88,SQYD
