po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,quantity,invoice_id,invoice_no,uom,comm1,comm2,commodity_group,commoditydescription,old_new,priority,classification,conversion_code,est_commodity_group,est_discount_area,est_discount_cwt,est_estimated_area_cost,est_estimated_cwt_cost,est_freight_class_area,est_freight_class_cwt,est_freight_class_lbs,est_lbs,est_rate_area,est_rate_cwt,est_sqyd,est_uom
47278,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",200842-007,Shaw Contract Offset Tile (5T296) Multi Level Pattern Loop 24in x 24in - Mirror Grey (94535) PROMOTIONAL,257.81,443411,9389619,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,957.12,Missing rate,Missing rate,257.81,SQYD
61003,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",208688-003,Shaw Contract-Divvy Tile (5T411)-Multi Level Pattern Cut/Loop-24in x 24in-Step (12549),37.31,492193,9670441,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,138.51,Missing rate,Missing rate,37.31,SQYD
53867,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),32.0,498465,C1619481,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,118.8,Missing rate,Missing rate,32.0,SQYD
59775,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195616-003,Mohawk Metallic Path Tile (BT431) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Platinum Gleam (929),80.0,498462,C1651199,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,297.0,Missing rate,Missing rate,80.0,SQYD
53833,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195616-003,Mohawk Metallic Path Tile (BT431) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Platinum Gleam (929),192.0,498562,C1619482,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,712.8,Missing rate,Missing rate,192.0,SQYD
53585,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),24.0,498569,C1619483,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,89.1,Missing rate,Missing rate,24.0,SQYD
53576,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),16.0,498570,C1619484,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,59.4,Missing rate,Missing rate,16.0,SQYD
53576,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,204510-002,Mohawk First Step II Tile (QL315) Tufted Performance Loop Pile 24in x 24in - Cobalt (955),24.88,498570,C1619484,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,92.37,Missing rate,Missing rate,24.88,SQYD
53563,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),16.0,498571,C1619485,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,59.4,Missing rate,Missing rate,16.0,SQYD
53554,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),32.0,498628,C1619486,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,118.8,Missing rate,Missing rate,32.0,SQYD
53554,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195616-003,Mohawk Metallic Path Tile (BT431) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Platinum Gleam (929),208.0,498628,C1619486,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,772.2,Missing rate,Missing rate,208.0,SQYD
53537,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),16.0,498648,C1619488,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,59.4,Missing rate,Missing rate,16.0,SQYD
53537,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,204510-002,Mohawk First Step II Tile (QL315) Tufted Performance Loop Pile 24in x 24in - Cobalt (955),18.66,498648,C1619488,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,69.28,Missing rate,Missing rate,18.66,SQYD
53519,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),24.0,498666,C1619489,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,89.1,Missing rate,Missing rate,24.0,SQYD
53492,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),16.0,498674,C1619490,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,59.4,Missing rate,Missing rate,16.0,SQYD
53483,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),40.0,498687,C1619491,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,148.5,Missing rate,Missing rate,40.0,SQYD
53455,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),24.0,498724,C1619492,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,89.1,Missing rate,Missing rate,24.0,SQYD
53130,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195616-003,Mohawk Metallic Path Tile (BT431) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Platinum Gleam (929),120.0,498751,C1619493,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,445.5,Missing rate,Missing rate,120.0,SQYD
53130,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),32.0,498751,C1619493,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,118.8,Missing rate,Missing rate,32.0,SQYD
53130,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,204510-002,Mohawk First Step II Tile (QL315) Tufted Performance Loop Pile 24in x 24in - Cobalt (955),31.1,498751,C1619493,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,115.46,Missing rate,Missing rate,31.1,SQYD
52920,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),24.0,498765,C1619494,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,89.1,Missing rate,Missing rate,24.0,SQYD
52737,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),24.0,498776,C1619495,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,89.1,Missing rate,Missing rate,24.0,SQYD
37712,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,108164,"Mannington Mills, Inc.",185237-015,Mannington A La Mode Pattern Loop 24in x 24in - Walnut (85294),56.0,510090,98556828,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,207.9,Missing rate,Missing rate,56.0,SQYD
62386,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,102775,"Interface Americas, Inc.",128936-064,Interface Entropy (146480250H) Tufted Tip Shear 19.69in x 19.69in - Peat Moss (7218),23.92,510987,2483535,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,88.8,Missing rate,Missing rate,23.92,SQYD
64850,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",158581-017,Shaw Patcraft Estrato Basque i0498 MOHO 00750 12' ultralock backing,56.0,518313,9818910,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,207.9,Missing rate,Missing rate,56.0,SQYD
50611,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,204510-004,Mohawk First Step II Tile (QL315) Tufted Performance Loop Pile 24in x 24in - Obsidian (989),329.77,532050,C1737264,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,1224.27,Missing rate,Missing rate,329.77,SQYD
57768,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,123271,Masland Carpets,1000010577,MASLAND MESA VERDE 9519 WICKHAM 307 12' WIDTH ACTION BAC NO PATTERN,35.0,542447,7019126,SQYD,10,10,10,Carpet Roll,Old Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,129.94,Missing rate,Missing rate,35.0,SQYD
70048,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,102775,"Interface Americas, Inc.",1000014908,INTERFACE STEP REPEAT COLLECTION SR699/COLORLINE - 104933/ONYX (50CM X 50CM),17.94,550405,2492666,SQYD,100,100,100,Carpet Tile,Old Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,66.6,Missing rate,Missing rate,17.94,SQYD
67436,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,108164,"Mannington Mills, Inc.",202792-007,Mannington Precision Patterned Loop 24in x 24in - Radian (83577),24.0,559997,98643485,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,89.1,Missing rate,Missing rate,24.0,SQYD
61587,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",204976-002,Shaw Contract Intention 18X36 (5T360) Undefined 18in x 36in - Lacquer (58496),10.0,493554,9691703,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,37.12,Missing rate,Missing rate,10.0,SQYD
53544,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),24.0,565073,C1619487,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,89.1,Missing rate,Missing rate,24.0,SQYD
53544,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,204510-002,Mohawk First Step II Tile (QL315) Tufted Performance Loop Pile 24in x 24in - Cobalt (955),24.88,565073,C1619487,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,92.37,Missing rate,Missing rate,24.88,SQYD
65831,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,122034,Engineered Floors LLC,201770-009,J&J Boucle Demi-Plank (7081) Textured Loop 12in x 48in - Knot (2712),6.22,565101,6-3337687,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,23.09,Missing rate,Missing rate,6.22,SQYD
71563,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,123271,Masland Carpets,1000015182,MASLAND ANTIONETTE COLOR 737 SAND 15' WIDE 100% POLYESTER,75.0,569749,7061580,SQYD,10,10,10,Carpet Roll,Old Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,278.44,Missing rate,Missing rate,75.0,SQYD
78010,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",175996-005,Shaw Tile Path Tile (5T034) Multituft 24in x 24in - Sterling (34557),15.99,589299,2132464,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,59.36,Missing rate,Missing rate,15.99,SQYD
75051,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,1000009037,"MOHAWK SQUARE D GT478 COLOR 989 CHARCOAL 12"" X 36""",55.99,589128,C2046488,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,207.86,Missing rate,Missing rate,55.99,SQYD
66286,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,102775,"Interface Americas, Inc.",1000013750,"INTERFACE PERFECT PITCH DIMINUENDO ONYX 9.8"" X 39.3""",1411.28,599356,2502313,SQYD,100,100,100,Carpet Tile,Old Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,5239.38,Missing rate,Missing rate,1411.28,SQYD
66286,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,102775,"Interface Americas, Inc.",1000013752,INTERFACE 1000 SERIES S105 142440250H 9768 BLACK 50CM X 50CM,209.3,599356,2502313,SQYD,100,100,100,Carpet Tile,Old Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,777.03,Missing rate,Missing rate,209.3,SQYD
66286,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,102775,"Interface Americas, Inc.",1000013754,"FLOR PALM READER KALE 19.7"" X 19.7""",82.52,599356,2502313,SQYD,100,100,100,Carpet Tile,Old Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,306.36,Missing rate,Missing rate,82.52,SQYD
66286,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,102775,"Interface Americas, Inc.",1000013753,INTERFACE SOCIAL FABRIC 106784 SPICE 25CM X 1M,23.92,599356,2502313,SQYD,100,100,100,Carpet Tile,Old Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,88.8,Missing rate,Missing rate,23.92,SQYD
82735,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",189450-008,Shaw Contract Sky Tile (5T174) Multi Level Pattern Loop 24in x 24in - Island (72595),181.22,614734,2287518,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,672.78,Missing rate,Missing rate,181.22,SQYD
80650,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,126695,Tarkett USA Inc,188454-001,Tandus Abrasive Action II (02578) Powerbond Cushion 6' - Charcoal (19100),90.0,625450,8201947405,SQYD,1CBL,2CBL,1CBL,Carpet Roll,New Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,334.12,Missing rate,Missing rate,90.0,SQYD
85756,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,1000019885,ALADDIN RULE BREAKER AQ92 ONYX 999 WELDLOC 12' GOODS,1300.0,645660,C2332686,SQYD,10,10,10,Carpet Roll,Old Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,4826.25,Missing rate,Missing rate,1300.0,SQYD
85790,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,1000019885,ALADDIN RULE BREAKER AQ92 ONYX 999 WELDLOC 12' GOODS,3000.0,645665,C2332687,SQYD,10,10,10,Carpet Roll,Old Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,11137.5,Missing rate,Missing rate,3000.0,SQYD
85756,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,1000019885,ALADDIN RULE BREAKER AQ92 ONYX 999 WELDLOC 12' GOODS,12.0,650540,C2332656,SQYD,10,10,10,Carpet Roll,Old Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,44.55,Missing rate,Missing rate,12.0,SQYD
86050,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121019,"Bentley Mills, Inc.",182201-001,Bentley Rough Idea Shear (8RN240221K)  - Outline (800115) - Afirma II Hardback - 24in x 24in,13.0,654672,841638,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,48.26,Missing rate,Missing rate,13.0,SQYD
89396,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,122034,Engineered Floors LLC,1000020675,"J&J  JACK 3424 FACING 12"" X 48""",205.26,654111,6-3533278,SQYD,100,100,100,Carpet Tile,Old Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,762.03,Missing rate,Missing rate,205.26,SQYD
64430,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,118209,"Flor, Inc.",1000010298,INTERFACE FLOR INDUSTRIOUS GRANITE 21-1552 50CM X 50CM GLASS BAC TILE,47.84,690021,30734,SQYD,100,100,100,Carpet Tile,Old Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,177.61,Missing rate,Missing rate,47.84,SQYD
97838,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",1000022874,"PATCRAFT UNHEMMED I0637 BRAID 00570 18"" X 36"" / 5 YDS PER CTN - BACKING ECOWORX",165.0,686001,2721893,SQYD,100,100,100,Carpet Tile,Old Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,612.56,Missing rate,Missing rate,165.0,SQYD
97267,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121019,"Bentley Mills, Inc.",1000022364,BENTLEY MULTIPLY II 6AMYT4221K 24X24 400058 PING AFFIRMA II HARBACK,24.0,697943,845569,SQYD,100,100,100,Carpet Tile,Old Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,89.1,Missing rate,Missing rate,24.0,SQYD
97812,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,1000009037,"MOHAWK SQUARE D GT478 COLOR 989 CHARCOAL 12"" X 36""",56.04,700771,C2590525,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,208.05,Missing rate,Missing rate,56.04,SQYD
92220,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",189588-008,Shaw Tile Resurface Tile (5T168) Multi Level Pattern Loop 12in x 48in - Calcite (68535),261.17,721229,2918669,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,969.59,Missing rate,Missing rate,261.17,SQYD
107165,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,108164,"Mannington Mills, Inc.",1000024485,"MANNINGTON ENTRY TILE RECOARSE II BYPASS BLACK 1518 24"" X 24""",8.0,727575,98762615,SQYD,100,100,100,Carpet Tile,Old Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,29.7,Missing rate,Missing rate,8.0,SQYD
108357,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",201537-004,Shaw Patcraft Moving (I0536) Multi Level Pattern Loop 24in x 24in - Pathway (00580),15.99,721588,2930112,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,59.36,Missing rate,Missing rate,15.99,SQYD
106647,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,1000024758,MOHAWK GROUP LAYERED LINES STYLE BC594 RIVERSIDE 548 - 12' BROADLOOM,230.0,1011083,C2926863,SQYD,10,10,10,Carpet Roll,Old Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,853.88,Missing rate,Missing rate,230.0,SQYD
96115,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,108164,"Mannington Mills, Inc.",198839-007,Mannington Inertia Textured Patterned Loop 18in x 36in - Surface (82361),152.0,1020518,98782963,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,564.3,Missing rate,Missing rate,152.0,SQYD
109665,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,1000017677,MOHAWK COLOR STUDY 30 (BC574) WELDLOK 12' - TRICON BLACK (999),75.0,1016421,C2890623,SQYD,1CBL,2CBL,1CBL,Carpet Roll,New Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,278.44,Missing rate,Missing rate,75.0,SQYD
