SITE,SUPPLIER NO,PO NO,SHIP TO ZIP,PART NO,PART DESCRIPTION,PO INV QTY,INV UOM,Commodity Group,Description
SPT,107768,137038,33605,1000031282,Milliken/Six Pack 106/Color: SP6_259-141 / 25CM X 1M Plank,250.26,SY,2CPT,Carpet Tile
SPW,103423,137023,32750,204991-005,Shaw Contract Correspond (5T353) Multi Level Pattern Loop 24in x 24in - Fuse (52515),133.33,SY,1CPT,Carpet Tile
SPT,107776,137020,33605,126732-036,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Sterling (51904),45,SF,1VNL,Vinyl
SPJ,126695,137011,32256,188968-003,Centiva Event Series Classic Plank (ECK) Square Edge (SE) tural Grain (NG) 6in x 36in 3 MM - European Cherry (3307),144,SF,1VNL,Vinyl
SPT,107202,136832,33605,1000030111,"GERFLOR/ LVT/CREATION 55/Color: Swiss Oak Beige #0848/7.2"" x 48""/3010-Y30R",316.96,SF,1VNL,Vinyl
SPT,107202,136832,33605,1000030115,"GERFLOR/ LVT/Creation 55/Color: Buffalo #0457/7.2"" x 48""/6010-Y10R",4813.83,SF,1VNL,Vinyl
SPT,103423,136707,33605,191920-002,Shaw Patcraft Reason (I0459) Multi Level Pattern Loop 24in x 24in - Blueprint (00450),320,SY,1CPT,Carpet Tile
SPT,103423,136567,33605,196609-004,Shaw Patcraft Instinct (I0501) Multi Level Pattern Loop 24in x 24in - Valey (00700),763.68,SY,1CPT,Carpet Tile
SPT,103423,136567,33605,196609-004,Shaw Patcraft Instinct (I0501) Multi Level Pattern Loop 24in x 24in - Valey (00700),763.68,SY,1CPT,Carpet Tile
SPT,103423,136538,33605,192392-005,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Echo (00775),7718.2,SF,1VNL,Vinyl
SPT,103423,136318,33605,175905-005,Shaw Patcraft Walk Right In II (I0304) Needlebond 24in x 24in - Sterling (00500),10.67,SY,1CPT,Carpet Tile
SPJ,108164,136148,32256,184701-026,Mannington BioSpec MD Homogeneous 6' 6in .080in - New Glacier (15364),6,SY,1VNL,Vinyl
SPJ,103423,136001,32256,183719-005,Shaw Contract Surround Tile (5T125) Multi Level Pattern Loop 24in x 24in - Limestone (17530),21.32,SY,1CPT,Carpet Tile
SPT,107776,135797,33605,210699-001,Armstrong Duo 20 mil Diamond 10 18in x 36in 2.5 MM - CASPIAN SAND SPETTRO (ST931),864,SF,1VNL,Vinyl
SPW,103423,135738,32750,192392-002,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Root (00568),125.16,SF,1VNL,Vinyl
SPW,2052,135727,32750,1000030022,Aladdin Commercial Meandering Trail (2B219) 24X24 Non-Woven Synthetic - Cinder (989),266.68,SY,1CPT,Carpet Tile
