,PART_NO,DESCRIPTION,MFR,manufacturer_name,STYLE,COMPOSITION,WIDTH,COLOR,TYPE,SIZE,GAUGE,FACE WEIGHT,COLLECTION,DEPTH,BACKING,FINISH,SITE,PART STATUS,PART TYPE,COMMODITY 1,COMMODITY 2,comm1_label,comm2_label,PRODUCT CODE,PRODUCT_FAMILY,INV UoM,PURCH UoM,CONV FACTOR,PRIMARY SUPPLIER,SUPPLIER NAME,NET WEIGHT,NET VOLUME,Manufacturer,miscellaneous,material_part,ext_manufacturer,manufacturer_match,windbid,name,part_number,product_type,form,dimensions,color,color_code,collection,product_name,backing,processed_flag
395967,1000027716,Interface Step Repeat (SR699) 25cm x 1cm - Dark Brown (104913),INTF,Interface,,,,,,,,,,,,,SPTM,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Step Repeat,SR699,,,25cm x 1cm,Dark Brown,104913,,,,Processed
65083,011979,INTERFACE\SR899 STEP REPEAT\104939 GRANITE\50CMX50CM,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,INTF,False,False,INTERFACE,True,Yes,,,,,50CMX50CM,,,SR899 STEP REPEAT,104939 GRANITE,,Processed
267479,204211-004,Interface Mercer Street (1427902500) Tufted Pattern Loop 19.69in x 19.69in - Steel Circle (105765),INTF,Interface,4217 - Mercer Street,,,91356 - Steel Circle (105765),2630 - Tufted Pattern Loop,494 - 19.69in x 19.69in,,42 - 23 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Mercer Street,1427902500,Tufted,Pattern Loop ,19.69in x 19.69in,Steel Circle,105765,,,,Processed
249477,150801-014,Interfaceflor 1st Avenue (13717) Tufted Cut Pile 19.69in x 19.69in - Teal (8149),IFFR,Interfaceflor,17 - 1st Avenue,,,93064 - Teal (8149),1998 - Tufted Cut Pile,494 - 19.69in x 19.69in,,152 - Undefined,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,IFFR,False,False,Interfaceflor,True,No,1st Avenue,13717,Tufted,Cut Pile ,19.69in x 19.69in,Teal,8149,,,,Processed
253426,168110-003,Interface S102 GlasBac RE (142410250H) Tufted Patterned Loop 19.69in x 19.69in - Grey (9528),INTF,Interface,10317 - S102 GlasBac RE,,,113316 - Grey (9528),2014 - Tufted Patterned Loop,494 - 19.69in x 19.69in,,21 - 16 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,S102 GlasBac RE,142410250H,Tufted,Patterned Loop ,19.69in x 19.69in,Grey,9528,,,,Processed
389615,1000012626,Interface Woven Gradience (WG100) Glasbac 50cm x 50cm Ash (108053),INTF,Interface,,,,,,,,,,,,,SPT,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,,,,,,,,,,,Not Processed
72799,034481,INTERFACE\WW890\105389 RAFFIA DOBBY\25CMX1M,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,,,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,INTF,False,False,INTERFACE,True,Yes,,,,,25CMX1M,,,WW890,105389 RAFFIA DOBBY,,Processed
50505,1000021419,Interface Flor Fully Barked 19.69 in x 19.69 in (50 cm x 50 cm) Color: Pigeon,INTF,Interface,,,,,,,,,,,,,CCSG,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,,,,,,,,,,,Not Processed
315789,169351-003,Interface Primary Stitch (1462102500) Tufted Texture Loop 19.69in x 19.69in - Moss/Accent (102413),INTF,Interface,9941 - Primary Stitch,,,82459 - Moss/Accent (102413),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,16 - 15 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Primary Stitch,1462102500,Tufted,Texture Loop ,19.69in x 19.69in,Moss/Accent,102413,,,,Processed
227682,102181-003,Interface Tapestry Plus Undefined Undefined - Constaninople (2449),INTF,Interface,10965 - Tapestry Plus,,,12548 - Constaninople (2449),2060 - Undefined,1476 - Undefined,,152 - Undefined,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,,,,,,,,,,,Not Processed
63224,014004,INTERFACE\CT101 COMMON THEME\103980 SAGE\50CMX50CM,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,,,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,INTF,False,False,INTERFACE,True,Yes,,,,,50CMX50CM,,,CT101 COMMON THEME,103980 SAGE,,Processed
53059,000424,INTERFACE\GLASBAC\500 FT,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,,,0105,01,CTN,CTN,1.0,999999,SUPPLIER PLACEHOLDER,,,INTF,False,False,INTERFACE,True,Yes,,,,,,,,,,,Not Processed
70727,034540,INTERFACE\NATURAL STONES\A00102 MARONE DARK MARBLE\50CMX50XM,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,,,0302,03,CTN,SF,0.037160907,100796,DNU (102775) Interface Americas,,,INTF,False,False,INTERFACE,True,Yes,,,,,50CMX50XM,,,NATURAL STONES,A00102 MARONE DARK MARBLE,,Processed
389795,1000010448,Interface AE311 Aerial (138830AK00) 25cm x 1m Glasbac - Greige (104672),INTF,Interface,,,,,,,,,,,,,SPT,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,100796,DNU (102775) Interface Americas,,,INTF,False,False,Interface,True,No,AE311 Aerial,138830AK00,,,25cm x 1m,Greige,104672,,,Glasbac ,Processed
13661,173974-000,Interface On Board (1236302500) Tufted Cut & Loop 19.69in x 19.69in - To Be Selected (TBS),INTF,Interface,9581 - On Board,,,118967 - To Be Selected (TBS),1996 - Tufted Cut & Loop,494 - 19.69in x 19.69in,,41 - 22 oz.,,,69 - GlasBac,,BNB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,On Board,1236302500,Tufted,Cut & Loop ,19.69in x 19.69in,To Be Selected,TBS,,,,Processed
72480,023750,INTERFACE\HN840 HUMAN NATURE\104221 FLINT\25CMX1M,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,0102,01,CTN,SY,0.209205021,100796,DNU (102775) Interface Americas,,,INTF,False,False,INTERFACE,True,Yes,,,,,25CMX1M,,,HN840 HUMAN NATURE,104221 FLINT,,Processed
131425,1000029981,Interface Cliff 25cm x 1m 4.5MM - Alabaster (A02404),INTF,Interface,,,,,,,,,,,,,PSC,A,Purchased,1VNL,2LVP,Vinyl,LVP,*,*,SF,SF,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,,,,,,,,,,,Not Processed
297488,181130-009,Interface Human Nature HN810 (127610AKOH) Tufted Patterned Loop 25cm x 1m - Custom (182994),INTF,Interface,3603 - Human Nature HN810,,,19344 - Custom (182994),2014 - Tufted Patterned Loop,903 - 25cm x 1m,,152 - Undefined,,,71 - GlasBac RE,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Human Nature HN810,127610AKOH,Tufted,Patterned Loop ,25cm x 1m,Custom,182994,,,,Processed
20300,1000003441,Interface-Third Space 306 (1681002500)-GlasBac-50cm x 1m-Oat (107930),INTF,Interface,,,,,,,,,,,,,BNB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,1070,"Noble Flooring, LLC",,,INTF,False,False,Interface,True,No,Third Space 306,1681002500,,GlasBac,50cm x 1m,Oat,107930,,,,Processed
208947,128146-001,Interface Shizen Ni (16636) Tufted Texture Loop 19.69in x 19.69in - Bamboo (2319),INTF,Interface,5563 - Shizen Ni,,,131641 - Bamboo (2319),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,42 - 23 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Shizen Ni,16636,Tufted,Texture Loop ,19.69in x 19.69in,Bamboo,2319,,,,Processed
309725,176062-011,Interface UR501 (127340AK0002500) Tufted Sheared 25cm x 1m - Ash (103617),INTF,Interface,11310 - UR501,,,69905 - Ash (103617),2021 - Tufted Sheared,903 - 25cm x 1m,,47 - 25 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,UR501,127340AK0002500,Tufted,Sheared ,25cm x 1m,Ash,103617,,,,Processed
298192,186174-010,Interface-Weimar (124210250A)-Tufted Cut & Loop-19.69in x 19.69in-Citron (6966),INTF,Interface,11538 - Weimar,356 - Undefined,,760 - Citron (6966),1996 - Tufted Cut & Loop,494 - 19.69in x 19.69in,243 - Undefined,43 - 24 oz.,,,102 - NexStep,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Weimar,124210250A,,Tufted Cut & Loop,19.69in x 19.69in,Citron,6966,,,,Processed
242799,149936-005,Interface I Circle (13839) Tufted Texture Loop 19.69in x 19.69in - Blog (8106),INTF,Interface,3614 - I Circle,,,5887 - Blog (8106),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,24 - 17 oz,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,I Circle,13839,Tufted,Texture Loop ,19.69in x 19.69in,Blog,8106,,,,Processed
178821,135599-008,Interface Route 66 II (16711) 6' - Santa Fe (5189),INTF,Interface,10282 - Route 66 II,,78 - 6',85150 - Santa Fe (5189),2029 - Tufted Textured Loop,,,42 - 23 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CBL,2CBL,Carpet BL,Carpet BL,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,,,,,,,,,,,Not Processed
171718,135599-017,Interface Route 66 II (16711) 6' - Winslow (5198),INTF,Interface,10282 - Route 66 II,,78 - 6',101186 - Winslow (5198),2029 - Tufted Textured Loop,,,42 - 23 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CBL,2CBL,Carpet BL,Carpet BL,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,,,,,,,,,,,Not Processed
231777,102185-016,Interface Boucle Grid (16129) Tufted Texture Loop 19.69in x 19.69in - Clove (1916),INTF,Interface,599 - Boucle Grid,,,103770 - Clove (1916),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,43 - 24 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Boucle Grid,16129,Tufted,Texture Loop ,19.69in x 19.69in,Clove,1916,,,,Processed
189319,144362-001,Interface Cotswold (1382202500) Tufted Texture Loop 19.69in x 19.69in - Chiltern (6546),INTF,Interface,1179 - Cotswold,,,2527 - Chiltern (6546),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,41 - 22 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Cotswold,1382202500,Tufted,Texture Loop ,19.69in x 19.69in,Chiltern,6546,,,,Processed
232589,104065-006,Interface Caribbean (16607) 6'6in - Angelfish (3043),INTF,Interface,3375 - Caribbean,,87 - 6'6in,7131 - Angelfish (3043),2029 - Tufted Textured Loop,,,43 - 24 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CBL,2CBL,Carpet BL,Carpet BL,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Caribbean,16607,,,6'6in,Angelfish,3043,,,,Processed
249592,162382-003,Interface Tectonics (14137) Tufted Texture Loop 19.69in x 19.69in - Circuit (100058),INTF,Interface,11006 - Tectonics,,,21447 - Circuit (100058),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,40 - 21 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Tectonics,14137,Tufted,Texture Loop ,19.69in x 19.69in,Circuit,100058,,,,Processed
43504,140597-000,Interface Willow (1676002500) Tufted Texture Loop 19.69in x 19.69in - To Be Selected (TBS),INTF,Interface,11570 - Willow,,,118967 - To Be Selected (TBS),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,28 - 18 oz.,,,175 - Undefined,,CCS,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Willow,1676002500,Tufted,Texture Loop ,19.69in x 19.69in,To Be Selected,TBS,,,,Processed
252743,167438-027,Interfaceflor Rake Me Over Cut Pile 19.69in x 19.69in - Cream (100783),IFFR,Interfaceflor,10063 - Rake Me Over,,,84711 - Cream (100783),884 - Cut Pile,494 - 19.69in x 19.69in,,89 - 42 oz,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,IFFR,False,False,Interfaceflor,True,No,Rake,,Me,Over Cut Pile ,19.69in x 19.69in,Cream,100783,,,,Processed
231794,102189-011,Interface Furrows (16663) Tufted Texture Loop 19.69in x 19.69in - Rye (1450),INTF,Interface,3011 - Furrows,,,42041 - Rye (1450),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,24 - 17 oz,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Furrows,16663,Tufted,Texture Loop ,19.69in x 19.69in,Rye,1450,,,,Processed
244021,148817-007,Interface Hannover (12423) Tufted Cut & Loop 19.69in x 19.69in - Marsh (6719),INTF,Interface,3171 - Hannover,,,57822 - Marsh (6719),1996 - Tufted Cut & Loop,494 - 19.69in x 19.69in,,43 - 24 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Hannover,12423,Tufted,Cut & Loop ,19.69in x 19.69in,Marsh,6719,,,,Processed
3612,148817-000,Interface Hannover (12423) Tufted Cut & Loop 19.69in x 19.69in - To Be Selected (TBS),INTF,Interface,3171 - Hannover,,,118967 - To Be Selected (TBS),1996 - Tufted Cut & Loop,494 - 19.69in x 19.69in,,43 - 24 oz.,,,175 - Undefined,,BNB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Hannover,12423,Tufted,Cut & Loop ,19.69in x 19.69in,To Be Selected,TBS,,,,Processed
75460,030084,INTERFACE\CLOUD COVER\105712 FOREST\50CMX50CM,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,,,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,INTF,False,False,INTERFACE,True,Yes,,,,,50CMX50CM,,,CLOUD COVER,105712 FOREST,,Processed
251732,161536-002,Interface Reissued (12323) Tufted Cut & Loop 19.69in x 19.69in - Chartreuse (8938),INTF,Interface,10124 - Reissued,,,101107 - Chartreuse (8938),1996 - Tufted Cut & Loop,494 - 19.69in x 19.69in,,42 - 23 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Reissued,12323,Tufted,Cut & Loop ,19.69in x 19.69in,Chartreuse,8938,,,,Processed
298058,179550-027,Interface Ground Waves (138730AK00) Tufted Texture Loop 25cm x 1m - Custom (269864-019),INTF,Interface,3149 - Ground Waves,,,12310 - Custom (269864-019),2023 - Tufted Texture Loop,903 - 25cm x 1m,,21 - 16 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Ground Waves,138730AK00,Tufted,Texture Loop ,25cm x 1m,Custom,269864-019,,,,Processed
309495,168793-005,Interface Prairie Grass (123490250H) Tufted Cut & Loop 19.69in x 19.69in - Wilderness (9318),INTF,Interface,4945 - Prairie Grass,,,60918 - Wilderness (9318),1996 - Tufted Cut & Loop,494 - 19.69in x 19.69in,,42 - 23 oz.,,,71 - GlasBac RE,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,,,,,,,INTF,False,False,Interface,True,No,Prairie Grass,123490250H,Tufted,Cut & Loop ,19.69in x 19.69in,Wilderness,9318,,,,Processed
121807,1000036065,Interface World Woven (WW890) 9 X 39 Glasbac - Raffia Dobby (105389),INTF,Interface,,,,,,,,,,,,,KFC,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,,,SY,SY,1.0,999999,SUPPLIER PLACEHOLDER,,,INTF,False,False,Interface,True,No,,,,,,,,,,,Not Processed
256331,153332-010,Interface Level Two (13828) Tufted Texture Loop 39.37in x 39.37in - Limestone (6109),INTF,Interface,8839 - Level Two,,,63721 - Limestone (6109),2023 - Tufted Texture Loop,1028 - 39.37in x 39.37in,,41 - 22 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Level Two,13828,Tufted,Texture Loop ,39.37in x 39.37in,Limestone,6109,,,,Processed
73377,024909,INTERFACE\UR501\103607 GOLD\25CMX1M,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,,,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,INTF,False,False,INTERFACE,True,Yes,,,,,25CMX1M,,,UR501,103607 GOLD,,Processed
232003,103428-036,Interface Caribbean (16607) Tufted Texture Loop 19.69in x 19.69in - Squirrelfish (3064),INTF,Interface,3375 - Caribbean,,,30219 - Squirrelfish (3064),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,43 - 24 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Caribbean,16607,Tufted,Texture Loop ,19.69in x 19.69in,Squirrelfish,3064,,,,Processed
245591,147825-001,Interface-Custom 4C3770ABSA (4C3770ABSA)-Tufted-19.69in x 39.38in-Custom Color (850401),INTF,Interface,1306 - Custom 4C3770ABSA,356 - Undefined,,132035 - Custom Color (850401),2608 - Tufted,221 - 19.69in x 39.38in,243 - Undefined,152 - Undefined,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Custom 4C3770ABSA,4C3770ABSA,,Tufted,19.69in x 39.38in,Custom Color,850401,,,,Processed
261152,152112-016,Interface Level 2 (13828) Tufted Texture Loop 19.69in x 19.69in - Coast (7699),INTF,Interface,3946 - Level 2,,,19867 - Coast (7699),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,41 - 22 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Level 2,13828,Tufted,Texture Loop ,19.69in x 19.69in,Coast,7699,,,,Processed
79142,024021,INTERFACE\ON LINE\103799 LAPIS\25CMX1M,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,,,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,INTF,False,False,INTERFACE,True,Yes,,,,,25CMX1M,,,ON LINE,103799 LAPIS,,Processed
235948,104065-016,Interface Caribbean (16607) 6'6in - Lizardfish (3053),INTF,Interface,3375 - Caribbean,,87 - 6'6in,113625 - Lizardfish (3053),2029 - Tufted Textured Loop,,,43 - 24 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CBL,2CBL,Carpet BL,Carpet BL,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Caribbean,16607,,,6'6in,Lizardfish,3053,,,,Processed
266243,198003-009,Interface Night Flight (287202500) Tufted Patterned Loop 50cm x 50cm - Dark Sky (105703),INTF,Interface,4512 - Night Flight,,,62172 - Dark Sky (105703),2014 - Tufted Patterned Loop,825 - 50cm x 50cm,,43 - 24 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,,,,,,,INTF,False,False,Interface,True,No,Night Flight,287202500,Tufted,Patterned Loop ,50cm x 50cm,Dark Sky,105703,,,,Processed
331708,165361-004,Interface-Entropy NexStep (146480250A)-Tufted Tip Shear-19.69in x 19.69in-Evolution (7203),INTF,Interface,7813 - Entropy NexStep,,,69181 - Evolution (7203),2645 - Tufted Tip Shear,494 - 19.69in x 19.69in,,35 - 20 oz,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Entropy NexStep,146480250A,,Tufted Tip Shear,19.69in x 19.69in,Evolution,7203,,,,Processed
73294,021795,INTERFACE\411 OPEN AIR\106983 STONE\25CMX1M,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,,,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,INTF,False,False,INTERFACE,True,Yes,,,,,25CMX1M,,,411 OPEN AIR,106983 STONE,,Processed
55540,014026,INTERFACE\PLAIN STITCH\105921 SLATE PLAIN\25CMX1M,INTF,Interface,,,,,,,,,,,,,CTS,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,0102,01,CTN,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,INTERFACE,True,Yes,,,,,25CMX1M,,,PLAIN STITCH,105921 SLATE PLAIN,,Processed
63729,009340,INTERFACE\TEXTURED WOODGRAINS\A00422 RUSTIC HICKORY\25CMX1M,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,,,0302,03,CTN,SF,0.037160907,100796,DNU (102775) Interface Americas,,,INTF,False,False,INTERFACE,True,Yes,,,,,25CMX1M,,,TEXTURED WOODGRAINS,A00422 RUSTIC HICKORY,,Processed
301949,186410-011,Interface WE151 (125520AK00) Tufted Cut & Loop 25cm x 1m - Mica (104476),INTF,Interface,6642 - WE151,,,82364 - Mica (104476),1996 - Tufted Cut & Loop,903 - 25cm x 1m,,41 - 22 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,WE151,125520AK00,Tufted,Cut & Loop ,25cm x 1m,Mica,104476,,,,Processed
68738,011142,INTERFACE\DRIFTWOOD\104851 OAK\25CMX1M,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,,,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,INTF,False,False,INTERFACE,True,Yes,,,,,25CMX1M,,,DRIFTWOOD,104851 OAK,,Processed
224629,124022-058,Interface Paint Box (1666407700) 6'6 3/4in - Pumice (3600),INTF,Interface,9654 - Paint Box,,86 - 6'6 3/4in,95492 - Pumice (3600),2646 - Tufted Tip Sheared,,,43 - 24 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CBL,2CBL,Carpet BL,Carpet BL,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,,,,,,,,,,,Not Processed
129324,191116-015,Interface-Level Set Textured Woodgrains (A004)-Luxury Vinyl Plank 22 mil-25cm x 1m-4.5 mm-Silver Dune (A00417),INTF,Interface,3949 - Level Set Textured Woodgrains,,,119469 - Silver Dune (A00417),1438 - Luxury Vinyl Plank 22 mil,903 - 25cm x 1m,181 - 4.5 mm,,,,,,PARTS,A,Purchased,1VNL,2VCT,Vinyl,VCT,*,*,SF,SF,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Level Set Textured Woodgrains,A004,,Luxury Vinyl Plank 22 mil,25cm x 1m,4.5 mm-Silver Dune,A00417,,,,Processed
154813,182258-000,Interface-UR302 Nexstep (127000250A)-Tufted Patterned Loop-19.69in x 19.69in-To Be Selected (TBS),INTF,Interface,6431 - UR302 Nexstep,356 - Undefined,,118967 - To Be Selected (TBS),2014 - Tufted Patterned Loop,494 - 19.69in x 19.69in,243 - Undefined,40 - 21 oz.,,,175 - Undefined,,SPC,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,UR302 Nexstep,127000250A,,Tufted Patterned Loop,19.69in x 19.69in,To Be Selected,TBS,,,,Processed
232627,102698-033,Interface Jakarta (16171) 6'6in - Blue Iris (2266),INTF,Interface,8674 - Jakarta,,87 - 6'6in,26253 - Blue Iris (2266),2646 - Tufted Tip Sheared,,,43 - 24 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CBL,2CBL,Carpet BL,Carpet BL,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Jakarta,16171,,,6'6in,Blue Iris,2266,,,,Processed
