,PART_NO,DESCRIPTION,MFR,manufacturer_name,STYLE,COMPOSITION,WIDTH,COLOR,TYPE,SIZE,GAUGE,FACE WEIGHT,COLLECTION,DEPTH,BACKING,FINISH,SITE,PART STATUS,PART TYPE,COMMODITY 1,COMMODITY 2,comm1_label,comm2_label,PRODUCT CODE,PRODUCT_FAMILY,INV UoM,PURCH UoM,CONV FACTOR,PRIMARY SUPPLIER,SUPPLIER NAME,NET WEIGHT,NET VOLUME,Manufacturer,miscellaneous,material_part,ext_manufacturer,manufacturer_match,windbid,name,part_number,product_type,form,dimensions,color,color_code,collection,product_name,backing,processed_flag
8456,306465-000,Interface Next Step Adhesive,INTF,Interface,6389 - Undefined,356 - Undefined,,,2060 - Undefined,1476 - Undefined,243 - Undefined,,,,175 - Undefined,,BNB,A,Purchased,1ADH,2ADH,Adhesive,Adhesive,*,*,EA,EA,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,,,,,,,,,,,Not Processed
326313,165361-033,Interface-Entropy NexStep (146480250A)-Tufted Tip Shear-19.69in x 19.69in-Baltic (7232),INTF,Interface,7813 - Entropy NexStep,,,82566 - Baltic (7232),2645 - Tufted Tip Shear,494 - 19.69in x 19.69in,,35 - 20 oz,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Entropy NexStep,146480250A,,Tufted Tip Shear,19.69in x 19.69in,Baltic,7232,,,,Processed
250171,149940-005,Interface I Line (13835) Tufted Texture Loop 19.69in x 19.69in - Login (8060),INTF,Interface,3615 - I Line,,,92210 - Login (8060),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,24 - 17 oz,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,I Line,13835,Tufted,Texture Loop ,19.69in x 19.69in,Login,8060,,,,Processed
183082,141239-005,Interface Plain Weave (1381502500) Tufted Texture Loop 19.69in x 19.69in - Nomadic (6096),INTF,Interface,4849 - Plain Weave,,,140746 - Nomadic (6096),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,43 - 24 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Plain Weave,1381502500,Tufted,Texture Loop ,19.69in x 19.69in,Nomadic,6096,,,,Processed
373599,212887-006,Interface Open Air 403 (1634302500) Tufted Texture Loop 50cm x 50cm - Nickel (106732),INTF,Interface,4653 - Open Air 403,,,233161 - Nickel (106732),2023 - Tufted Texture Loop,825 - 50cm x 50cm,,28 - 18 oz.,,,69 - GlasBac,,SPL,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,999999,SUPPLIER PLACEHOLDER,,,INTF,False,False,Interface,True,No,Open Air 403,1634302500,Tufted,Texture Loop ,50cm x 50cm,Nickel,106732,,,,Processed
142428,209062-016,Interface Scorpio (A017xx) 22 mil High Performance LVT 50cm x 50cm 4.5 mm - Silverlight (16),INTF,Interface,5435 - Scorpio,,,250793 - Silverlight (16),329 - 22 mil High Performance LVT,825 - 50cm x 50cm,181 - 4.5 mm,,,,,,SPB,A,Purchased,1VNL,2LVT,Vinyl,LVT,*,*,SF,SF,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Scorpio,A017xx,22,mil High Performance LVT ,50cm x 50cm 4.5 mm,Silverlight,16,,,,Processed
315153,172263-001,Interface-Axtile/M0369 GlasBac (1243102500)-Tufted Cut & Loop-19.69in x 19.69in-Hazel (7356),INTF,Interface,2734 - Axtile/M0369 GlasBac,356 - Undefined,,60529 - Hazel (7356),1996 - Tufted Cut & Loop,494 - 19.69in x 19.69in,243 - Undefined,42 - 23 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Axtile/M0369 GlasBac,1243102500,,Tufted Cut & Loop,19.69in x 19.69in,Hazel,7356,,,,Processed
205475,128936-024,Interface Entropy (146480250H) Tufted Tip Shear 19.69in x 19.69in - Juniper (4990),INTF,Interface,7812 - Entropy,,,93308 - Juniper (4990),2645 - Tufted Tip Shear,494 - 19.69in x 19.69in,,35 - 20 oz,,,73 - GlasBacRE,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Entropy,146480250H,Tufted,Tip Shear ,19.69in x 19.69in,Juniper,4990,,,,Processed
289705,195696-002,Interface On Line Unbacked 6'6in - Loam (103781),INTF,Interface,4638 - On Line,,87 - 6'6in,46748 - Loam (103781),2029 - Tufted Textured Loop,,,40 - 21 oz.,,,173 - Unbacked,,SPCB,A,Purchased,1CBL,2CBL,Carpet BL,Carpet BL,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,On,,,,6'6in,Loam,103781,,,Line Unbacked ,Processed
245372,143351-001,Interface Syncopation (1240202500) Tufted Cut & Loop 19.69in x 19.69in - Top Soil (3294),INTF,Interface,6021 - Syncopation,,,3524 - Top Soil (3294),1996 - Tufted Cut & Loop,494 - 19.69in x 19.69in,,50 - 26 oz,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Syncopation,1240202500,Tufted,Cut & Loop ,19.69in x 19.69in,Top Soil,3294,,,,Processed
