site_description,site,unit,unitclass,freightclass,oldfreightclass,commodity_group,commodity_description,FTL, L5C , 5C , 1M , 2M , 3M , 5M , 10M , 20M , 30M , 40M 
Pavillion Floors,PVF,SQYD,Area,70,100,1CPT,Carpet Tile,3474.81,1.16,1.15,1.14,1.13,1.11,1.11,1.11,1.11,1.11,1.11
Spectra Tempe,SPTM,CWT,Weight,70,40,1VNL,LVT,3926.47,37.04,30.02,25.56,21.49,21.49,18.68,15.32,15.32,15.32,15.32
Spectra Tempe,SPTM,CWT,Weight,70,40,1VNL,LVP,3926.47,37.04,30.02,25.56,21.49,21.49,18.68,15.32,15.32,15.32,15.32
Spectra Tempe,SPTM,CWT,Weight,70,40,1VNL,VCT,3926.47,37.04,30.02,25.56,21.49,21.49,18.68,15.32,15.32,15.32,15.32
Spectra Tempe,SPTM,SQYD,Area,150,10,1CBL,Carpet Roll,3926.47,0.74,0.72,0.71,0.70,0.67,0.67,0.67,0.67,0.67,0.67
Spectra Tempe,SPTM,SQYD,Area,70,100,1CPT,Carpet Tile,3926.47,1.26,1.23,1.20,1.19,1.15,1.15,1.15,1.15,1.15,1.15
Denver,CTS,CWT,Weight,70,40,1VNL,LVT,4405.89,31.43,28.66,22.83,19.08,19.08,14.91,12.53,12.53,12.53,12.53
Denver,CTS,CWT,Weight,70,40,1VNL,LVP,4405.89,31.43,28.66,22.83,19.08,19.08,14.91,12.53,12.53,12.53,12.53
Denver,CTS,CWT,Weight,70,40,1VNL,VCT,4405.89,31.43,28.66,22.83,19.08,19.08,14.91,12.53,12.53,12.53,12.53
Denver,CTS,SQYD,Area,150,10,1CBL,Carpet Roll,4405.89,0.67,0.66,0.65,0.63,0.61,0.61,0.61,0.61,0.61,0.61
Denver,CTS,SQYD,Area,70,100,1CPT,Carpet Tile,4405.89,1.14,1.11,1.10,1.07,1.03,1.03,1.03,1.03,1.03,1.03
Floor Sol Union,FSU,CWT,Weight,70,40,1VNL,LVT,1362.91,18.69,17.03,13.21,10.62,10.62,8.32,6.94,6.94,6.94,6.94
Floor Sol Union,FSU,CWT,Weight,70,40,1VNL,LVP,1362.91,18.69,17.03,13.21,10.62,10.62,8.32,6.94,6.94,6.94,6.94
Floor Sol Union,FSU,CWT,Weight,70,40,1VNL,VCT,1362.91,18.69,17.03,13.21,10.62,10.62,8.32,6.94,6.94,6.94,6.94
Floor Sol Union,FSU,SQYD,Area,150,10,1CBL,Carpet Roll,1362.91,1.27,1.25,1.23,1.21,1.16,1.16,1.16,1.16,1.16,1.16
Floor Sol Union,FSU,SQYD,Area,70,100,1CPT,Carpet Tile,1362.91,2.16,2.12,2.09,2.05,1.96,1.96,1.96,1.96,1.96,1.96
