site_description,site,site_description,unit,unitclass,freightclass,oldfreightclass,commodity_group,commodity_description,origin,origin_zip,destination,destination_zip,minimum_charge,ftl_flat_rate,old_discount,new_discount,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M
Spectra Austin,SPA,,CWT,Weight,70,172,1VNL,LVP,GA,30720,TX,78754,108.59,2287.23,0.7795,0.7995,27.51,25.09,19.6,13.05,13.05,10.96,10.96,10.96,10.96,10.96
Spectra Austin,SPA,,CWT,Weight,70,181,1VNL,VCT,GA,30720,TX,78754,108.59,2287.23,0.7795,0.7995,27.51,25.09,19.6,13.05,13.05,10.96,10.96,10.96,10.96,10.96
Spectra Austin,SPA,,SQYD,Area,150,190,1CBL,Carpet Roll,GA,30720,TX,78754,83.76,2287.23,0.7795,0.7995,0.6442,0.6244,0.6126,0.6046,0.5809,0.5809,0.5809,0.5809,0.5809,0.5809
Spectra Austin,SPA,,SQYD,Area,70,199,1CPT,Carpet Tile,GA,30720,TX,78754,83.76,2287.23,0.7795,0.7995,1.0951,1.0614,1.0414,1.0279,0.9876,0.9876,0.9876,0.9876,0.9876,0.9876
Spectra Sterling,SPS,,CWT,Weight,70,208,1VNL,LVT,GA,30720,VA,20166,101.96,2227.41,0.7795,0.7995,24.78,22.59,17.51,14.08,14.08,11.03,9.2,9.2,9.2,9.2
Spectra Sterling,SPS,,CWT,Weight,70,217,1VNL,LVP,GA,30720,VA,20166,101.96,2227.41,0.7795,0.7995,24.78,22.59,17.51,14.08,14.08,11.03,9.2,9.2,9.2,9.2
Spectra Sterling,SPS,,CWT,Weight,70,226,1VNL,VCT,GA,30720,VA,20166,101.96,2227.41,0.7795,0.7995,24.78,22.59,17.51,14.08,14.08,11.03,9.2,9.2,9.2,9.2
Spectra Sterling,SPS,,SQYD,Area,150,235,1CBL,Carpet Roll,GA,30720,VA,20166,67.25,2227.41,0.7795,0.7995,0.518,0.5071,0.4999,0.489,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745
Spectra Sterling,SPS,,SQYD,Area,70,244,1CPT,Carpet Tile,GA,30720,VA,20166,67.25,2227.41,0.7795,0.7995,0.8806,0.8621,0.8498,0.8313,0.8067,0.8067,0.8067,0.8067,0.8067,0.8067
ProSpectra Las Vegas,PSLV,,CWT,Weight,70,253,1VNL,LVT,GA,30720,NV,89118,148.84,4179.21,0.7354,0.7595,48.11,38.59,30.03,28.29,28.29,25.56,20.47,20.47,20.47,20.47
ProSpectra Las Vegas,PSLV,,CWT,Weight,70,262,1VNL,LVP,GA,30720,NV,89118,148.84,4179.21,0.7354,0.7595,48.11,38.59,30.03,28.29,28.29,25.56,20.47,20.47,20.47,20.47
ProSpectra Las Vegas,PSLV,,CWT,Weight,70,271,1VNL,VCT,GA,30720,NV,89118,148.84,4179.21,0.7354,0.7595,48.11,38.59,30.03,28.29,28.29,25.56,20.47,20.47,20.47,20.47
ProSpectra Las Vegas,PSLV,,SQYD,Area,150,280,1CBL,Carpet Roll,GA,30720,NV,89118,95.92,4179.21,0.7354,0.7595,1.0476,1.0272,1.0117,0.9863,0.9555,0.9555,0.9555,0.9555,0.9555,0.9555
ProSpectra Las Vegas,PSLV,,SQYD,Area,70,289,1CPT,Carpet Tile,GA,30720,NV,89118,95.92,4179.21,0.7354,0.7595,1.7809,1.7462,1.72,1.6766,1.6244,1.6244,1.6244,1.6244,1.6244,1.6244
"Louisville, KY",SPLV,,CWT,Weight,70,298,1VNL,LVT,GA,30720,KY,40228,101.96,1274.41,0.7464,0.7695,20.1,18.12,13.79,10.27,10.27,8.09,7.33,7.33,7.33,7.33
"Louisville, KY",SPLV,,CWT,Weight,70,307,1VNL,LVP,GA,30720,KY,40228,101.96,1274.41,0.7464,0.7695,20.1,18.12,13.79,10.27,10.27,8.09,7.33,7.33,7.33,7.33
"Louisville, KY",SPLV,,CWT,Weight,70,316,1VNL,VCT,GA,30720,KY,40228,101.96,1274.41,0.7464,0.7695,20.1,18.12,13.79,10.27,10.27,8.09,7.33,7.33,7.33,7.33
"Louisville, KY",SPLV,,SQYD,Area,150,325,1CBL,Carpet Roll,GA,30720,KY,40228,60.64,1274.41,0.7464,0.7695,0.3966,0.3844,0.3761,0.3679,0.3596,0.3596,0.3596,0.3596,0.3596,0.3596
"Louisville, KY",SPLV,,SQYD,Area,70,334,1CPT,Carpet Tile,GA,30720,KY,40228,60.64,1274.41,0.7464,0.7695,0.6745,0.6535,0.6394,0.6254,0.6113,0.6113,0.6113,0.6113,0.6113,0.6113
ProSpectra Poway,PSP,,CWT,Weight,70,343,1VNL,LVT,GA,30720,CA,920464,135.07,3896.21,0,0,44.19,35.79,30.64,25.63,25.63,22.08,18.27,18.27,18.27,18.27
ProSpectra Poway,PSP,,CWT,Weight,70,352,1VNL,LVP,GA,30720,CA,920464,135.07,3896.21,0,0,44.19,35.79,30.64,25.63,25.63,22.08,18.27,18.27,18.27,18.27
ProSpectra Poway,PSP,,CWT,Weight,70,361,1VNL,VCT,GA,30720,CA,920464,135.07,3896.21,0,0,44.19,35.79,30.64,25.63,25.63,22.08,18.27,18.27,18.27,18.27
ProSpectra Poway,PSP,,SQYD,Area,150,370,1CBL,Carpet Roll,GA,30720,CA,920464,88.2,3896.21,0,0,0.7828,0.7655,0.7584,0.7422,0.7098,0.7098,0.7098,0.7098,0.7098,0.7098
ProSpectra Poway,PSP,,SQYD,Area,70,379,1CPT,Carpet Tile,GA,30720,CA,920464,88.2,3896.21,0,0,1.3307,1.3031,1.2893,1.2617,1.2066,1.2066,1.2066,1.2066,1.2066,1.2066
Floor Sol Greensboro,FSG,,CWT,Weight,70,388,1VNL,LVT,GA,30720,NC,27407,95.35,1364.49,0.7795,0.7995,18.69,17.03,13.21,10.62,10.62,6.82,6.94,6.94,6.94,6.94
Floor Sol Greensboro,FSG,,CWT,Weight,70,397,1VNL,LVP,GA,30720,NC,27407,95.35,1364.49,0.7795,0.7995,18.69,17.03,13.21,10.62,10.62,6.82,6.94,6.94,6.94,6.94
Floor Sol Greensboro,FSG,,CWT,Weight,70,406,1VNL,VCT,GA,30720,NC,27407,95.35,1364.49,0.7795,0.7995,18.69,17.03,13.21,10.62,10.62,6.82,6.94,6.94,6.94,6.94
Floor Sol Greensboro,FSG,,SQYD,Area,150,415,1CBL,Carpet Roll,GA,30720,NC,27407,123.04,1364.49,0.7795,0.7995,1.2701,1.2492,1.2283,1.2076,1.1555,1.1555,1.1555,1.1555,1.1555,1.1555
Floor Sol Greensboro,FSG,,SQYD,Area,70,424,1CPT,Carpet Tile,GA,30720,NC,27407,123.04,1364.49,0.7795,0.7995,2.1592,2.1237,2.0882,2.0528,1.9645,1.9645,1.9645,1.9645,1.9645,1.9645
Diverzify INDY,DIN,,CWT,Weight,70,433,1VNL,LVT,GA,30720,IN,46268,101.96,1453.27,0.7795,0.7995,25.47,20.95,15.72,12.51,12.51,8.87,6.46,6.46,6.46,6.46
Diverzify INDY,DIN,,CWT,Weight,70,442,1VNL,LVP,GA,30720,IN,46268,101.96,1453.27,0.7795,0.7995,25.47,20.95,15.72,12.51,12.51,8.87,6.46,6.46,6.46,6.46
Diverzify INDY,DIN,,CWT,Weight,70,451,1VNL,VCT,GA,30720,IN,46268,101.96,1453.27,0.7795,0.7995,25.47,20.95,15.72,12.51,12.51,8.87,6.46,6.46,6.46,6.46
Diverzify INDY,DIN,,SQYD,Area,150,460,1CBL,Carpet Roll,GA,30720,IN,46268,55.13,1453.27,0.7795,0.7995,0.3748,0.3658,0.3598,0.3538,0.3388,0.3388,0.3388,0.3388,0.3388,0.3388
Diverzify INDY,DIN,,SQYD,Area,70,469,1CPT,Carpet Tile,GA,30720,IN,46268,55.13,1453.27,0.7795,0.7995,0.6371,0.6218,0.6116,0.6014,0.5759,0.5759,0.5759,0.5759,0.5759,0.5759
ProSpectra Union City,PSUC,,CWT,Weight,70,478,1VNL,LVT,GA,30720,CA,94527,135.07,4320,0.7795,0.7995,45.48,36.85,31.37,26.38,26.38,22.93,18.01,18.01,18.01,18.01
ProSpectra Union City,PSUC,,CWT,Weight,70,487,1VNL,LVP,GA,30720,CA,94527,135.07,4320,0.7795,0.7995,45.48,36.85,31.37,26.38,26.38,22.93,18.01,18.01,18.01,18.01
ProSpectra Union City,PSUC,,CWT,Weight,70,496,1VNL,VCT,GA,30720,CA,94527,135.07,4320,0.7795,0.7995,45.48,36.85,31.37,26.38,26.38,22.93,18.01,18.01,18.01,18.01
ProSpectra Union City,PSUC,,SQYD,Area,150,505,1CBL,Carpet Roll,GA,30720,CA,94527,94.92,4320,0.7795,0.7995,0.8818,0.862,0.8422,0.8343,0.8106,0.8106,0.8106,0.8106,0.8106,0.8106
ProSpectra Union City,PSUC,,SQYD,Area,70,514,1CPT,Carpet Tile,GA,30720,CA,94527,94.92,4320,0.7795,0.7995,1.499,1.4654,1.4318,1.4184,1.378,1.378,1.378,1.378,1.378,1.378
Spectra Tigard,SPTG,,CWT,Weight,70,523,1VNL,LVT,GA,30720,OR,97233,148.31,6146.47,0.7795,0.7995,46.49,37.11,31.59,26.57,26.57,23.22,19.13,19.13,19.13,19.13
Spectra Tigard,SPTG,,CWT,Weight,70,532,1VNL,LVP,GA,30720,OR,97233,148.31,6146.47,0.7795,0.7995,46.49,37.11,31.59,26.57,26.57,23.22,19.13,19.13,19.13,19.13
Spectra Tigard,SPTG,,CWT,Weight,70,541,1VNL,VCT,GA,30720,OR,97233,148.31,6146.47,0.7795,0.7995,46.49,37.11,31.59,26.57,26.57,23.22,19.13,19.13,19.13,19.13
Spectra Tigard,SPTG,,SQYD,Area,150,550,1CBL,Carpet Roll,GA,30720,OR,97233,105.84,6146.47,0.7795,0.7995,1.0587,1.0443,1.0204,1.0012,0.9821,0.9821,0.9821,0.9821,0.9821,0.9821
Spectra Tigard,SPTG,,SQYD,Area,70,559,1CPT,Carpet Tile,GA,30720,OR,97233,105.84,6146.47,0.7795,0.7995,1.7998,1.7753,1.7346,1.7021,1.6695,1.6695,1.6695,1.6695,1.6695,1.6695
Beckers Flooring Minneapolis,BSC,,CWT,Weight,70,568,1VNL,LVT,GA,30720,MN,55112,115.21,2823.61,0.7795,0.7995,27.51,25.09,19.99,16.7,16.7,13.05,10.96,10.96,10.96,10.96
Beckers Flooring Minneapolis,BSC,,CWT,Weight,70,577,1VNL,LVP,GA,30720,MN,55112,115.21,2823.61,0.7795,0.7995,27.51,25.09,19.99,16.7,16.7,13.05,10.96,10.96,10.96,10.96
Beckers Flooring Minneapolis,BSC,,CWT,Weight,70,586,1VNL,VCT,GA,30720,MN,55112,115.21,2823.61,0.7795,0.7995,27.51,25.09,19.99,16.7,16.7,13.05,10.96,10.96,10.96,10.96
Beckers Flooring Minneapolis,BSC,,SQYD,Area,150,595,1CBL,Carpet Roll,GA,30720,MN,55112,72.77,2823.61,0.7795,0.7995,0.5844,0.5632,0.5547,0.5462,0.5293,0.5293,0.5293,0.5293,0.5293,0.5293
Beckers Flooring Minneapolis,BSC,,SQYD,Area,70,604,1CPT,Carpet Tile,GA,30720,MN,55112,72.77,2823.61,0.7795,0.7995,0.9934,0.9574,0.9431,0.9286,0.8999,0.8999,0.8999,0.8999,0.8999,0.8999
ProSpectra Sacramento,PSS,,CWT,Weight,110,613,1VNL,LVT,GA,30720,CA,95834,135.07,4320,0.7795,0.7995,44.85,36.34,30.36,26.01,26.01,22.61,18.54,18.54,18.54,18.54
ProSpectra Sacramento,PSS,,CWT,Weight,118,622,1VNL,LVP,GA,30720,CA,95834,135.07,4320,0.7795,0.7995,44.85,36.34,30.36,26.01,26.01,22.61,18.54,18.54,18.54,18.54
ProSpectra Sacramento,PSS,,CWT,Weight,126,631,1VNL,VCT,GA,30720,CA,95834,135.07,4320,0.7795,0.7995,44.85,36.34,30.36,26.01,26.01,22.61,18.54,18.54,18.54,18.54
ProSpectra Sacramento,PSS,,SQYD,Area,134,640,1CBL,Carpet Roll,GA,30720,CA,95834,94.82,4320,0.7795,0.7995,0.882,0.8622,0.8424,0.8345,0.8108,0.882,0.8622,0.8424,0.8345,0.8108
ProSpectra Sacramento,PSS,,SQYD,Area,142,649,1CPT,Carpet Tile,GA,30720,CA,95834,94.82,4320,0.7795,0.7995,1.4994,1.4658,1.4322,1.4187,1.3784,1.4994,1.4658,1.4322,1.4187,1.3784
Spectra Tukwila,SPK,,CWT,Weight,150,658,1VNL,LVT,GA,30720,WA,98188,148.31,6417.63,0.7795,0.7995,47.47,37.9,32.29,27.13,27.13,23.71,19.64,19.64,19.64,19.64
Spectra Tukwila,SPK,,CWT,Weight,158,667,1VNL,LVP,GA,30720,WA,98188,148.31,6417.63,0.7795,0.7995,47.47,37.9,32.29,27.13,27.13,23.71,19.64,19.64,19.64,19.64
Spectra Tukwila,SPK,,CWT,Weight,166,676,1VNL,VCT,GA,30720,WA,98188,148.31,6417.63,0.7795,0.7995,47.47,37.9,32.29,27.13,27.13,23.71,19.64,19.64,19.64,19.64
Spectra Tukwila,SPK,,SQYD,Area,174,685,1CBL,Carpet Roll,GA,30720,WA,98188,107.78,6417.63,0.7795,0.7995,1.0032,0.9935,0.9743,0.9648,0.936,1.0032,0.9935,0.9743,0.9648,0.936
Spectra Tukwila,SPK,,SQYD,Area,182,694,1CPT,Carpet Tile,GA,30720,WA,98188,107.78,6417.63,0.7795,0.7995,1.7054,1.689,1.6564,1.6402,1.5911,1.7054,1.689,1.6564,1.6402,1.5911
Flooring Solutions N Charleston,FSC,,CWT,Weight,190,703,1VNL,LVT,GA,30720,SC,29418,168.68,1402.81,0.7464,0.7695,20.93,19.08,14.79,11.9,11.9,9.31,7.77,7.77,7.77,7.77
Flooring Solutions N Charleston,FSC,,CWT,Weight,198,712,1VNL,LVP,GA,30720,SC,29418,168.68,1402.81,0.7464,0.7695,20.93,19.08,14.79,11.9,11.9,9.31,7.77,7.77,7.77,7.77
Flooring Solutions N Charleston,FSC,,CWT,Weight,206,721,1VNL,VCT,GA,30720,SC,29418,168.68,1402.81,0.7464,0.7695,20.93,19.08,14.79,11.9,11.9,9.31,7.77,7.77,7.77,7.77
Flooring Solutions N Charleston,FSC,,SQYD,Area,214,730,1CBL,Carpet Roll,GA,30720,SC,29418,156.56,1402.81,0.7464,0.7695,0.7967,0.7836,0.7705,0.7574,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248
Flooring Solutions N Charleston,FSC,,SQYD,Area,222,739,1CPT,Carpet Tile,GA,30720,SC,29418,156.56,1402.81,0.7464,0.7695,1.3543,1.3321,1.3098,1.2876,1.2322,1.2322,1.2322,1.2322,1.2322,1.2322
Wright Commercial Floors,DPW,,CWT,Weight,230,748,1VNL,LVT,GA,30720,PA,15225,101.96,2188.81,0.7795,0.7995,24.26,22.12,17.14,13.79,13.79,10.89,9.01,9.01,9.01,9.01
Wright Commercial Floors,DPW,,CWT,Weight,238,757,1VNL,LVP,GA,30720,PA,15225,101.96,2188.81,0.7795,0.7995,24.26,22.12,17.14,13.79,13.79,10.89,9.01,9.01,9.01,9.01
Wright Commercial Floors,DPW,,CWT,Weight,246,766,1VNL,VCT,GA,30720,PA,15225,101.96,2188.81,0.7795,0.7995,24.26,22.12,17.14,13.79,13.79,10.89,9.01,9.01,9.01,9.01
Wright Commercial Floors,DPW,,SQYD,Area,254,775,1CBL,Carpet Roll,GA,30720,PA,15225,52.47,2188.81,0.7795,0.7995,0.4629,0.4552,0.4477,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Wright Commercial Floors,DPW,,SQYD,Area,262,784,1CPT,Carpet Tile,GA,30720,PA,15225,52.47,2188.81,0.7795,0.7995,0.7869,0.7739,0.7611,0.7481,0.7481,0.7481,0.7481,0.7481,0.7481,0.7481
Collaborative Turnkey Solutions,CTS,,CWT,Weight,70,40,1VNL,LVT,GA,30720,FL,32216,95.35,2313.67,0.7795,0.7995,22.87,20.85,16.16,13,13,10.19,8.49,8.49,8.49,8.49
Collaborative Turnkey Solutions,CTS,,CWT,Weight,70,40,1VNL,LVP,GA,30720,FL,32216,95.35,2313.67,0.7795,0.7995,22.87,20.85,16.16,13,13,10.19,8.49,8.49,8.49,8.49
Collaborative Turnkey Solutions,CTS,,CWT,Weight,70,40,1VNL,VCT,GA,30720,FL,32216,95.35,2313.67,0.7795,0.7995,22.87,20.85,16.16,13,13,10.19,8.49,8.49,8.49,8.49
Collaborative Turnkey Solutions,CTS,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,FL,32216,55.13,2313.67,0.7795,0.7995,0.4366,0.4249,0.419,0.4102,0.3955,0.3955,0.3955,0.3955,0.3955,0.3955
Collaborative Turnkey Solutions,CTS,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,FL,32216,55.13,2313.67,0.7795,0.7995,0.7422,0.7223,0.7123,0.6974,0.6724,0.6724,0.6724,0.6724,0.6724,0.6724
